1,(单选题)通过银行柜台认购凭证式长期国债的市场不属于（）.,<p>A发行市场</p><p>B场内市场</p><p>C资本市场</p><p>D直接融资市场</p>,4,B,通过银行柜台认购凭证式长期国债的市场不属于场内市场。,22,1,0,0
1,(单选题)()叫看跌期权。,"<p>A买进商品期货合约的期权</p><p>B买进金融资产权利的期权 </p><p>C卖出金融资产权利的期权
</p><p>D买进金融资产权利的期权 </p>",4,C,"期货交易是在交易所以公开竞价方式进行的期货合约的交易，分为商品期货合约(标的商品主要包括农副产品、金属产品、能源)和金融期货合约(分为利率期货、股权类期货和外汇期货)。买入金融资产权利的期权叫看涨期权，卖出金融资产权利的期权叫看跌期权。故选C。
",22,1,0,0
1,(单选题)封闭式基金（）.,<p>A基金单位的买卖途径投资者可随时直接向基金管理公司购买或赎回基金，手续费较低</p><p>B基金规模的可变性基金单位是可赎回的</p><p>C基金的规模不固定</p><p>D适用于金融制度尚不完善，开放程度较低且规模较小的金融市场</p>,4,D,封闭式基金发行总额有限制，一旦完成发行计划，就不再追加发行。投资者也不可以进行赎回，但基金单位可以在证券交易所或者柜台市场公开转让，其转让价格由市场供求决定。适用于金融制度尚不完善、开放程度较低且规模较小的金融市场。故选D。,,,0,0
1,(单选题)“受人之托，代人理财”，这是形容（）的业务。,<p>A金融资产管理公司</p><p>B信托公司</p><p>C金融租凭公司</p><p>D货币经纪公司</p>,4,B,“受人之托，代人理财”形容信托公司的业务。故选B。,,1,0,0
1,(单选题)所谓的换手率，就是基金每年证券的销售额除以基金资产（）。,<p>A差额</p><p>B总额</p><p>C全额</p><p>D余额</p>,4,B,答案为B。换手率，就是基金每年证券的销售额除以基金资产总额。它反映的是基金资产的流通情况。,22,1,0,0
1,(单选题)电话银行是通过（）及人工服务应答方式为客户提供金融服务。,<p>A自助终端</p><p>B移动电话技术</p><p>C互联网技术</p><p>D电话自动语音</p>,4,D,电话银行是通过电话自动语音及人工服务应答方式为客户提供金融服务的。故选D。,22,1,0,0
1,(单选题)()是指交易双方在集中的交易所市场以公开竞价方式所进行的期货合约的交易。,<p>A金融期权 </p><p>B期货交易</p><p>C期货合约</p><p>D金融期货</p>,4,B,期货交易是指交易双方在集中交易所市场以公开竞价方式所进行的期货合约的交易。故选B。,22,1,0,0
1,(单选题)下列关于直接融资的表述，错误的是（）.,<p>A直接融资是指政府、企业等货币资金需求者直接通过发行债券、股票等形式融资</p><p>B直接融资中投资者和融资者都了解对方身份</p><p>C金融机构起“牵线搭桥”的作用</p><p>D直接融资中没有金融机构的参与</p>,4,D,直接融资中也有金融机构的参与，如通过股票融资，发行股票时就需要投资银行等的参与。,22,1,0,0
1,(单选题)如果名义利率是4%，通货膨胀率为7%。那么实际利率为（）。,<p>A0.04</p><p>B0.11</p><p>C0.03 </p><p>D-0.03</p>,4,D,实际利率=名义利率－通货膨胀率=4%－7%=－3%,22,1,0,0
2,(多选题)再贴现政策主要包括（）。,<p>A调整再贴现率</p><p>B规定再贴现票据的种类</p><p>C再贷款</p><p>D调整法定存款准备金率</p>,4,AB,作为中央银行货币政策工具的再贴现政策，主要包括两方面的内容：一是调整再贴现率；二是规定再贴现票据的种类。,22,1,0,0
1,(单选题)下列金融工具中，属于长期金融工具的有（）①长期国债②企业债券③商业票据④公司股票⑤银行短期贷款⑥银行承兑汇票⑦大额可转让存单,<p>A①②④⑦</p><p>B①②④</p><p>C①②④⑥⑦</p><p>D③④⑥⑦</p>,4,B,长期金融工具包括：股票、企业债券、长期国债等。（本题来自嗨考网）,22,1,0,0
