1,(单选题)对金融机构的常规全面检查应至少（）进行一次,<p>A一年</p><p>B一年半</p><p>C二年</p><p>D一年或一年半</p>,4,D,对金融机构的常规全面检查应至少一年或一年半进行一次。,40,1,0,0
1,(单选题)骆驼评级体系的分析中资本充足率比率要求达到（）,<p>A0.15</p><p>B6%-7．5%</p><p>C6．5%-7%</p><p>D6．55-7．5%</p>,4,C,骆驼评级体系的分析中资本充足率比率要求达到6．5%-7%。,40,1,0,0
1,(单选题)迄今为止FSA使用的唯一的风险评估体系是（）,<p>AARROW体系</p><p>BCARPALs体系</p><p>CCAMEL标准</p><p>DCSC体系</p>,4,A,迄今为止FSA使用的唯一的风险评估体系是AARROW体系。,40,1,0,0
1,(单选题)当市场上出现高市盈率时，可能出现以下哪种现象（）。,<p>A投资者只愿意为获得每股收益支付很低的价格</p><p>B投资者可以以较少的资金进行股票投资，而获得丰厚的每股收益</p><p>C该市场上存在过度投机的现象</p><p>D投资者对于股票的需求度较低</p>,4,C,当市场上出现高市盈率时，可能出现该市场上存在过度投机的现象。,40,1,0,0
1,(单选题)国际上银行监管机构的共同目标是（）,<p>A增加市场信心</p><p>B减少金融犯罪</p><p>C保护存款人和广大金融消费者的利益</p><p>D防范金融风险。</p>,4,C,国际上银行监管机构的共同目标是保护存款人和广大金融消费者的利益。,40,1,0,0
1,(单选题)合规监管属于（）监管模式。,<p>A动态的监管模式</p><p>B静态的监管模式</p><p>C积极的监管模式</p><p>D消极的监管模式</p>,4,B,合规监管属于静态的监管模式。,40,1,0,0
1,(单选题)下列不是我国银行监管目标的是（）,<p>A减少金融犯罪</p><p>B增进公众对现代金融的了解</p><p>C增强市场信心</p><p>D保护借款人和广大金融消费者利益</p>,4,D,保护借款人和广大金融消费者利益不是我国银行监管目标。,40,1,0,0
1,(单选题)下列对合规风险采取监督措施和行政处罚的表述错误的是（）。,<p>A行政处罚针对的多是具体的行为</p><p>B监管措施和行政处罚是相互衔接的</p><p>C监管措施针对的行为主要涉及制度建设、流程、执行等全局的问题</p><p>D从违规行为的严重程度来讲，采取监管措施的行为比受到行政处罚的行为严重</p>,4,D,从违规行为的严重程度来讲，采取监管措施的行为比受到行政处罚的行为严重对合规风险采取监督措施和行政处罚的表述错误。,40,1,0,0
2,(多选题)非现场风险分析的主要内容包括（）,<p>A资产质量分析</p><p>B资本充足性分析</p><p>C流动性分析</p><p>D市场风险的分析</p><p>E盈亏分析</p>,5,ABCDE,非现场风险分析的主要内容包括资产质量分析，资本充足性分析，流动性分析，市场风险的分析，盈亏分析。,40,1,0,0
2,(多选题)非现场监管的基本流程：（）,<p>A采集数据</p><p>B对有关数据进行核对，整理</p><p>C生成风险监管指标值</p><p>D风险监测分析</p><p>E指导现场检查</p>,5,ABCDE,非现场监管的基本流程：采集数据，对有关数据进行核对，整理，生成风险监管指标值，风险监测分析，指导现场检查。,40,1,0,0
2,(多选题)监管部门主要做的工作有（）,<p>A防范金融风险</p><p>B制定规定</p><p>C行政调控</p><p>D检查规定的执行情况</p><p>E维护银行内部秩序</p>,5,BD,监管部门主要做的工作有制定规定，检查规定的执行情况。,40,1,0,0
2,(多选题)内部风险分为（）二个部分,<p>A业务风险</p><p>B法律风险</p><p>C控制风险</p><p>D技术风险</p><p>E市场风险</p>,5,AC,内部风险分为业务风险，控制风险二个部分。,40,1,0,0
2,(多选题)银行业监督管理的目标包括（）。,<p>A保证银行业金融机构不倒闭</p><p>B最大限度地扩大银行业资产规模</p><p>C促进银行业的合法稳健运行</p><p>D维护公众对银行业的信心</p><p>E通过相关信息披露，增进公众对现代金融的了解</p>,5,CD,银行业监督管理的目标包括促进银行业的合法稳健运行，维护公众对银行业的信心。,40,1,0,0
3,(判断题)ARROW是一种对风险过程进行评估的程序和方法，是简单就经营结果进行评级（）,<p>A正确</p><p>B错误</p>,2,B,ARROW是一种对风险过程进行评估的程序和方法，是简单就经营结果进行评级。错误。,40,1,0,0
3,(判断题)合规监管是指通过行政手段，对银行执行有关法规、制度和规章等情况进行监管，以规范银行经营行为，维护银行业内部秩序。（）,<p>A正确</p><p>B错误</p>,2,A,合规监管是指通过行政手段，对银行执行有关法规、制度和规章等情况进行监管，以规范银行经营行为，维护银行业内部秩序。,40,1,0,0
3,"(判断题)骆驼评级体系是目前我国金融管理当局对商业银行及其他金融机构的业务,经营、信用状况等进行的一整套规范化、制度化和指标化的综合等级评定制度．（）",<p>A正确</p><p>B错误</p>,2,B,"骆驼评级体系是目前我国金融管理当局对商业银行及其他金融机构的业务,经营、信用状况等进行的一整套规范化、制度化和指标化的综合等级评定制度．错误。",40,1,0,0
3,(判断题)市场准入是金融机构获得许可证的过程，各国对金融机构实行监管都是从实行管制开始的（）,<p>A正确</p><p>B错误</p>,2,B,市场准入是金融机构获得许可证的过程，各国对金融机构实行监管都是从实行管制开始的。错误。,40,1,0,0
