1,(单选题)国家开发银行的成立时间是()。,<p>A1994年3月</p><p>B1994年4月</p><p>C1994年11月</p><p>D1994年12月 </p>,4,A,国家开发银行成立于1994年3月，中国进出口银行成立于1994年4月，中国农业发展银行成立于1994年11月。,0,0
1,(单选题)中国邮政储蓄银行的挂牌时间是()。,<p>A2005年10月27日</p><p>B2006年12月31日</p><p>C2007年3月20日</p><p>D2012年1月21日</p>,4,C,2005年10月27日，中国建设银行在香港联合交易所上市。2006年12月31日，经国务院同意银监会正式批准中国邮政储蓄银行成立；2007年3月20日，中国邮政储蓄银行挂牌；2012年1月21日，中国邮政储蓄银行整体改制为股份有限公司。,0,0
1,(单选题)下列不属于贷款公司的经营业务范围的是()。,<p>A办理各项贷款</p><p>B提供购车贷款业务</p><p>C办理资产转让</p><p>D办理贷款项下的结算</p>,4,B,提供购车贷款业务是汽车金融公司的业务范围。贷款公司可经营下列业务：办理各项贷款；办理票据贴现；办理资产转让；办理贷款项下的结算；经中国银监会批准的其他资产业务。,0,0
1,(单选题)下列关于消费金融公司的说法错误的是()。,<p>A消费金融公司不吸收公众存款</p><p>B消费金融公司以小额、分散为原则</p><p>C国内首家外商独资的消费金融公司在天津</p><p>D消费金融公司业务范围仅限于向境内外金融机构提供自营业务</p>,4,D,消费金融公司是指经中国银行业监督管理委员会批准，在中华人民共和国境内设立的，不吸收公众存款，以小额、分散为原则，为中国境内居民个人提供以消费为目的的贷款的非银行金融机构。,0,0
1,(单选题)经常以贸易比重为权数的各种双边汇率的加权平均是()。,<p>A市场汇率</p><p>B套算汇率</p><p>C有效汇率</p><p>D浮动汇率</p>,4,C,双边汇率是指一国货币对另一国货币的名义汇率，表示两国货币之间的对价关系。有效汇率是各种双边汇率的加权平均，经常以贸易比重为权数。,0,0
1,(单选题)()国家开发银行在银行间债券市场成功发行2012年第一期开元信贷资产支持证券。这是我国资产证券化重启的第一单，也是迄今为止单笔规模最大的信贷资产证券化产品。,<p>A2012年9月5日</p><p>B2012年9月6日</p><p>C2012年9月7日</p><p>D2012年9月8日</p>,4,C,2012年9月7日，国家开发银行在银行间债券市场成功发行2012年第一期开元信贷资产支持证券，金额101.66亿元。这是我国资产证券化重启的第一单，也是迄今为止单笔规模最大的信贷资产证券化产品。,0,0
1,(单选题)商业银行发行的信用卡按照发卡对象的不同可以分为()。,<p>A个人卡和单位卡</p><p>B商务差旅卡和商务采购卡</p><p>C贷记卡和准贷记卡</p><p>D转账卡、专用卡和储值卡</p>,4,A,按照发卡对象的不同，商业银行发行的信用卡可分为个人卡和单位卡。其中，单位卡按照用途分为商务差旅卡和商务采购卡。按照是否向发卡银行交存备用金，信用卡分为贷记卡和转贷记卡两种。借记卡按功能的不同分为转账卡、专用卡和储值卡。,0,0
1,(单选题)下列不属于商业银行应当披露的公司治理信息的是()。,<p>A外部监事工作情况</p><p>B独立董事工作情况</p><p>C年度内召开股东大会情况</p><p>D股东大会构成及其基本情况</p>,4,D,商业银行应披露下列公司治理信息：(1)年度内召开股东大会情况；(2)董事会构成及其工作情况；(3)独立董事工作情况；(4)监事会构成及其工作情况；(5)外部监事工作情况；(6)高级管理层构成及其基本情况；(7)商业银行薪酬制度及当年董事、监事和高级管理人员薪酬；(8)商业银行部门设置和分支机构设置情况；(9)银行对本行公司治理的整体评价；(10)银行业监督管理部门规定的其他信息。,0,0
1,(单选题)以下关于《中国银行业实施新监管标准指导意见》的说法错误的是()。,<p>A规定商业银行核心一级资本充足率的最低要求为5%</p><p>B规定银行业金融机构杠杆率不得低于4%</p><p>C正常条件下系统重要性银行的资本充足率不得低于11.5%</p><p>D要求银行业金融机构贷款拨备率不低于150%</p>,4,D,《中国银行业实施新监管标准指导意见》要求银行业金融机构改进贷款损失准备监管，贷款拨备率不低于2.5%，拨备覆盖率不低于150%。,0,0
1,(单选题)“超额贷款损失准备可计入部分”属于商业银行资本中的()。,<p>A核心一级资本</p><p>B其他一级资本</p><p>C二级资本</p><p>D资本扣减项</p>,4,C,商业银行的二级资本包括二级资本工具及其溢价、超额贷款损失准备可计入部分、少数股东资本可计入部分。,0,0
1,(单选题)2012年12月，银监会发布了《关于实施过渡期安排相关事项的通知》。下列关于该通知中“到2013年年底的要求”的说法有误的是()。,<p>A储备资本要求为0.5%</p><p>B对国内系统重要性银行的资本充足率的最低要求为9.5%</p><p>C对国内非系统重要性银行的资本充足率的最低要求为8.5%</p><p>D对国内非系统重要性银行的一级资本充足率的最低要求为5.5%</p>,4,D,2012年12月，中国银监会发布了《关于实施过渡期安排相关事项的通知》，对储备资本要求(2.5%)设定6年的过渡期。到2013年年末，储备资本要求为0.5%，其后每年递增0.4%；对国内系统重要性银行的核心一级资本充足率、一级资本充足率和资本充足率的最低要求分别为6.5%、7.5%和9.5%；对非系统重要性银行的核心一级资本充足率、一级资本充足率和资本充足率的最低要求分别为5.5%、6.5%和8.5%。,0,0
