1,(单选题)（）的素质及信誉往往在一定程度上代表了企业的素质和信誉。,<p>A企业员工</p><p>B企业股东</p><p>C企业领导</p><p>D企业监事会</p>,4,C,企业领导的素质及信誉往往在一定程度上代表了企业的素质和信誉。,0,0
1,(单选题)（）批准和授权中国人民银行制定的各种利率为法定利率。,<p>A国务院</p><p>B银监会</p><p>C证监会</p><p>D保监会</p>,4,A,国务院批准和国务院授权中国人民银行制定的各种利率为法定利率。,0,0
1,(单选题)（）是营销者通过市场调研，根据整体市场上客户需求的差异性，以影响客户需求和欲望的某些因素为依据，把某一产品的市场整体划分为若干消费者群的市场分类过程。,<p>A市场分析</p><p>B市场选择</p><p>C市场细分</p><p>D市场调研</p>,4,C,所谓市场细分，就是营销者通过市场调研，根据整体市场上顾客需求的差异性，以影响顾客需求和欲望的某些因素为依据，把某一产品的市场整体划分为若干个消费者群的市场分类过程。所分出的市场称为细分市场。,0,0
1,(单选题)（）是指银行在经办和管理个人住房贷款工作中形成的具有史料价值及参考利用价值的贷款管理专业技术材料的总称。,<p>A个人住房贷款</p><p>B个人住房贷款档案</p><p>C个人住房贷款抵押</p><p>D个人住房贷款质押</p>,4,B,个人住房贷款档案是指银行在经办和管理个人住房贷款工作中形成的具有史料价值及参考利用价值的贷款管理专业技术材料的总称。,0,0
1,(单选题)（）在提高审贷效率，方便广大群众借贷，防止不良贷款，防止个人过度负债以及根据信用风险确定利率水平方面发挥着积极的作用。,<p>A个人征信系统</p><p>B贷后档案管理</p><p>C风险管理</p><p>D贷后检查</p>,4,A,个人征信系统在提高审贷效率、方便广大群众借贷、防止不良贷款、防止个人过度负债以及根据信用风险确定利率水平方面发挥了积极的作用。,0,0
1,(单选题)“直客式”个人汽车贷款客户办理流程为（）。①到银行网点填写个人汽车贷款借款申请书②银行代理提车、上户和办理抵押登记手续③银行对客户进行资信调查④客户与银行签订借款合同⑤银行放款⑥客户到经销商处选定车辆并向银行交纳购车首付⑦银行审批贷款⑧客户提车,<p>A③①⑦④②⑤⑥⑧</p><p>B①③⑦④⑥②⑤⑧</p><p>C①⑥③⑦④⑤②⑧</p><p>D③①④⑤②⑥⑦⑧</p>,4,B,纯粹的“直客式”汽车贷款模式实际上是“先贷款，后买车”。“直客式”运行模式的贷款流程为：到银行网点填写个人汽车贷款借款申请书银行对客户进行资信调查银行审批贷款客户与银行签订借款合同客户到经销商处选定车辆并向银行交纳购车首付银行代理提车、上户和办理抵押登记手续银行放款客户提车。由于在这种模式下，购车人首先要与贷款银行做前期的接触，由银行直接对借款人的还款能力以及资信情况进行评估和审核，所以把这种信贷方式称为“直客式”模式。,0,0
1,(单选题)《汽车贷款管理办法》于（）颁布。,<p>A1993年</p><p>B1997年</p><p>C1998年</p><p>D2004年</p>,4,D,2004年8月，中国人民银行、中国银监会联合颁布了《汽车贷款管理办法》。,0,0
1,(单选题)2004年8月，（）中标成为115所中央部署院校国家助学贷款业务的独家经办银行。,<p>A中国银行</p><p>B中国建设银行</p><p>C中国工商银行</p><p>D中国农业银行</p>,4,A,2004年8月，中国银行中标成为115所中央部署院校国家助学贷款业务的独家经办银行。,0,0
1,(单选题)2011年5月1日，小刘因购买一辆二手个人汽车向银行申请个人汽车贷款。经有关机构评估，该车的现值为80万元，则小刘可以获得的最高贷款额度为（）万元。,<p>A32</p><p>B40</p><p>C56</p><p>D64</p>,4,B,个人申请个人汽车贷款的，所购车辆为二手车的，贷款额度不得超过借款人所购汽车价格的50%。因此，小刘可获得的最高贷款额度为8050%=40(万元)。,0,0
1,(单选题)保证人是指银行认可的，具有（）的法人、其他经济组织或自然人。,<p>A信用状况良好</p><p>B足够的经济实力</p><p>C代为清偿能力</p><p>D法定社会关系</p>,4,C,保证人必须具有代为清偿能力，且必须经银行许可，这样才能确保银行债权的实现。,0,0
1,(单选题)差异性策略的主要特点不包括（）。,<p>A风险相对较小</p><p>B能更充分地利用目标市场的各种经营要素</p><p>C成本费用较低</p><p>D一般为大中型银行所采用</p>,4,C,差异性策的主要特点不包括成本费用较低。,0,0
