1,(单选题)（）的特点是目标大、针对性不强、效果差。,<p>A产品差异策略</p><p>B专业化策略</p><p>C大众营销策略</p><p>D单一营销策略</p>,4,C,大众营销策的特点是目标大、针对性不强、效果差。,0,0
1,(单选题)（）是当前和今后一段时间个人住房贷款业务开展的主要方式。,<p>A直客式</p><p>B网上银行</p><p>C与外部机构合作</p><p>D全流程管理</p>,4,C,与外部机构合作是当前和今后一段时间个人住房贷款业务开展的主要方式。,0,0
1,(单选题)（）是指将产品或服务与其竞争者区分开的名称、术语、象征、符号、设计或它们的综合运用，通过发现、创造和交付价值以满足一定目标市场的需求，同时获取利润的一种营销活动。,<p>A产品营销</p><p>B品牌营销</p><p>C服务营销</p><p>D网络营销</p>,4,B,品牌营销是指将产品或服务与其竞争者区分开的名称、术语、象征、符号、设计或它们的综合运用．通过发现、创造和交付价值以满足一定目标市场的需求，同时获取利润的一种营销活动。,0,0
1,(单选题)（）为创造达到个人和机构目标的交换而规划和实施的理念、产品、服务构思、定价和促销的过程。它包括计划、组织、领导和控制等，目的是满足客户需求，为客户创造价值，为银行带来增值。,<p>A银行风险管理</p><p>B银行营销管理</p><p>C银行支付管理</p><p>D银行征信系统管理</p>,4,B,题干为银行营销管理的概念。,0,0
1,(单选题)（）在于银行帮助客户寻求下一个需要的最佳产品。,<p>A大众营销</p><p>B交叉营销</p><p>C分层营销</p><p>D单一营销</p>,4,B,交叉营销在于银行帮助客户寻求下一个需要的最佳产品。,0,0
1,(单选题)《贷款通则》规定短期贷款展期期限累计（）。,<p>A不得超过原贷款期限</p><p>B不得超过原贷款期限的一半</p><p>C不得超过3年</p><p>D不得超过5年</p>,4,A,短期贷款展期期限累计不得超过原贷款期限；中期贷款展期期限累计不得超过原贷款期限的一半；长期贷款展期期限累计不得超过3年。国家另有规定者除外。借款人未申请展期或申请展期未得到批准，其贷款从到期日次日起，转入逾期贷款账户。,0,0
1,(单选题)《物权法》中规定：债务人或者第三人将其动产出质给债权人占有的，债务人不履行到期债务或者发生当事人约定的实现质权的情形，（）有权就该动产优先受偿。,<p>A债务人</p><p>B债权人</p><p>C担保人</p><p>D第三人</p>,4,B,《物权法》的有关规定：债务人或者第三人将其动产出质给债权人占有的，债务人不履行到期债务或者发生当事人约定的实现质权的情形，债权人有权就该动产优先受偿。,0,0
1,(单选题)2004年8月，中国人民银行、银监会联合颁布了《汽车贷款管理办法》，下列说法错误的是（）。,<p>A在中国境内连续居住1年以上(含1年)的港、澳、台居民以及外国人均可申请个人汽车贷款</p><p>B贷款人主体范围仅允许四家国有商业银行试点开办汽车消费贷款业务</p><p>C购车人在购买二手车时也可以申请贷款</p><p>D贷款人可以为以营利为目的的汽车提供信贷支持</p>,4,B,1998年9月，中国人民银行在下发《汽车消费贷款管理办法(试点办法)》时，仅允许四家国有商业银行试点开办汽车消费贷款业务，但是随着汽车贷款市场的发展，办理汽车贷款业务的贷款人早已不再局限于四大国有商业银行，故本题答案为B。,0,0
1,(单选题)20世纪90年代末，个人消费信贷业务得到快速发展，逐步形成了以（）为主，其他个人综合消费贷款等几十个品种共同发展的、较为完善的个人贷款产品系列。,<p>A个人耐用品消费贷款和个人住房贷款</p><p>B个人耐用品消费贷款和个人汽车消费贷款</p><p>C个人住房贷款和个人教育贷款</p><p>D个人住房贷款和个人汽车消费贷款</p>,4,D,20世纪90年代末，个人消费信贷业务得到快速发展，逐步形成了以个人住房贷款和个人汽车消费贷款为主，其他个人综合消费贷款、个人经营类贷款和个人教育贷款等几十个品种共同发展的、较为完善的个人贷款产品系列。,0,0
1,(单选题)保证人为法人且存在以下行为，仍然可以作为保证人的是（）。,<p>A保证人在最近三年内连续亏损</p><p>B在银行黑名单之列</p><p>C重大违法行为损害银行利益的</p><p>D经营状况不佳，市场占有率下降</p>,4,D,根据《担保法》规定，保证人为法人的，要调查保证人是否具备保证人资格、是否具有代偿能力，如果保证人在三年内连续亏损、在银行黑名单之列或有重大违法行为损害银行利益的，均不得作为保证人。,0,0
1,(单选题)常用的个人住房贷款还款方式为（）。,<p>A到期一次还本付息法</p><p>B等额本息还款法</p><p>C等比累进还款法</p><p>D等额累进还款法</p>,4,B,常用的个人住房贷款还款方式包括等额本息还款法和等额本金还款法两种。,0,0
1,(单选题)从（）年起，国家助学贷款在全国范围内全面推行。,<p>A2000</p><p>B2001</p><p>C2002</p><p>D2003</p>,4,A,从2000年9月1日起，国家助学贷款在全国范围内全面推行。,0,0
1,(单选题)贷款额度是指（）。,<p>A借款人每月需要偿还的金额</p><p>B银行批准借款人的额度</p><p>C贷款抵押物的评估价值</p><p>D银行向借款人提供的以货币计量的贷款数额</p>,4,D,贷款额度是指银行向借款人提供的以货币计量的贷款数额。除了人民银行、银监会或国家其他有关部门有明确规定外，个人贷款的额度可以根据申请人所购财产价值提供的抵押担保、质押担保和保证担保的额度以及资信等情况确定。,0,0
1,(单选题)贷款人受理借款人商用房贷款申请后，应对商用房贷款申请内容和相关情况的（）进行调查核实。,<p>A真实性、准确性、可靠性</p><p>B风险性、可靠性、真实性</p><p>C真实性、准确性、完整性</p><p>D风险性、收益性、流动性</p>,4,C,贷款人受理借款人商用房贷款申请后，应履行尽职调查职责，对商用房贷款申请内容和相关情况的真实性、准确性、完整性进行调查核实，形成贷前调查报告。,0,0
1,(单选题)贷款人应要求借款人以（）提出个人贷款申请，并要求借款人提供能够证明其符合贷款条件的相关资料。,<p>A口头形式</p><p>B书面形式</p><p>C报告形式</p><p>D简报形式</p>,4,B,根据《个人贷款管理暂行办法》第12条规定，贷款人应要求借款人以书面形式提出个人贷款申请。,0,0
1,(单选题)贷款银行已要求借款人及有关责任人履行保证、保险责任，处理抵(质)押物，预计贷款可能发生一定损失，但损失金额尚不能确定，这属于（）。,<p>A可疑贷款</p><p>B关注贷款</p><p>C次级贷款</p><p>D损失贷款</p>,4,A,可疑贷款：贷款银行已要求借款人及有关责任人履行保证、保险责任，处理抵(质)押物，预计贷款可能发生一定损失，但损失金额尚不能确定。,0,0
1,(单选题)等额本息还款法的特点不包括（）。,<p>A在贷款期内每月以相等的额度平均偿还贷款本息</p><p>B遇到利率调整及提前还款时，应根据未偿还贷款余额和剩余还款期数对公式进行调整</p><p>C利息逐月递增。本金逐月递减</p><p>D归还的本金和利息的配给比例是逐月变化的</p>,4,C,等额本息还款法是每月以相等的额度偿还贷款本息，其中归还的本金和利息的配给比例是逐月变化的，利息逐月递减，本金逐月增加的还款方法。,0,0
1,(单选题)对购买首套自住房且套型建筑面积在90平方米以上的家庭，贷款首付款比例不得低于（）。,<p>A0.2</p><p>B0.3</p><p>C0.4</p><p>D0.5</p>,4,B,对购买首套自住房且套型建筑面积在90平方米以上的家庭，贷款首付款比例不得低于30%。,0,0
