1,(单选题)（），风险处置可以划分为预控性处置与全面性处置。,<p>A按照性质划分</p><p>B按照方式划分</p><p>C按照阶段划分</p><p>D按照风险划分</p>,4,C,按照阶段划分，风险处置可以划分为预控性处置与全面性处置。,0,0
1,(单选题)（）行业表现出较强的生产半径和销售区域的特征。,<p>A水泥</p><p>B软件</p><p>C金融</p><p>D服装</p>,4,A,判断一个行业能否生存的重要依据是生产是否靠近原料产地、是否接近市场，例如水泥行业，受水泥产品的性质、技术要求，表现出较强的生产半径和销售区域的特征，所以A选项符合题意。软件、金融和服装行业受地区生产力布局的影响较小。故选A。,0,0
1,(单选题)（）是贷款价格的主体，也是贷款价格的主要内容。,<p>A贷款利率</p><p>B贷款承诺费</p><p>C补偿余额</p><p>D隐含价格</p>,4,A,贷款利率是贷款价格的主体，也是贷款价格的主要内容。贷款承诺费是指银行对已承诺给客户而客户有没有使用的那部分资金收取的费用。补偿余额是指应银行要求，借款人在银行保持一定数量的货期存款和低利率定期存款。隐含价格是贷款定价中的一些非货币性内容。故本题只有A符合题意。,0,0
1,(单选题)（）是商业银行的主要服务对象，也是造成我国国有商业银行资产质量不高、历史包袱沉重的原因之一。,<p>A外商独资企业</p><p>B民营企业</p><p>C国有企业</p><p>D合资和合作经营企业</p>,4,C,国有企业是商业银行的主要服务对象，也是造成我国国有商业银行资产质量不高、历史包袱沉重的原因之一。故C符合题意。,0,0
1,(单选题)（）是银行发放贷款前最重要的一环，也是贷款发放后能否如数按期收回的关键。,<p>A贷前调查</p><p>B搜寻调查</p><p>C委托调查</p><p>D现场调研</p>,4,A,贷前调查是银行受理借款人中请后，对借款人的信用等级以及借款的合法性、安全性、盈利性等情况进行调查，核实抵(质)押物、保证人情况，测定贷款风险度的过程。贷前调查是银行发放贷款前最重要的一环，也是贷款发放后能否如数按期收回的关键。BCD项是贷前调查的具体方法。,0,0
1,(单选题)（）是指贷款定价中的一些非货币性内容。,<p>A贷款利率</p><p>B补偿余额</p><p>C隐含价格</p><p>D贷款承诺费</p>,4,C,一般来讲，贷款利率、贷款承诺费、补偿余额和隐含价格构成贷款价格，其中，隐含价格是指贷款定价中的一些非货币性内容。故选C。,0,0
1,(单选题)（）是指通过借款人经营中各项资产周转速度所反映出来的借款人资产运用效率它能反映借款人资产管理水平和资产配置组合能力。,<p>A营运能力</p><p>B盈利能力</p><p>C资金结构</p><p>D偿债能力</p>,4,A,营运能力指通过借款人经营中各项资产周转速度所反映出来的借款人资产运用效率。,0,0
1,(单选题)（）是指债务人将债务转为资本，同时债权人将债权转为股权的债务重组方式。,<p>A以资抵债</p><p>B减免贷款利息</p><p>C债务转为资本</p><p>D借款企业变更</p>,4,C,债务转为资本是指债务人将债务转为资本，同时债权人将债权转为股权的债务重组方式。,0,0
1,(单选题)（）作为授信业务决策的集体议事机构，评价和审议信贷决策事项，为最终审批人提供决策支持。,<p>A贷款调查委员会</p><p>B贷款审查委员会</p><p>C贷款审批委员会</p><p>D贷款发放委员会</p>,4,B,贷款审查委员会作为‘授信业务决策的集体议事机构，评价和审议信贷决策事项，为最终审批人提供决策支持。故选B。,0,0
1,(单选题)按《贷款通则》有关期限的规定，自营贷款期限最长一般不得超过（）年，超过规定的最长年限，应当报中国人民银行备案。,<p>A8</p><p>B9</p><p>C10</p><p>D11</p>,4,C,按《贷款通则》有关期限的规定，自营贷款期限最长一般不得超过10年，超过10年应当报中国人民银行备案。,0,0
1,(单选题)按照净现值法，贷款价值的确定主要依据（）。,<p>A当前净现金流量的贴现值</p><p>B未来净现金流量的贴现值</p><p>C未来现金流量的贴现值</p><p>D当前现金流量的贴现值</p>,4,B,按照净现值法，贷款价值的确定主要依据对未来净现金流量的贴现值，这样，贷款组合价值的确定将包括贷款的所有预期损失，贷款盈利的净现值也会得到确认。,0,0
