1,(单选题)（）的强弱是反映客户财务状况稳定与安全程度的重要标志。,<p>A盈利能力</p><p>B运营能力</p><p>C短期偿债能力</p><p>D长期偿债能力</p>,4,D,长期偿债能力的强弱是反映客户财务状况稳定与安全程度的重要标志。,0,0
1,(单选题)（）可办理转账结算和存入现金，但不能支取现金。,<p>A基本存款账户</p><p>B一般存款账户</p><p>C临时存款账户</p><p>D专用存款账户</p>,4,B,企事业单位可在其他银行的一个营业机构开立一个一般存款账户，该账户可办理转账结算和存入现金，但不能支取现金。要求借款人开立基本存款账户或一般存款账户，并存入贷款资金，既便于借款人结算和划拨资金，也有利于银行随时掌握借款人的资金动态。故选B。,0,0
1,(单选题)（）是国家实现宏观调控的一种政策工具。,<p>A行业公定利率</p><p>B法定利率</p><p>C市场利率</p><p>D固定利率</p>,4,B,法定利率是指由政府金融管理部门或中央银行确定的利率，它是国家实现宏观调控的一种政策工具。故选B。,0,0
1,(单选题)（）是银行对大型、特大型工程项目建设发放的贷款。,<p>A对外劳务承包工程贷款</p><p>B出口买方信贷</p><p>C项目融资</p><p>D银团贷款</p>,4,C,项目融资是银行对大型、特大型工程项目建设发放的贷款。,0,0
1,(单选题)（）是针对贷款组合中的特定风险，按照一定比例提取的贷款损失准备金。它不是商业银行经常提取的准备金，而是按照贷款内在损失计提专项准备金基础之上计提的。,<p>A一般准备金</p><p>B普通准备金</p><p>C专项准备金</p><p>D特别准备金</p>,4,D,普通准备金(一般准备金)：按贷款余额的1%提取，可以计入商业银行资本基础的附属资本，但不能超过加权风险资产的1．25%，超过部分不再计入；是弥补贷款组合损失的一种总准备，针对的贷款内在损失是不确定的。专项准备金：根据贷款风险分类结果按贷款内在的损失程度或历史损失概率计提；用于弥补贷款的内在损失，但不能用于弥补银行未来发生的其他损失，不具有资本的性质；特别准备金：针对贷款组合中的特定风险，按照一定比例提取的贷款损失准备金，与普通准备金和专项准备金不同，不是商业银行经常提取的准备金，而是按照贷款内在损失计提专项准备金基础之上计提的。综上D符合题意。,0,0
1,(单选题)（）是指具有高度相关性的一组银行产品。,<p>A产品线</p><p>B产品组合</p><p>C产品类型</p><p>D产品项目</p>,4,A,产品线是指具有高度相关性的一组银行产品。产品组合是指商业银行向客户提供的全部公司信贷产品的有机组合方式。产品类型即产品线中各种可能的产品种类。产品项目即某个特定的个别银行产品，它是金融产品划分的最小单位。故选A。,0,0
1,(单选题)（）是指银行在商业汇票上签章承诺按出票人指示到期付款的行为。,<p>A贷款</p><p>B担保</p><p>C承兑</p><p>D公司信贷</p>,4,C,承兑是银行在商业汇票上签章承诺按出票人指示到期付款的行为。,0,0
1,(单选题)（）指债权人与债务人或债务提供的第三人以协商订立书面合同的方式，转移债务人或者债务提供的第三人的动产或权利的占有，在债务人不履行债务时，债权人有权以该财产价款优先受偿。,<p>A质押</p><p>B抵押</p><p>C留置</p><p>D保证</p>,4,A,质押是指债权人与债务人或债务提供的第三人以协商订立书面合同的方式，转移债务人或者债务提供的第三人的动产或权利的占有，在债务人不履行债务时，债权人有权以该财产价款优先受偿。抵押是指借款人或第三人在不转移财产占有权的情况下，将财产作为债权的担保，银行持有抵押财产的担保权益，当借款人不履行借款合同时，银行有权以该财产折价或以拍卖、变卖该财产的价款优先受偿。保证是指保证人和债权人约定，当债务人不履行债务时，保证人按照约定履行债务或者承担责任的行为。留置是指债权人按照合同约定占有债务人的动产，债务人不按照合同约定的期限履行债务的，债权人有权按照规定，以该财产折价或以拍卖、变卖该财产的价款优先受偿。因此，题目描述的是质押，故本题应选A。,0,0
1,(单选题)2013年6月某集团董事局主席王某因涉嫌经济犯罪被警方拘留。该集团临时更换董事会主席这将为向其提供贷款的银行带来（）。,<p>A经营状况风险</p><p>B管理状况风险</p><p>C财务状况风险</p><p>D与银行往来情况监控</p>,4,B,该集团的主要领导者陷于经济犯罪导致其高管层发生重大变动有可能为企业带来管理状况风险。【专家点拨】对借款人的贷后监控主要包括经营状况监控、管理状况监控、财务状况监控、还款账户监控和与银行往来情况监控几种。,0,0
1,(单选题)按贷款用途划分，公司信贷的种类不包括（）。,<p>A自营贷款</p><p>B基本建设贷款</p><p>C技术改造贷款</p><p>D流动资金贷款</p>,4,A,按贷款用途划分，公司信贷的种类包括固定资产贷款和流动资金贷款。固定资产贷款又包括基本建设贷款和技术改造贷款。故B、C、D选项不符合题意。自营贷款是按贷款经营模式划分的公司信贷种类，故A选项符合题意。故选A。,0,0
1,(单选题)保证合同不能为（）。,<p>A书面形式</p><p>B口头承诺</p><p>C信函、传真</p><p>D主合同中的担保条款</p>,4,B,保证合同要以书面形式订立，以明确双方当事人的权利和义务。根据《担保法》的规定，书面保证合同可以单独订立，包括当事人之间的具有担保性质的信函、传真等，也可以是主合同中的担保条款。,0,0
1,(单选题)财务分析是以客户（）为主要依据，运用一定的分析方法，研究评价客户的财务过程和结果等。,<p>A财务报表</p><p>B资产负债表</p><p>C现金流量表</p><p>D利润表</p>,4,A,财务分析是以客户财务报表为主要依据，运用一定方法，研究评价客户的财务过程和结果。因此，只有A正确，其他选项均不正确。,0,0
1,(单选题)出口打包贷款应出具的借款用途证明文件不包括（）。,<p>A国际结算部门出具的信用证条款无疑义的材料</p><p>B进口方银行开立的信用证</p><p>C进口商与开证行的资信证明或说明</p><p>D进出口许可证</p>,4,D,借款用途证明文件主要包括：原辅材料采购合同、产品销售合同、进出口商务合同。如为出口打包贷款，应出具进口方银行开立的信用证、由国际结算部门出具的信用证条款无疑义的材料、进口商与开证行的资信证明或说明。故D符合题意。,0,0
1,(单选题)存款合同必须是存款客户将款项交付存款机构经确认并出具存款凭证后，存款合同方才成立，因此，存款合同是一种（）。,<p>A格式化合同</p><p>B非格式化合同</p><p>C诺成合同</p><p>D实践合同</p>,4,D,诺成合同，是指以缔约当事人意思表示一致为充分成立条件的合同，即一旦缔约当事人的意思表示达成一致即告成立的合同。实践合同，是指除当事人意思表示一致以外尚需交付标的物才能成立的合同。因此，存款合同是实践合同。,0,0
