1,(单选题)巴塞尔协议Ⅲ中，商业银行的核心一级资本不包括(),<p>A普通股</p><p>B资本公积</p><p>C盈余公积</p><p>D超额贷款损失准备</p>,4,D,选项D属于二级资本的内容。,69,1,0,0
1,(单选题)利率、汇率、商品期货/期权等金融衍生工具的大量涌现出现在以下哪个商业银行风险管理发展的阶段(),<p>A全面风险管理模式阶段</p><p>B资产风险管理模式阶段</p><p>C负债风险管理模式阶段</p><p>D资产负债风险管理模式阶段</p>,4,D,在资产负债风险管理模式阶段，利率、汇率、商品期货/期权等金融衍生工具大量涌现，为金融机构提供了更多的资产负债风险管理工具。,69,1,0,0
1,(单选题)国际先进银行目前所采用的风险调整收益绩效评估办法(RAPM)中被广泛接受和普遍使用的指标RAROC是(),<p>A风险资本回报率</p><p>B风险资产回报率</p><p>C风险调整资产回报率</p><p>D经风险调整的资本收益率</p>,4,D,在经风险调整的业绩评估方法中，目前被广泛接受和普遍使用的是经风险调整的资本收益率(RAROC)。,69,1,0,0
1,(单选题)下列可能会对银行造成损失的风险中不属于操作风险的是(),<p>A恐怖袭击</p><p>B监管规定</p><p>C声誉受损</p><p>D黑客攻击</p>,4,C,C属于声誉风险，声誉风险不属于操作风险，操作风险可分为人员因素、内部流程、系统缺陷和外部事件四大类别。A项恐怖袭击属于外部事件；B项监管规定属于内部流程；D项黑客攻击属于系统缺陷。,69,1,0,0
1,(单选题)下列关于监管资本的说法中，错误的是(),<p>A商业银行的核心一级资本具有永久性</p><p>B按照《商业银行资本管理办法（试行）》，商业银行资本充足率不得低于8%</p><p>C未分配利润属于核心一级资本</p><p>D一般风险准备属于二级资本</p>,4,D,D项中的一般风险准备属于核心一级资本的内容。,69,1,0,0
1,(单选题)()不是全面风险管理模式的风险管理理念和方法。,<p>A全球的风险管理体系</p><p>B全面的风险管理范围</p><p>C全程的风险预测过程</p><p>D全新的风险管理方法</p>,4,C,全程的风险预测过程不是全面风险管理模式的风险管理理念和方法，应为“全程的风险管理过程”,69,1,0,0
1,(单选题)()是指对于无法通过资产负债表和相关业务调整进行自我对冲的风险，通过衍生产品市场进行对冲。,<p>A系统性风险对冲</p><p>B非系统性风险对冲</p><p>C自我对冲</p><p>D市场对冲</p>,4,D,题目所述为市场对冲的概念。,69,1,0,0
1,(单选题)在声誉风险中，下列关于管理声誉风险最好办法的说法不正确的是(),<p>A强化全面风险管理意识</p><p>B改善公司的治理</p><p>C预先做好应对声誉危机的准备</p><p>D无法确保其他主要风险被正确识别、优先排序</p>,4,D,管理声誉风险的最好办法就是：强化全面风险管理意识，改善公司治理和内部控制，并预先做好应对声誉危机的准备；确保其他主要风险被正确识别和优先排序，进而得到有效管理。,69,1,0,0
1,(单选题)随机变量X服从正态分布，其观测值落在距均值的距离为2倍标准差范围内的概率为(),<p>A0.68</p><p>B0.95</p><p>C0.9973</p><p>D0.97</p>,4,B,随机变量X服从正态分布，其观测值落在距均值的距离为1倍标准差范围内的概率为68%，其观测值落在距均值的距离为2倍标准差范围内的概率为95%，其观测值落在距均值的距离为2.5倍标准差范围内的概率为99%。,69,1,0,0
1,(单选题)()是指商业银行在一定的置信度和期限下，为了覆盖和抵御银行超出预期的经济损失（即非预期损失）而应持有的资本金。,<p>A经济资本</p><p>B会计资本</p><p>C监管资本</p><p>D实收资本</p>,4,A,本题考核的是经济资本的定义。,69,1,0,0
1,(单选题)根据巴塞尔协议Ⅱ，定义()为一种特殊类型的操作风险，它包括但不限于因监管措施和解决民商事争议而支付的罚款、罚金或者惩罚性赔偿所导致的风险敞口。,<p>A声誉风险</p><p>B国别风险</p><p>C法律风险</p><p>D流动性风险</p>,4,C,根据巴塞尔协议Ⅱ，定义法律风险为一种特殊类型的操作风险，它包括但不限于因监管措施和解决民商事争议而支付的罚款、罚金或者惩罚性赔偿所导致的风险敞口。,69,1,0,0
