1,(单选题)()是指信用风险管理者通过各种监控技术，动态捕捉信用风险指标的异常变动，判断其是否已达到引起关注的水平或已经超过阀值。,<p>A信用风险识别</p><p>B信用风险度量</p><p>C信用风险监测</p><p>D信用风险控制</p>,4,C,暂无解析,0,0
1,(单选题)巴塞尔委员会根据英国银行家协会、国际掉期和衍生品交易协会、风险管理协会及普华永道咨询公司的意见，将操作风险定义为()。,<p>A操作过程中产生的不确定性，并且人们不能精确预测这种不确定性的分布</p><p>B由不完善或有问题的内部程序、人员及系统或外部事件所造成损失的风险</p><p>C商业银行从业人员在交易或为客户提供其他服务时，面对的意外情况</p><p>D由于市场竞争等原因，银行业务量变动所带来的风险</p>,4,B,操作风险是指由于不完善或有问题的内部操作过程、人员、系统或外部事件而导致的直接或间接损失的风险。【专家点拨】这一定义包含了法律风险，但不包含策略风险和声誉风险。,0,0
1,(单选题)操作风险国内监管规则主要执行的是()的一系列监管规定，主要有《关于加大防范操作风险工作力度的通知》（“操作风险13条”）、《商业银行操作风险管理指引》、《商业银行资本管理办法（试行）》等文件。,<p>A证监会</p><p>B中国人民银行</p><p>C银监会</p><p>D中国银行</p>,4,C,操作风险主要执行的是银监会的一系列监管规定，主要有《关于加大防范操作风险工作力度的通知》（“操作风险13条”）、《商业银行操作风险管理指引》、《商业银行资本管理办法（试行）》等文件。,0,0
1,(单选题)操作风险评估(RCSA)的原理是按照“固有风险一控制措施=剩余风险”的方法，对业务流程中的()和控制措施进行系统识别、量化评级和记录报告，评估业务流程固有风险、剩余风险，量化分析风险程度，并针对不可接受的风险敞口采取改进措施。,<p>A风险因素</p><p>B风险结构</p><p>C风险级别</p><p>D风险点</p>,4,D,操作风险评估(RCSA)，是指操作风险所有人持续识别、评估并报告业务流程的操作风险及其控制状况的过程。其原理是按照“固有风险-控制措施=剩余风险”的方法，对业务流程中的风险点和控制措施进行系统识别、量化评级和记录报告，评估业务流程固有风险、剩余风险，量化分析风险程度，并针对不可接受的风险敞口采取改进措施。,0,0
1,(单选题)操作风险评估的后续管理流程不包括()。,<p>A检查</p><p>B整改</p><p>C考核</p><p>D清算</p>,4,D,RACA对操作风险进行主动的识别和评估，识别控制失当的风险，是操作风险管理过程的开端，后续管理流程包括检查、整改和考核都与之紧密联系，后续管理流程产生的信息可为RACA提供识别、评估课题和依据。同时，RACA形成关键风险和关键控制清单，为操作风险管理和内部控制报告提供统一语言。,0,0
1,(单选题)()中总收入为净利息收入与净非利息收入之和。,<p>A基本指标法</p><p>B标准法</p><p>C高级计量法</p><p>D替代标准法</p>,4,A,基本指标法中总收入为净利息收入与净非利息收入之和。,0,0
1,(单选题)风险评估包括两个方面内容：一是对全面风险管理框架的评估；二是()。,<p>A前瞻性风险评估</p><p>B集中风险评估</p><p>C实质性风险评估</p><p>D单个风险评估</p>,4,C,风险评估主要包括两方面的内容：一方面是对全面风险管理框架的评估，其中主要是对公司治理、风险政策流程和限额以及信息系统的评估；另一方面是实质性风险评估，对银行所面临的所有实质性风险进行全面评估。,0,0
1,(单选题)资本充足率压力测试分为：定期和不定期压力测试，原则上定期压力测试至少()一次。,<p>A3个月</p><p>B半年</p><p>C9个月</p><p>D1年</p>,4,D,暂无解析,0,0
1,(单选题)下列不属于企业集团横向多元化形式的是()。,<p>A下游企业将产成品提供给销售公司销售</p><p>B集团内部两个企业之间大量资产的并购</p><p>C母公司从子公司套取现金</p><p>D母公司将资产以低于评估的价格转售给上市子公司</p>,4,A,A属于纵向一体化的内容，B、C、D三项是横向多元化的内容。,0,0
1,(单选题)授信集中度限额可以按不同维度进行设定，其中()不是其最常用的组合限额设定维度,<p>A行业等级</p><p>B产品等级</p><p>C担保</p><p>D授信额度</p>,4,D,授信集中度限额可以按不同维度进行设定，其中行业等级、产品等级、风险等级和担保是其最常用的组合限额设定维度。,0,0
1,(单选题)可用于反映借款人信用状况的信用衍生产品是()。,<p>A总收益互换</p><p>B信用违约互换</p><p>C信用联动票据</p><p>D信用价差衍生产品</p>,4,D,信用价差衍生产品是商业银行与交易双方签订的以信用价差为基础资产的信用远期合约，以信用价差反映贷款的信用状况。信用价差增加表明贷款信用状况恶化，减少则表明贷款信用状况提高。,0,0
1,(单选题)下列有关信用衍生产品的说法，错误的是()。,<p>A信用衍生产品是允许转移信用风险的金融合约</p><p>B信用衍生产品的违约保护功能在合约的买方和卖方之间是不相同的</p><p>C信用衍生产品的交割只采取现金方式</p><p>D信用衍生产品既可以用于对冲掉全部的违约风险，也可用于对冲信用质量下降的风险</p>,4,C,信用衍生产品既可以采取实物方式也可以采取现金方式。,0,0
1,(单选题)法律风险与操作风险之间的关系是()。,<p>A操作风险和法律风险产生的原因相同</p><p>B外部合规风险与法律风险是相同的</p><p>C法律风险与操作风险相互独立</p><p>D法律风险是操作风险的一种特殊类型</p>,4,D,按照《巴塞尔新资本协议》的规定，法律风险是一种特殊类型的操作风险。,0,0
1,(单选题)全面的风险管理模式强调信用风险、()和操作风险并举，组织流程再造与技术手段创新并举的全面风险管理模式。,<p>A市场风险</p><p>B流动风险</p><p>C战略风险</p><p>D法律风险</p>,4,A,全面的风险管理模式强调信用风险、市场风险和操作风险并举，组织流程再造与技术手段创新并举的全面风险管理模式。,0,0
1,(单选题)风险报告的职责不包括()。,<p>A保证有效全面风险管理的重要性和相关性的清醒认识</p><p>B使员工在业务部门、流程和职能单元之间的风险独立</p><p>C传递商业银行的风险偏好和风险容忍度</p><p>D告诉员工在实施和支持全面风险管理中的角色和职责</p>,4,B,风险报告的职责之一，是使得员工在业务部门、流程和职能单元之间分享风险信息，并非独立；A、C、D三项是风险报告的职责。,0,0
1,(单选题)可防止信贷风险过于集中于某一行业的限额管理类别是()。,<p>A单一客户风险限额</p><p>B组合风险限额</p><p>C集团客户风险限额</p><p>D以上都对</p>,4,B,组合风险限额是商业银行资产组合层面的限额，是组合管理的体现方式和管理手段之一。通过设定组合限额，能防止信贷风险过于集中在组合层面的某些方面（如过度集中于某一行业、某一地区、某些产品、某类客户等），从而有效控制组合信用风险，提高风险管理水平。,0,0
1,(单选题)操作风险评估过程一般从业务管理和风险管理两个层面开展，其遵循的原则一般包括()。,<p>A由内而外、自上而下和从已知到未知</p><p>B由表及里、自下而上和从已知到未知</p><p>C由内而外、自下而上和从已知到未知</p><p>D由表及里、自上而下和从已知到未知</p>,4,B,所遵循的原则实际上是有逻辑关系的：由表及里是由简单到复杂，层层深入；自下而上是一般管理评估的开展顺序，先基层开始收集数据，然后逐级上报；从已知到未知，就是从历史推测未来。,0,0
1,(单选题)现金流量表分为三个部分：经营活动的现金流、投资活动的现金流、融资活动的现金流。买卖其他公司的股票等投资行为属于()。,<p>A经营活动的现金流</p><p>B投资活动的现金流</p><p>C融资活动的现金流</p><p>D销售活动的现金流</p>,4,B,企业买卖房产、购买机器设备或资产租借，借款给附属公司，或者买卖其他公司的股票等投资行为，是投资活动现金流的主要内容。,0,0
1,(单选题)关于资本转换因子，下列说法错误的是()。,<p>A资本转换因子表示需要多少比例的资本来覆盖在该组合的计划授信的风险</p><p>B某组合风险越大，其资本转换因子越高</p><p>C同样的资本，风险越高的组合计划的授信额越高</p><p>D通过资本转换因子，可将以资本表示的组合限额转换为以计划授信额表示的组合限额</p>,4,C,资本转换因子将以资本表示的该组合的组合限额转换为以计划授信额表示的组合限额。资本转换因子表示需要多少比例的资本来覆盖在该组合的计划授信的风险。某组合风险越大，其资本转换因子越高。同样的资本，风险越高的组合其计划授信额越低。,0,0
1,(单选题)下列关于久期的说法，错误的是()。,<p>A久期分析是衡量利率变动对经济价值影响的唯一方法</p><p>B如采用标准久期分析法，不能反映基准风险</p><p>C如采用标准久期分析法，不能很好地反映期权性风险</p><p>D对于利率的大幅变动，久期分析的结果就不再准确</p>,4,A,久期分析只是衡量利率变动对经济价值影响的其中一种方法，所以A错误；久期分析只能反映重新定价风险，不能反映基准风险，以及因利率和支付时间的不同而导致的头寸的实际利率敏感性差异，也不能很好地反映期权性风险，所以B、C正确；对于利率的大幅变动，由于头寸价格的变化与利率的变动无法近似为线性关系，因此，久期分析的结果就不再准确，所以D正确。,0,0
1,(单选题)巴塞尔委员会认为，操作风险是银行面临的一项重要风险，商业银行应为抵御操作风险造成的损失安排()。,<p>A存款准备金</p><p>B经济资本</p><p>C监管资本</p><p>D风险资本</p>,4,B,巴塞尔委员会认为，操作风险是银行面临的一项重要风险，商业银行应为抵御操作风险造成的损失安排经济资本。,0,0
1,(单选题)商业银行限额管理对控制其各种业务活动的风险是很有必要的，以下有关限额管理的说法，不正确的是()。,<p>A限额是指对某一客户（单一法人或集团法人）所确定的、在一定时期内商业银行能够接受的最大信用暴露</p><p>B在限额管理中，给予客户的授信额度只包含贷款，而不包括其他或有负债</p><p>C限额管理的目的是确保所发生的风险总能被事先设定的风险资本加以覆盖</p><p>D商业银行在考虑对客户授信时不能仅仅根据客户的最高债务承受额提供授信，还必须将客户在其他商业银行的原有授信、在本行的原有授信和准备发放的新授信一并加以考虑</p>,4,B,在限额管理中，商业银行给予客户的授信额度应当包括贷款、可交易资产、衍生工具及其他或有负债。,0,0
1,(单选题)国际收支逆差与国际储备之比超过限度()时，说明风险较大。,<p>A0.75</p><p>B0.8</p><p>C1</p><p>D1.5</p>,4,D,国际收支逆差与国际储备之比超过150%时，说明风险较大。,0,0
1,(单选题)下列关于长期次级债务的说法，正确的是()。,<p>A长期次级债务是指存续期限至少在5年以上的次级债务</p><p>B经银监会认可，商业银行发行的有担保的并以银行资产为抵押或质押的长期次级债务工具可列入附属资本</p><p>C在到期日前最后5年，长期次级债务可计人附属资本的数量每年累计折扣为20%</p><p>D长期次级债务不能列入附属资本</p>,4,C,长期次级债务是指原始期限至少在5年以上的次级债务。经银监会认可，商业银行发行的普通的、无担保的、不以银行资产为抵押的长期次级债务工具可以列入附属资本。,0,0
1,(单选题)()通常是指金融资产根据历史成本所反映的账面价值。,<p>A名义价值</p><p>B市场价值</p><p>C公允价值</p><p>D市值重估价值</p>,4,A,名义价值通常是指金融资产根据历史成本所反映的账面价值。,0,0
1,(单选题)假设目前收益率曲线是向上倾斜的，如果预期收益率曲线保持不变，则以下四种策略中，最适合理性投资者的是()。,<p>A买入期限较短的金融产品</p><p>B买入期限较长的金融产品</p><p>C买入期限较短的金融产品，卖出期限较长的金融产品</p><p>D卖出期限较长的金融产品</p>,4,B,假设目前收益率曲线向上倾斜，如果预期收益率曲线基本维持不变，则可以买人期限较长的金融产品。,0,0
1,(单选题)由于内部控制方面的漏洞，很多金融机构在衍生产品交易中遭受巨额损失，而且短期内难以筹措足够的资金平仓，出现严重的()危机。,<p>A操作风险</p><p>B市场风险</p><p>C流动性风险</p><p>D信用风险</p>,4,C,绝大多数严重的流动性危机都源于商业银行自身管理或技术上存在致命的薄弱环节。例如，由于内部控制方面的漏洞，很多金融机构在衍生产品交易中遭受巨额损失，而且短期内难以筹措足够的资金平仓，出现严重的流动性风险。,0,0
1,(单选题)()是一种为各国广泛运用的外汇风险敞口头寸的计量方法，同时为巴塞尔委员会所采用。,<p>A累计总敞口头寸法</p><p>B短边法</p><p>C净敞口头寸法</p><p>D以上都不对</p>,4,B,短边法是一种为各国广泛运用的外汇风险敞口头寸的计量方法，同时为巴塞尔委员会所采用。,0,0
1,(单选题)()是衡量利率变动对银行经济价值影响的一种方法。,<p>A缺口分析</p><p>B久期分析</p><p>C外汇敞口分析</p><p>D风险价值方法</p>,4,B,久期分析是衡量利率变动对银行经济价值影响的一种方法。,0,0
1,(单选题)在计算操作风险经济资本配置的标准法中，β值代表各产品线的操作风险暴露。巴塞尔委员会对各类产品线给出了对应系数，下列()产品线的β因子等于18%。,<p>A零售商业银行业务</p><p>B资产管理</p><p>C支付和结算</p><p>D零售经纪</p>,4,C,巴塞尔委员会对各类产品线给出了对应系数，支付和结算产品线的β因子等于18%。,0,0
1,(单选题)高级计量法是指商业银行在满足巴塞尔委员会提出的资格要求以及定性和定量标准的前提下，商业银行监管资本要求可以通过()来给出。,<p>A内部操作风险计量系统</p><p>B外部操作风险控制系统</p><p>C外部操作风险计量系统</p><p>D内部操作风险识别系统</p>,4,A,高级计量法(AMA)是指商业银行在满足巴塞尔委员会提出的资格要求以及定性和定量标准的前提下，商业银行监管资本要求可以通过内部操作风险计量系统来给出。,0,0
1,(单选题)下列关于商业银行流动性监管核心指标的说法，错误的是()。,<p>A流动性比例和超额备付金比率属于商业银行流动性监管核心指标</p><p>B核心负债比率属于商业银行信用性监管核心指标</p><p>C流动性缺口比率属于商业银行流动性监管核心指标</p><p>D计算商业银行流动性监管核心指标应将本币和外币分别计算</p>,4,B,核心负债比率属于商业银行流动性监管核心指标。,0,0
1,(单选题)下列有关流动性监管核心指标的计算公式，正确的是()。,<p>A流动性比例=流动性负债余额/流动性资产余额*100%</p><p>B人民币超额准备金率=在中国人民银行超额准备金存款/人民币各项存款期末余额*100%</p><p>C核心负债比率=核心负债期末余额/核心资产期末余额*100%)</p><p>D流动性缺口率=（流动性缺口+未使用不可撤销承诺）/到期流动性资产*100%</p>,4,D,流动性比例=流动性资产余额/流动性负债余额*100%，所以A错误；人民币超额准备金率=（在中国人民银行超额准备金存款+库存现金）/人民币各项存款期末余额*100%，所以B错误；核心负债比率=核心负债期末余额/总负债期末余额*100%，所以C错误。流动性缺口率=（流动性缺口+未使用不可撤销承诺）/到期流动性资产*100%。,0,0
1,(单选题)监管当局允许商业银行在计算操作风险损失时，使用内部确定的相关系数，但是商业银行必须验证其()方面的假设条件，并能证明其系统能在估计各项操作风险损失之间的相关系数方面的精确性。,<p>A及时性假设</p><p>B相关性假设</p><p>C准确性假设</p><p>D全部性假设</p>,4,B,监管当局允许商业银行在计算操作风险损失时，使用内部确定的相关系数，但是商业银行必须验证其相关性假设方面的假设条件，并能证明其系统能在估计各项操作风险损失之间的相关系数方面的精确性。,0,0
1,(单选题)巴塞尔委员会对实施高级计量法提出了具体的标准，对于内部数据，它规定：无论用于计量还是用于验证，商业银行必须具备()的内部损失数据。,<p>A至少5年</p><p>B至少3年</p><p>C至多5年</p><p>D至多3年</p>,4,A,巴塞尔委员会对实施高级计量法提出了具体的标准，对于内部数据，它规定：无论用于计量还是用于验证，商业银行必须具备至少5年的内部损失数据。,0,0
1,(单选题)商业银行通常将特定时段内包括活期存款在内的()作为贷款的主要融资来源。,<p>A现金流入</p><p>B最低存款</p><p>C平均存款</p><p>D最高存款</p>,4,C,商业银行通常将特定时段内包括活期存款在内的平均存款作为核心资金，为贷款提供融资来源。【专家点拨】虽然活期存款持有者在理论上可以随时提取存款，但统计分析表明，绝大多数活期存款都不会在短期内一次性全部支取，而且平均存放时间在2年以上。,0,0
1,(单选题)假设某商业银行的总资产为1500亿元，总负债为1350亿元，现金头寸为70亿元，应收存款为5亿元，则该银行的现金头寸指标为()。,<p>A5.6%</p><p>B5.2%</p><p>C4.7%</p><p>D5%</p>,4,D,现金头寸指标=（现金头寸+应收存款）/总资产=(70+5)/1500*100%=5%。,0,0
1,(单选题)在银行监管实践中，()监管贯穿于市场准入、持续经营、市场退出的全过程，也是监管当局评价商业银行风险状况、采取监管措施的主要依据。,<p>A盈利能力</p><p>B资本收益率</p><p>C资本充足率</p><p>D资产收益率</p>,4,C,建立在审慎贷款风险分类、充足计提各类资产损失准备基础上计算的资本充足率，是衡量银行综合经营实力和抵御风险能力的重要指标。【专家点拨】在银行监管实践中，资本充足率监管贯穿于商业银行设立、持续经营、市场退出的全过程，也是监管当局评估商业银行风险状况、采取监管措施的重要依据。,0,0
1,(单选题)某商业银行董事会明确定位本银行为一家积极进取、以利润最大化为首要经营目标的银行。2002至2007年间，其信贷资产主要投向房地产行业，其资金交易业务主要集中于高收益的次级债券。2008年受到金融危机的冲击，该银行面临严重的流动性风险，经分析可确认，该银行面临的流动性风险是其()长期积聚、恶化的综合作用结果。,<p>A市场风险、战略风险和操作风险</p><p>B信用风险、市场风险和战略风险</p><p>C声誉风险、市场风险和操作风险</p><p>D信用风险、声誉风险和战略风险</p>,4,B,从该银行的经营目标以及信贷资产的投向，可以看出其面临战略风险；从资金交易业务主要集中于高收益、高风险的次级债券，可以看出其面临较高的信用风险和市场风险，这三种主要风险综合作用使该银行面临严重的流动性风险。,0,0
1,(单选题)下列各项中，不属于商业银行的流动性基本要素的是()。,<p>A时间</p><p>B成本</p><p>C资产规模</p><p>D资金数量</p>,4,C,商业银行的流动性是衡量商业银行在一定时间内、以合理的成本获取资金用于偿还债务或增加资产的能力，其基本要素包括时间、成本和资金数量。,0,0
1,(单选题)商业银行的借款人由于经营问题，无法按期偿还贷款，商业银行这部分贷款面临的是()。,<p>A产流动性风险</p><p>B负债流动性风险</p><p>C流动性过剩</p><p>D流动性短缺</p>,4,A,资产流动性是指商业银行持有的资产可以随时得到偿付或者在不贬值的情况下进行出售，反映了商业银行在无损失或微小损失情况下迅速变现的能力。贷款属于商业银行的资产，因此这部分贷款面临的是资产流动性风险。,0,0
1,(单选题)商业银行有效的战略风险管理应当确保其长期战略、短期目标、()和可利用资源紧密联系在一起。,<p>A风险管理措施</p><p>B员工利益</p><p>C连续营业方案</p><p>D资本实力</p>,4,A,有效的战略风险管理流程应当确保商业银行的长期战略、短期目标、风险管理措施和可利用资源紧密联系在一起。与声誉风险相似，战略风险产生于商业银行运营的所有层面和环节，并与市场风险、信用风险、操作风险和流动性风险等交织在一起。,0,0
