1,(单选题)基金当事人不包括（）。,<p>A基金份额持有人</p><p>B基金销售机构</p><p>C基金托管人</p><p>D基金管理人</p>,4,B,基金销售机构属于基金市场服务机构。,0,0
1,(单选题)同时投资于价值型股票与成长型股票的基金被称为（）。,<p>A混合型基金</p><p>B平衡型基金</p><p>C保本型基金</p><p>D收入型基金</p>,4,B,同时投资于价值型股票与成长型股票的基金则称为平衡型基金。,0,0
1,(单选题)封闭式基金发售方式主要有（）。,<p>A金额认购和证券认购</p><p>B证券认购和网上发售</p><p>C网上发售和网下发售</p><p>D网下发售和金额认购</p>,4,C,封闭式基金发售方式主要有网上发售和网下发售两种。,0,0
1,(单选题)基金年度报告在会计年度结束后（）日内经过审计后予以公告。,<p>A15</p><p>B30</p><p>C60</p><p>D90</p>,4,D,基金年度报告在会计年度结束后90日内经过审计后予以公告。,0,0
1,(单选题)（）是市场经济的核心机制。,<p>A竞争</p><p>B教育</p><p>C道德</p><p>D家庭背景</p>,4,A,竞争是市场经济的核心机制。,0,0
1,(单选题)我国开放式基金的存续期为（）。,<p>A5年</p><p>B15年</p><p>C15年-50年</p><p>D一般无期限</p>,4,D,我国开放式基金的存续期为一般无期限。,0,0
1,"(单选题)对于新成立的基金,基金合同一般约定（）个月的建仓期，建仓期结束后，基金投资组合的各项比例需要符合基金合同的约定。",<p>A3</p><p>B4</p><p>C5</p><p>D6</p>,4,D,对于新成立的基金，基金合同一般约定6个月的建仓期，建仓期结束后，基金投资组合的各项比例需要符合基金合同的约定。,0,0
1,(单选题)根据《证券投资基金信息披露管理办法》，需要出具审计报告的是（）。,<p>A半年报告</p><p>B季度报告</p><p>C年度报告</p><p>D月度报告</p>,4,C,基金年度报告的财务会计报告应当经过审计。,0,0
1,(单选题)下列关于封闭式基金交易的陈述，不正确的是（）。,<p>A遵从价格优先、时间优先原则</p><p>B申报价格最小变动单位为0.01元人民币</p><p>C采用电脑集合竞价和连续竞价两种方式</p><p>D实行T+1交收制度</p>,4,B,申报价格最小变动单位为0.001元人民币。,0,0
1,(单选题)下列关于基金从业人员关于内幕交易的行为规范说法错误的是（）。,<p>A不得自己或者促使他人利用内幕信息牟取不正当利益</p><p>B不得从事或协同他人从事内幕交易用未公开信息从事交易活动</p><p>C不得泄露利用工作便利获取的内幕信息或其他未公开信息</p><p>D暗示他人从事内幕交易活动</p>,4,D,基金从业人员不得自己或者促使他人利用内幕信息牟取不正当利益，不得从事或协同他人从事内幕交易或利用未公开信息从事交易活动，不得泄露利用工作便利获取的内幕信息或其他未公开信息、或明示、暗示他人从事内幕交易活动。,0,0
1,(单选题)市场细分是指根据（）将整体市场区分成若干个不同群体的过程。,<p>A客户不同的需求恃征</p><p>B市场的不同特点</p><p>C客户所处地域差别</p><p>D市场的供求状况</p>,4,A,市场细分是指根据客户不同的需求特征，将整体市场区分成若干个不同群体的过程。,0,0
1,(单选题)及时性原则要求以最快的速度公开信息，体现在基金管理人应在法定期限内披露基金招募说明书，定期报告等文件，在重大事件发生之日起（）内披露临时报告。,<p>A1</p><p>B2</p><p>C3</p><p>D5</p>,4,B,及时性原则要求以最快的速度公开信息，体现在基金管理人应在法定期限内披露基金招募说明书、定期报告等文件，在重大事件发生之日起2日内披露临时报告。,0,0
1,(单选题)当基金份额持有人的利益与基金管理公司，基金托管人的利益发生冲突时，投资管理人员应当坚持(),<p>A基金份额持有人利益优先的原则</p><p>B基金托管银行利益优先的原则</p><p>C基金管理公司，基金托管银行，基金份额持有人利益兼顾原则</p><p>D基金管理公司利益优先的原则</p>,4,A,在公司、股东以及公司员工的利益与基金份额持有人的利益发生冲突时，应当优先保障基金份额持有人的利益。,0,0
1,(单选题)下列关于债券基金与债券的不同，说法错误的是（）。,<p>A债券基金的收益不如债券的利息固定</p><p>B债券基金有确定的到期曰</p><p>C债券基金的收益率比买入并持有到期的单个债券的收益率更难预测</p><p>D投资的风险不同</p>,4,B,债券基金与债券的区别：债券基金的收益不如债券的利息固定；债券基金没有确定的到期日；债券基金的收益率比买入并持有到期的单个债券的收益率更难以预测；投资风险不同。,0,0
1,"(单选题)依据国家法律、法规和基金合同的规定,不属于基金管理人职责的有（）。",<p>A办理与基金财产管理业务活动有关的信息披露事项</p><p>B管理并运作基金资产</p><p>C持有并保管基金资产</p><p>D计算并公告基金资产净值</p>,4,C,基金管理人的职责主要有：1.依法募集基金，办理或者委托经中国证监会认定的其他机构代为办理基金份额的发售、申购、赎回和登记事宣；2.办理基金备案手续；3.对所管理的不同基金财产分别管理、分别记账，进行证券投资；4.按照基金合同的约定确定基金收益分配方案，及时向基金份额持有人分配改益；5.进行基金会计核算并编制基金财务会计报告；6.编制中期和年度基金报告；7.计算并公告基金资产净值，确定基金份额申购、赎回价格；8.办理与基金财产管理业务活动有关的信息披露事项；9.召集基金份额持有人大会；10.保存基金财产管理业务活动的记录、账册、报表和其他相关资料；11.以基金管理人名义，代表基金份额持有人利益行使诉讼权利或者实施其他法律行为；12.中国证监会规定的其他职责。,0,0
1,"(单选题)依据有关规定,基金托管人应履行的职责不包括（）。",<p>A安全保管基金财产</p><p>B办理与基金托管业务活动有关的信息披露事项</p><p>C对基金财务会计报告、中期和年度基金报告出具意见</p><p>D办理基金备案手续</p>,4,D,办理基金备案手续属于基金管理人的职责。,0,0
1,(单选题)人们习惯将（）年以前设立的基金称为老基金。,<p>A1995</p><p>B1996</p><p>C1997</p><p>D1998</p>,4,C,相对于1998年《暂行办法》实施以后发展起来的新的证券投资基金，人们习惯上将1997年以前设立的基金称为“老基金”。,0,0
1,"(单选题)投资者在开放式基金合同生效后,申请购买基金份额的行为通常被称为基金的（）。",<p>A认购</p><p>B申购</p><p>C赎回</p><p>D交易</p>,4,B,投资者在开放式基金合同生效后，申请购买基金份额的行为通常被称为基金的申购。在基金募集期内购买基金份额的行为通常被称为基金的认购。,0,0
1,(单选题)ETF在二级市场交易时申报价格最小变动单位为（）元。,<p>A1</p><p>B0.1</p><p>C0.01</p><p>D0.001</p>,4,D,ETF在二级市场交易时申报价格最小变动单位为0.001元。,0,0
1,(单选题)已发行股票的转让流通市场叫做股票的（）。,<p>A一级市场</p><p>B二级市场</p><p>C三级市场</p><p>D主板市场</p>,4,B,发行新股票的市场叫股票发行市场或股票初级市场，已发行股票的转让流通市场叫做股票的二级市场。,0,0
1,(单选题)依据基金法律形式的不同，基金可以分为（）。,<p>A公司型基金与契约型基金</p><p>B开放式基金与公司型基金</p><p>C封闭式基金与契约型基金</p><p>D契约型基金与开放式基金</p>,4,A,依据法律形式的不同，基金可分为契约型基金与公司型基金。,0,0
1,(单选题)基金财产的保管由独立于基金管理人的（）负责。,<p>A基金托管人</p><p>B基金咨询机构</p><p>C基金服务机构</p><p>D基金投资人</p>,4,A,基金财产必须由独立于基金管理人的基金托管人保管。,0,0
1,(单选题)基金宣传推介材料表述基金的过往业绩时，以下说法错误的是（）。,<p>A须同时登载基金业绩比较基准的表现</p><p>B基金业绩表现数据应当经基金管理人符复核</p><p>C应当按照有关法律、行政法规的规定或者行业公认的准则计算基金的业绩表现数据</p><p>D引用的统计数据和资料应当真实、准确，并注明出处</p>,4,B,须同时登载基金业绩比较基准的表现；基金业绩表现数据应当经基金托管人复核。,0,0
1,(单选题)证券投资基金属于金融服务行业，其市场营销不同于有形产品营销，在运用4Ps理论时有其特殊性，其特殊性不包括（）。,<p>A规范性</p><p>B集中性</p><p>C持续性</p><p>D适用性</p>,4,B,特殊性有:规范性、服务性、专业性、持续性和适用性。,0,0
1,(单选题)下列关于经理层人员，说法错误的是（）。,<p>A经理层人员应当熟悉相关法律、行政法规及中国证监会的监管要求，依法合规、勤勉、审慎地行使职权，促进基金财产的高效运作，为基金份额持有人谋求最大利益</p><p>B经理层人员应当维护公司的统一性和完整性，在其职权范围内对公司经营活动进行独立、自主决策，不受他人干预，不得将其经营管理权让渡给股东或者其他机构和人员</p><p>C经理层人员应当构建公司自身的企业文化，保持公司内部机构和人员责任体系、报告路径的清晰、完整，不得违反规定的报告路径，防止在内部责任体系、报告路径和内部员工之间出现割裂的情况</p><p>D经理层人员应当区别对待公司管理的不同基金财产和客户资产，可以在不同基金财产之间、基金财产与委托资产之间进行利益输送。</p>,4,D,经理层人员应当公平对待公司管理的不同基金财产和客户资产，不得在不同基金财产之间、基金财产与委托资产之间进行利益输送。,0,0
