1,(单选题)LOF与ETF的区别不包括（）。,<p>AETF一级市场申购、赎回交易通常只有大资金才能参与；而普通投资者就可以投资LOF</p><p>BLOF的投资策略可以是主动型，也可以是指数型，而ETF通常是主动式投资管理</p><p>CLOF可以在代销网点或交易所申购、赎回，而ETF通过交易所申购、赎回</p><p>DLOF申购、购回是基金份额与现金的对价，ETF与投资者交换的是基金份额与一揽子股票</p>,4,B,ETF通常采用完全被动式管理方法。,0,0
1,"(单选题)（）年,国务院批准,颁布了《证券投资基金管理暂行办法》，这是我国首次颁布的规范证券基金运作的行政法规,为我国证券投资基金业的规范发展奠定了法律基础。",<p>A1995</p><p>B1998</p><p>C1997</p><p>D1999</p>,4,C,经国务院批准，中国证监会于1997年11月14日颁布了《证券投资基金管理暂行办法》。,0,0
1,(单选题)根据《证券投资基金法》的规定，非公开募集基金应当向合格投资者募集，合格投资者累计不得超过（）人。,<p>A100</p><p>B200</p><p>C300</p><p>D400</p>,4,B,依据《证券投资基金法》的规定，非公开募集基金应当向合格投资者募集，合格投资者累计不得超过200人。,0,0
1,(单选题)基金销售机构内部控制的目标不包括（）。,<p>A保证基金销售机构经营运作严格遵守国家有关法律法规和行业监管规则</p><p>B防范和化解经营风险，提高经营管理效益；确保经营业务的稳健运行和投资人资金的安全</p><p>C扩大基金销售市场份额，提高销售的收益率</p><p>D利于查错防弊，堵塞漏洞，消除隐患；保证业务稳健运行</p>,4,C,基金销售机构内部控制的目标是：保证基金销售机构经营运作严格遵守国家有关法律法规和行业监管规则；防范和化解经营风险，提高经营管理效益，确保经营业务的稳健运行和投资人资金的安全；利于错防弊，堵塞漏洞，消除隐患，保证业务稳健运行。,0,0
1,(单选题)基金管理公司内部控制制度中明确内控目标、内控原则、控制环境、内控措施等内容的文件是（）。,<p>A基本管理制度</p><p>B部门业务规章</p><p>C业务操作手册</p><p>D内部控制大纲</p>,4,D,基金管理公司内部控制制度中明确内控目标、内控原则、控制环境、内控措施等内容的文件是内部控制大纲。,0,0
1,"(单选题)金融资产是代表未来收益或资产合法要求权的凭证,债权类金融资产不包括（）。",<p>A票据</p><p>B债券</p><p>C契约型投资工具</p><p>D各类股票</p>,4,D,在金融市场上，资金的供给者通过投资金融工具获得各种类型的金融资产，金融资产是代表未来收益或资产合法要求权的凭证，标示了明确的价值，表明了交易双方的所有权关系和债权关系。一般分为债权类金融资产和股权类金融资产两类。债权类金融资产以票据、债券等契约型投资工具为主，股权类金融资产以各类股票为主。,0,0
1,(单选题)客户服务中售中服务的内容不包括（）。,<p>A协助客户完成风险承受能力测试并细致解释测试结果</p><p>B推介符合适用性原则的基金</p><p>C提醒客户及时核对交易确认</p><p>D介绍基金产品</p>,4,C,售中服务是指客户在基金投资操作过程中享受的服务。主要包括：协助客户完成风险承受能力测试并细致解释测试结果；推介符合适用性原则的基金；介绍基金产品；协助客户办理开立账户、申购、赎回、资料变更等基金业务。,0,0
1,(单选题)下面不是基金信息披露的形式方面遵循的原则的是（）。,<p>A规范性</p><p>B易解性</p><p>C易得性</p><p>D全面性</p>,4,D,基金信息披露的形式性原则包括规范性、易解性、易得性。,0,0
1,(单选题)信息披露的原则体现在对披露内容和披露形式两方面的要求上，下列不属于披露内容上的是（）。,<p>A真实性原则</p><p>B准确性原则</p><p>C规范性原则</p><p>D及时性原则</p>,4,C,信息披露的原则体现在对披露内容和披露形式两方面的要求上。在披露内容上，要求遵循真实性原则、准确性原则、完整性原则、及时性原则和公平性原则；在披露形式上，要求遵循规范性原则、易解性原则和易得性原则,0,0
1,(单选题)基金从业人员在执业活动中接触到的秘密不包括（）。,<p>A商业秘密</p><p>B客户资料</p><p>C内幕信息</p><p>D来源不可靠、模棱两可的信息</p>,4,D,基金从业人员在执业活动中接触到的秘密主要包括三类：一是商业秘密；二是客户资料；三是内幕信息。,0,0
1,(单选题)下列不属于公司员工违反忠实义务的是（）。,<p>A以任何行为欺骗或欺诈任何公司现有或将来的客户</p><p>B对重大事实作虚假陈述或隐瞒重要事实，该事实隐瞒会使得其陈述具有误导性质</p><p>C不得参与任何操纵市场的行为</p><p>D向任何其他人透露、除非是代表客户履行职责的行为，关于客户、公司的任何证券交易或与此有关的信息</p>,4,C,公司所有员工不得从事以下违反忠实义务的行为：1.以任何行为欺骗或欺诈任何公司现有或将来的客户。2.对重大事实作虚假陈述或隐瞒重要事实，该事实隐瞒会使得其陈述具有误导性质。3.参与任何对客户或将来的客户构成欺诈或欺骗的行为、实践或商业交往。4.参与任何操纵市场的行为。5.向任何其他人透露（除非是代表客户履行职责的行为）关于客户、公司的任何证券交易或与此有关的信息。,0,0
1,(单选题)某基金合同规定，其政府债券配置比例不低于40%，公司债券配置比例不低于40%；股票配置比例不超过10%，现金及货币市场工具不低于5%。则该基金应该属于（）。,<p>A股票型基金</p><p>B债券型基金</p><p>C货币市场基金</p><p>D混合型基金</p>,4,B,根据基金合同的规定，基金投资中债券的配比例不低于80%，因此应该为债券型基金。,0,0
