1,(单选题)LOF基金份额赎回申报单位为（）。,<p>A1元人民币</p><p>B1份基金份额</p><p>C10元人民币</p><p>D10份基金份额</p>,4,B,LOF基金份额赎回申报单位为1份基金份额。,0,0
1,(单选题)基金托管人职责终止的，应当按照规定聘请（）对基金财产进行审计，并将审计结果予以公告，同时报（）备案。备案。,<p>A会计师事务所；中国证监会</p><p>B会计师事务所；中国基金业协会</p><p>C律师事务所；中国基金业协会</p><p>D律师事务所；中国证监会</p>,4,A,基金托管人职责终止的，应当按照规定聘请会计师事务所对基金财产进行审计，并将审计结果予以公告，同时报中国证监会备案。（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）,0,0
1,"(单选题)基金份额持有人大会应当有代表（）以上基金份额的持有人参加,方可召开。",<p>A四分之三</p><p>B三分之一</p><p>C三分之二</p><p>D二分之一</p>,4,D,基金份额持有人大会应当有代表1/2以上基金份额的持有人参加，方可召开。,0,0
1,(单选题)基金管理人未按规定召集或者不能召集基金份额持有人大会的，由（）召集。,<p>A基金投资者</p><p>B基金托管人</p><p>C日常机构</p><p>D代表基金份额5%以上的基金份额持有人</p>,4,B,基金管理人未按规定召集或者不能召集的，由基金托管人召集。,0,0
1,(单选题)下列不属于基金管理人应当履行的职责的是（）。,<p>A对所管理的不同基金财产分别管理、分别记账，进行证券投资</p><p>B办理基金备案手续</p><p>C安全保管基金财产</p><p>D以基金管理人的名义，代表基金份额持有人利益行使诉讼权利</p>,4,C,选项C属于基金托管人的职责。,0,0
1,(单选题)私募基金的合格投资者的净资产不低于（）万元的单位。,<p>A500</p><p>B2000</p><p>C1000</p><p>D3000</p>,4,C,净资产不低于1000万元的单位。,0,0
1,(单选题)未经（)批推，基金管理公司不得设立或者变相设立子公司。,<p>A中国基金业协会</p><p>B中国证监会</p><p>C中国银监会</p><p>D中国证券业协会</p>,4,B,未经中国证监会批准，基金管理公司不得设立或者变相设立子公司。,0,0
1,(单选题)下列不属于基金管理人及其董事、监事、高级管理人员和其他从业人员禁止行为的是（）。,<p>A以基金管理人的名义，代表基金份额持有人利益行使诉讼权利或者实施其他法律行为</p><p>B侵占、挪用基金财产</p><p>C向基金份额持有人违规承诺收益或者承担损失</p><p>D将其固有财产或者他人财产混同与基金财产从事证券投资</p>,4,A,选项A属于基金管理人的职责。,0,0
1,(单选题)下列选项中不属于基金经理任职应当具备条件的是（）。,<p>A具有5年以上证券投资管理经历</p><p>B最近3年没有受到证券、银行、工商和税务等行政管理部门的行政处罚</p><p>C通过中国证监会或者其他授权机构组织的高级管理人员证券投资法律知识考试</p><p>D取得基金从业资格</p>,4,A,具有3年以上证券投资管理经历。,0,0
1,(单选题)设立基金管理公司，拟任高级管理人员、业务人员不少于（）人，并应当取得基金从业资格。,<p>A7</p><p>B15</p><p>C10</p><p>D30</p>,4,B,拟任高级管理人员、业务人员不少于15人，（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）并应当取得基金从业资格。,0,0
1,(单选题)重新召集的基金份额持有人大会应当有代表（）以上基金份额的持有人参加，方可召开。,<p>A二分之一</p><p>B三分之二</p><p>C三分之一</p><p>D四分之三</p>,4,C,重新召集的基金份额持有人大会应当有代表1/3以上基金份额的持有人参加，方可召开。,0,0
1,(单选题)（）是最为广泛、最具权威、最为有效的监管。,<p>A基金行业自律</p><p>B社会力量监督</p><p>C政府基金监管</p><p>D基金机构内控</p>,4,C,相比基金行业自律、基金机构内控以及社会力量监督而言，政府基金监管指最为广泛、最具权威、最为有效的监管。,0,0
1,(单选题)（）年12月，中国证券协会证券投资基金业委员会成立。该委员会作为基金专业人士组成的议事机构，承接了原基金公会的职能和任务，在中国证券业协会的领导下开展工作。,<p>A2003</p><p>B2006</p><p>C2004</p><p>D2007</p>,4,C,2004年12月，中国证券协会证券投资基金业委员会成立。该委员会作为基金专业人士组陈的议事机构，承接了原基金公会的职能和任务，在中国证券业协会的领导下开展工作。,0,0
1,(单选题)下列关于基金份额持有人大会的说法，错误的是（）。,<p>A基金份额持有人大会设立日常机构的，由该日常机构召集</p><p>B基金管理人、基金托管人都不召集的，代表基金份额10%以上的基金份额持有人有权自行召集，并报国务院证券监督管理机构备案</p><p>C基金管理人未按规定召集或者不能召集时，由基金托管人召集</p><p>D代表基金份额5%以上的基金份额持有人就同一事项有权要求召开基金份额持有人大会</p>,4,D,代表基金份额10%以上的基金份额持有人有权自行召集。,0,0
1,(单选题)申请登记期间，登记事项发生重大变化的，私募基金管理人应当及时告知（）并变更申请登记内容。,<p>A基金业协会</p><p>B证监会</p><p>C银监会</p><p>D证券业协会</p>,4,A,申请登记期间，登记事项发生重大变化的，私募基金管理人应当及时告知基金业协会并变更申请登记内容。,0,0
1,(单选题)基金公司主要股东为法人或其他组织的，净资产不低于（）亿元人民币。,<p>A1</p><p>B5</p><p>C2</p><p>D10</p>,4,C,基金公司主要股东为法人或其他组织的，净资产不低于2亿元人民币。,0,0
1,(单选题)注册公开募集基金，由拟任基金管理人向中国证监会提交的文件不包括（）。,<p>A基金宣传推介材料</p><p>B招募说明书草案</p><p>C律师事务所出具的律师意见书</p><p>D基金合同草案</p>,4,A,注册公开募集基金，由拟人基金管理人向中国证监会提交下列文件：①申请报告；②基金合同草案；③基金托管协议草案；④招募说明书草案；⑤律师事务所出具的法律意见书；⑥中国证监会规定提交的其他文件。,0,0
1,(单选题)（），中国证券投资基金业协会正式成立，原中国证券业协会基金公司会员部的行业自律职责转入中国证券投资基金业协会。,<p>A2012年3月</p><p>B2013年5月</p><p>C2012年6月</p><p>D2014年7月</p>,4,C,2012年6月，中国证券投资基金业协会正式成立，原中国证券业协会基金公司会员部的行业自律职责转入中国证券投资基金业协会。,0,0
1,(单选题)基金业协会的会员类别不包括（）。,<p>A联系会员</p><p>B临时会员</p><p>C特别会员</p><p>D普通会员</p>,4,B,会员分为三类：普通会员、联系会员、特别会员。,0,0
1,(单选题)目前，我国对投资者从基金分配中获得的企业债券的利息收入，由（）在向基金派发利息时，代扣代缴20%的个人所得税。,<p>A发行债券的企业</p><p>B基金销售机构</p><p>C基金管理人</p><p>D发起人</p>,4,A,个人投资者从基金分配中获得的股票的股利收入、企业债券的利息收入，由上市公司、发行债券的企业和银行在向基金支付上述收入时，代扣代缴20%的个人所得税。,0,0
1,(单选题)基金的财务会计报告通常不包括（）。,<p>A年报</p><p>B周报</p><p>C季报</p><p>D月报</p>,4,B,财务会计报告分为年度、半年度、季度和月度财务会计报告。,0,0
1,(单选题)基金会计核算中，承担复核责任的是（）。,<p>A证券投资基金</p><p>B基金管理公司</p><p>C会计师事务所</p><p>D基金托管人</p>,4,D,基金会计核算中，承担复核责任的是基金托管人。（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）,0,0
1,(单选题)我国基金的管理费、托管费、销售服务费按（）的一定比例逐日计提，按月支付。,<p>A当日基金资产净值</p><p>B上月基金资产平均净值</p><p>C前一日基金资产净值</p><p>D当月基金资产平均净值</p>,4,C,我国基金的管理费、托管费、销售服务费按前一日基金资产净值的一定比例逐日计提，按月支付。,0,0
1,(单选题)目前管理人报酬、托管费和销售服务费是按资产净值的一定比例计提支付的，在计算基金净值时已经将费用扣除，所以大部分（）类基金投资者对此并不太敏感。,<p>A股票类</p><p>B债券类</p><p>C货币市场</p><p>D以上选项都不对</p>,4,A,目前管理人报酬、托管费和销售服务费是按净值的一定比例计提支付的，在计算基金净值时已经将费用扣除，所以大部分股票类基金投资者对此并不太敏感。,0,0
1,(单选题)基金信息披露最根本、最重要的原则是（）。,<p>A及时性原则</p><p>B准确性原则</p><p>C完整性原则</p><p>D真实性原则</p>,4,D,真实性原则是基金信息披露最根本、最重要的原则。,0,0
1,(单选题)客户至上是调整基金从业人员与投资人之间关系的道德规范。这里的“客户”，是指（）。,<p>A基金管理人</p><p>B基金份额持有人</p><p>C基金托管人</p><p>D基金服务机构</p>,4,B,客户至上是调整基金从业人员与投资人之间关系的道德规范。这里的“客户”，是指投资人，也即基金份额持有人。,0,0
1,(单选题)下列不属于基金售后服务的是（）。,<p>A定期提供产品净值信息</p><p>B提醒客户及时核对交易确认</p><p>C向客户介绍客户服务、信息查询等的办法和路径</p><p>D协助客户办理开立账户、申购、赎回、资料变更等基金业务</p>,4,D,售后服务主要包括：①提醒客户及时核对交易确认；②向客户介绍客户服务、信息查询等的办法和路径；③定期提供产品净值信息；④基金公司、基金产品发动变化时及时通知客户。,0,0
1,(单选题)基金管理人设监事会，监事会向（）负责。,<p>A股东会</p><p>B管理层</p><p>C董事长</p><p>D董事会</p>,4,A,基金管理人设监事会，监事会向股东会负责。,0,0
1,(单选题)关于董事会应当履行的合规职责，下列说法错误的是（）。,<p>A审议批准合规政策，监督合规政策的实施，并对实施情况进行年度评估</p><p>B决定公司合规管理部门的设置及其职能</p><p>C根据总经理提名决定合规负责人的聘任、解聘及薪酬事</p><p>D制定并执行风险为本的合规管理计划，包括特定政策和程序的实施与评价、合规风险评估、合规性测试与教育等</p>,4,D,选项D为合规管理部门应履行的基本职责。,0,0
1,(单选题)（）对基金管理人开展合规工作提出了原则性要求。,<p>A合规文化</p><p>B公司章程</p><p>C合规政策</p><p>D合规责任</p>,4,C,合规政策对基金管理人开展合规工作提出了原则性要求。,0,0
1,(单选题)关于监事会应当履行的合规职责，下列说法错误的是（）。,<p>A.通知业务机构停止其违法行为</p><p>B保持与监管机构日常的工作联系，跟踪和评估监管意见和监管要求的落实情况</p><p>C随时调查公司的财务状况，审查账册文件，并有权要求董事会向其提供情况</p><p>D审核董事会编制的提供给股东会的各种报表，并把审核意见向股东会报告</p>,4,B,选项C为合规管理部门应履行的基本职责。,0,0
1,(单选题)（）应当指导、督促公司妥善处理投资人的重大投诉，保护投资人的合法权益。,<p>A督察长</p><p>B总经理</p><p>C合规管理部门</p><p>D监事会</p>,4,A,督察长应当指导、督促公司妥善处理投资人的重大投诉，保护投资人的合法权益。,0,0
1,(单选题)下列不属于合规风险主要种类的是（）。,<p>A监管合规性风险</p><p>B信息披露合规性风险</p><p>C反洗钱合规性风险</p><p>D投资合规性风险</p>,4,A,合规风险的主要种类包括：①投资合规性风险；②销售合规性风险；③信息披露合规性风险；④反洗钱合规性风险。（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）,0,0
1,(单选题)基金管理人的合规管理一般涉及（）内容。,<p>A风险控制</p><p>B公司治理</p><p>C投资管理</p><p>D以上选项都正确</p>,4,D,基金管理人的合规管理涉及：①风险控制；②公司治理；③投资管理；④监察稽核等。,0,0
1,(单选题)制定严格有效的开户流程，规范对客户的身份认证和授权资格的认定，对有关客户的身份证明材料予以保存、上述内容属于合规风险中，（）的主要管理措施。,<p>A反洗钱合规性风险</p><p>B销售合规性风险</p><p>C信息披露合规风险</p><p>D投资合规性风险</p>,4,A,题干叙述内容，属于反洗钱合规性风险的主要管理措施。,0,0
1,(单选题)封闭式基金的交易价格主要受（）的影响，,<p>A投资基金规模大小</p><p>B二级市场供求关系</p><p>C上市公司质量</p><p>D投资时间长短</p>,4,B,封闭式基金的交易价格主要受二级市场供求关系的影响。,0,0
1,(单选题)以下不属于证券投资基金特点有（）。,<p>A集合投资、专业管理</p><p>B投入较少、回报较高</p><p>C组合投资、分散风险</p><p>D独立托管、保障安全</p>,4,B,证券投资基金的特点包括：①集合理财、专业管理；②组合投资、分散风险；③利益共享、风险共担；④严格监管、信息透明；⑤独立托管、保障安全。,0,0
1,(单选题)在风险程度上，按照理论推测和以往的投资实践，证券投资中风险最大的是（）。,<p>A基金投资</p><p>B股票投资</p><p>C债券投资</p><p>D风险相同</p>,4,B,股票投资的风险最大。,0,0
1,(单选题)根据（）的不同，可以将基金划分为公司型基金和契约型基金。,<p>A基金存续期</p><p>B基金规模</p><p>C法律形式</p><p>D投资理念</p>,4,C,证券投资基金依据法律形式的不同，基金可分为契约型基金与公司型基金。,0,0
1,(单选题)证券投资基金在英国和中国香港特别行政区被称为（）。,<p>A单位信托基金</p><p>B证券投资信托基金</p><p>C共同基金</p><p>D集合投资计划</p>,4,A,证券投资基金在英国和中国香港特别行政区被称为单位信托基金。,0,0
1,(单选题)（）年12月，首家批准筹建的中外合资基金公司国联安基金管理有限公司成立，基金业成为履行我国证券服务业入世承诺的先锋。,<p>A2000</p><p>B2002</p><p>C2001</p><p>D2003</p>,4,B,2002年12月，首家批准筹建的中外合资基金公司国联安基金管理有限公司成立，基金业成为履行我国证券服务业入世承诺的先锋。,0,0
1,(单选题)1940年（）和1940年（）是美国关于共同基金的两部最重要的法律，不但规定了对投资公司的监管，而且规定了基金投资顾问、基金销售商、投资公司董事、管理人员等的管理。,<p>A《投资公司法》；《投资顾问法》</p><p>B《证券法》；《投资公司法》</p><p>C《证券交易法》；《投资顾问法》</p><p>D《证券交易法》；《证券法》</p>,4,A,1940年《投资公司法》和1940年《投资顾问法》是美国关于共同基金的两部最重要的法律，（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）不但规定了对投资公司的监管，而且规定了基金投资顾问、基金销售商、投资公司董事、管理人员等的管理。,0,0
1,(单选题)我国封闭式基金在达成交易后，二级市场交易份额和股份的交割是在（）日，资金交刻是在（）日完成。,<p>AT+1；T+1</p><p>BT+1；T+0</p><p>CT+0；T+0</p><p>DT+0；T+1</p>,4,D,我国封闭式基金在达成交易后，二级市场交易份额和股份的交割是在T＋0日，资金交割是在T＋1日完成。,0,0
