1,(单选题)基金业协会的权力机构为（）。,<p>A会员大会</p><p>B董事会</p><p>C监事会</p><p>D股东大会</p>,4,A,基金业协会的权力机构为全体会员组成的会员大会。,0,0
1,(单选题)组织指导公司监察稽核工作，履行职责的范围应当涵盖基金及公司运作的所有业务环节。上述职责应当由（）负责履行。,<p>A监事会</p><p>B管理层</p><p>C合规管理部门</p><p>D督察长</p>,4,D,督察长负责组织指导公司监察稽核工作，履行职责的范围应当涵盖基金及公司运作的所有业务环节。,0,0
1,(单选题)淄博基金募集规模为（）亿元。,<p>A20</p><p>B5</p><p>C10</p><p>D1</p>,4,D,1992年11月，经中国人民银行总行批准的国内第一家投资基金淄博乡镇企业投资基金（简称“淄博基金”）正式设立，并于1993年8月在上海证券交易所挂牌上市，成为我国首只在证券交易所上市交易的投资基金，该基金为公司型封闭式基金，募集规模1亿元人民币，60%投向淄博乡镇企业，40%投向上市公司。,0,0
1,(单选题)资产管理行业的功能和作用不包括（）。,<p>A给金融市场提供流动性，加大交易成本</p><p>B帮助投资者进行投资决策，并提供决策的最佳执行服务</p><p>C是资金的需求方和供给方能够便利的连接起来</p><p>D提高整个社会经济的效率和生产服务水平</p>,4,A,A选项应是降低交易成本。,0,0
1,(单选题)转换基金的运作方式、更换基金管理人或者基金托管人、提前终止基金合同、与其他基金合并，应当经参加大会的基金份额持有人所持表决权的（）以上通过。,<p>A二分之一</p><p>B三分之二</p><p>C三分之一</p><p>D四分之三</p>,4,B,转换基金的运作方式、更换基金管理人或者基金托管人、提前终止基金合同、与其他基金合并，应当经参加大会的基金份额持有人所持表决权的2/3以上通过。,0,0
1,(单选题)中国证监会应当自受理公开募集基金的募集注册申请之日起（）个月内依照法律、行政法规及中国证监会的规定进行审查，做出注册或者不予注册的决定，并通知申请人；不予注册的，应当说明理由。,<p>A3</p><p>B12</p><p>C6</p><p>D36</p>,4,C,中国证监会应当自受理公开募集基金的募集注册申请之日起6个月内依照法律、行政法规及中国证监会的规定进行审查，做出注册或者不予注册的决定，并通知申请人；不予注册的，应当说明理由。,0,0
1,(单选题)中国证监会领导干部离职后（）年内，一般工作人员离职（）年内，不得到与原工作业务直接相关的机构任职。,<p>A2；1</p><p>B5；3</p><p>C3；2</p><p>D3；1</p>,4,C,中国证监会领导干部离职后3年内，一般工作人员离职2年内，不得到与原工作业务直接相关的机构任职。,0,0
1,(单选题)政府监管较之基金行业自律、基金机构内控以及社会力量监督具有的特征不包括下列中的（）。,<p>A监管对象具有广泛性</p><p>B监管主体及其权限具有法定性</p><p>C监管活动具有自觉性</p><p>D监管时间具有连续性</p>,4,C,政府监管较之基金行业自律、基金机构内控以及社会力量监督具有以下特征：①监管内容具有全面性；②监管对象具有广泛性；③监管时间具有连续性；④监管主体及其权限具有法定性；⑤监管活动具有强制性。,0,0
1,(单选题)证券投资基金的主要投资方向是（）。,<p>A有价证券</p><p>B上市公司的投资项目</p><p>C信贷</p><p>D实业</p>,4,A,股票和债券是直接投资工具，筹集的资金主要投向实业领域；基金是一种间接投资工具，所筹集的资金主要投向有价证券等金融工具或产品。,0,0
1,(单选题)证券交易所在监控中发现基金交易行为异常.涉嫌违法违规的，可以根据具体情况，采取电话提示、警告、约见谈话、公开谴责等措施，并同时向（）报告。,<p>A中国银监会</p><p>B基金业协会</p><p>C中国证监会</p><p>D证券业协会</p>,4,C,证券交易所在监控中发现基金交易行为异常，涉嫌违法违规的，可以根据具体情况，采取电话提示、警告、约见谈话、公开谴责等措施，并同时向中国证监会报告。,0,0
1,(单选题)召开基金份额持有人大会，召集人应当至少提前（）日公告基金份额持有人大会的召开时间、会议形式、审议事项、议事程序和表决方式等事项。,<p>A10</p><p>B30</p><p>C15</p><p>D60</p>,4,B,召开基金份额持有人大会，召集人应当至少提前30日公告基金份额持有人大会的召开时间、会议形式、审议事项、议事程序和表决方式等事项。,0,0
