1,(单选题)世界上第一只ETF在（）推出的。,<p>A美国</p><p>B加拿大</p><p>C英国</p><p>D澳大利亚</p>,4,B,无,0,0
1,(单选题)信息披露义务人将不存在的事实在基金信息披露文件中予以记载的行为属于（）。,<p>A重大遗漏</p><p>B不当竞争</p><p>C虚假记载</p><p>D误导性陈述</p>,4,C,虚假记载是指信息披露义务人将不存在的事实在基金信息披露文件中予以记载。,0,0
1,(单选题)在过去的基金销售格局中，商业银行和（）处于绝对强势的地位。,<p>A证券公司</p><p>B保险公司</p><p>C期货公司</p><p>D证券投资咨询公司</p>,4,A,在过去的基金销售格局中，商业银行和证券公司处于绝对强势的地位。,0,0
1,(单选题)属于基金份额持有人大会权利的是（）。,<p>A召开或召集份额持有人大会</p><p>B对持有人大会审议事项行使表决权</p><p>C对基金管理人、托管人、基金服务机构损害其合法权益的行为依法提起诉讼</p><p>D决定修改基金合同重要内容或者提前终止基金合同</p>,4,D,其他三项是基金份额持有人的权利。考察基金份额持有人和基金份额持有人大会的权利区别。,0,0
1,(单选题)在基金管理人内部控制机制建设上，以下说法不正确的是（）。,<p>A在设置内控机构上，不能重眼前利润，不重专职内控机构建立</p><p>B在建立内控制度上，不能重内部管理制度建立，不重内部核心部门防火墙制度建立</p><p>C在执行内控制度上，应该重非经常性发生事项控制，不重经常性发生事项控制</p><p>D在监督内控上，不能重程序监督、不重对“内部人”的监督</p>,4,C,在执行内控制度上，不能重非经常性发生事项控制，不重经常性发生事项控制,0,0
1,(单选题)目前，我国封闭式基金在二级市场上通常按（）交易。,<p>A溢价</p><p>B平价</p><p>C发行价</p><p>D折价</p>,4,D,封闭式基金的交易价格主要受二级市场供求关系的影响，我国通常按折价交易。,0,0
1,(单选题)下列关于基金半年度报告信息披露的说法，错误的是（）。,<p>A需要提供过去最近三个会计年度的主要会计数据</p><p>B无需披露最近3年每年的净值增长率</p><p>C无需披露内部监察报告</p><p>D不需要审计</p>,4,A,半年度报告只需要提供当期的主要会计数据和财务指标。,0,0
1,(单选题)下列不属于证监会对基金市场的监管措施的是（）。,<p>A现场检查</p><p>B行政处罚</p><p>C刑事处罚</p><p>D限制交易</p>,4,C,中国证监会的监管措施有：检查、调查取证、限制交易和行政处罚，没有刑事处罚。,0,0
1,(单选题)关于ETF的上市交易规则，正确的有（）。,"<p>A上市首日无涨跌幅限制</p><p>B申报价格最小变动单位为0.01元</p><p>C买入申报数量为1,000份或其整数倍</p><p>D上市首日的开盘参考价为前一工作日基金份额净值</p>",4,D,上市首日涨跌幅比例为10%，A错误；申报价格最小变动单位为0.001元，B错误；买入申报数量为100份或其整数倍，C错误。,0,0
1,(单选题)按债券发行人的不同，债券基金不包括（）。,<p>A企业债券基金</p><p>B政府债券基金</p><p>C金融债券基金</p><p>D长期债券</p>,4,D,长期债券是按照发行期限长短进行的分类。（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）,0,0
1,(单选题)基金管理公司内部控制制度体系中的最低层次是（）。,<p>A内部控制大纲</p><p>B基本管理制度</p><p>C部门业务规章</p><p>D业务操作手册</p>,4,D,重大业务的授权应采用书面形式。,0,0
1,(单选题)下列关于基金年度报告的表述，错误的是（）。,<p>A目前，基金年度报告采用在管理人网站上披露正文作为披露的唯一方式</p><p>B基金年度报告是基金存续期内信息披露中信息量最大的文件</p><p>C年度报告包括基金投资组合报告</p><p>D基金管理人是基金年度报告的编制者和披露义务人</p>,4,A,基金年度报告正文登载于网站上，摘要登载在指定报刊上。,0,0
1,(单选题)关于基金宣传推介材料的禁止性规定，下列说法正确的是（）。,<p>A可以登载基金过去的业绩</p><p>B根据基金过去业绩预测将来业绩</p><p>C在能力允许的范围内，可以承诺收益或承担损失</p><p>D可以登载单位的推荐性文字</p>,4,A,基金宣传推介材料不得预测基金的投资业绩，B错误；不可以承诺收益或承担损失，C错误；不可以登载单位或个人的推荐性文字，D错误。,0,0
1,(单选题)下列各项说法中，错误的是（）。,<p>A揭示投资风险</p><p>B不得夸大业绩，但可以预测未来的业绩</p><p>C告知客户投资的基本流程和一般原则</p><p>D不得进行虚假或者误导性陈述</p>,4,B,不可以预测未来的业绩。,0,0
1,(单选题)根据《基金管理公司风险管理指引（试行）》，信息披露合规性风险管理主要措施包括（）。,<p>A建立信息披露风险责任制，将应披露的信息落实到各相关部门，并明确对其提供的信息的真实、准确、完整和及时性负全部责任</p><p>B对销售协议的签订进行合规审核，对销售机构签约前进行审慎调查，严格选择合作的基金销售机构</p><p>C对交易异常行为进行定义，并事后评估，加强对异常交易的跟踪、监测和分析</p><p>D建立风险导向的反洗钱防控体系，合理配置资源</p>,4,A,信息披露合规性风险管理主要措施包括建立信息披露风险责任制，将应披露的信息落实到各相关部门，并明确对其提供的信息的真实、准确、完整和及时性负全部责任。,0,0
1,(单选题)关于货币市场基金的说法，正确的是（）。,<p>A既适合短期投资，也适合长期投资</p><p>B适合短期投资</p><p>C适合长期投资</p><p>D没有投资风险</p>,4,B,暂无，请查看考友笔记,0,0
1,(单选题)下列不属于季度投资组合报告需要披露的内容的是（）。,<p>A基金资产组合</p><p>B按行业分类的股票投资组合</p><p>C前10名股票明细，按券种分类的债券投资组合</p><p>D前10名债券明细及投资组合报告附注</p>,4,D,季度投资组合报告需要披露前5名债券明细及投资组合报告附注。,0,0
1,(单选题)关于基金投资人风险承受能力调查和评价，下列说法正确的是（）。,<p>A基金销售机构应当在投资人首次开立基金交易账户或首次购买基金产品前对其风险承受能力进行调查评价</p><p>B对已经购买了基金产品的投资人，基金销售机构可以不再对其进行风险调查</p><p>C对放弃接受调查的基金投资人，基金销售机构应尊重其隐私，默认为其承受能力较强</p><p>D对于投资人主动认购或申购风险超越其承受能力的基金产品的，基金销售机构应当予以拒绝</p>,4,A,对已经购买了基金产品的投资人，基金销售机构应当追溯调查，B错误；对放弃接受调查的基金投资人，基金销售机构应通过其他合理的规则或方法评价投资人的风险承受能力，C错误；对于投资人主动认购或申购风险超越其承受能力的基金产品的，销售机构应在其认购或申购时进行风险确认，并在销售信息管理平台上记录其确认信息，D错误。,0,0
