1,(单选题)在我国，拟设立的基金管理公司的注册资本不低于人民币( ）元,<p>A2亿</p><p>B5000万</p><p>C1亿</p><p>D1.5亿</p>,4,C,在我国，拟设立的基金管理公司的注册资本不低于人民币1亿元。 ,0,0
1,(单选题)下列关于股票、债券、基金风险收益的说法，不正确的有( ),<p>A股票的收益小于基金</p><p>B股票的收益是不确定的</p><p>C证券投资基金的收益高于债券</p><p>D基金投资的风险大于债券</p>,4,A,通常情况下，股票是一种高风险、高收益的投资品种;债券是一种低风险、低收益的投资品种；基金投 资于众多的股票，能有效分散风险，是一种风险相对适中、收益相对稳健的投资品种。因此，相比较 可得出，股票的风险、收益要大于基金的风险、收益，基金的风险、收益大于债券的风险、收益。 ,0,0
1,(单选题)下列关于证券投资基金在全球的发展特征的说法，不正确的是( ),<p>A美国占据主导地位，其他国家和地区发展迅猛</p><p>B封闭式基金成为证券投资基金的主流产品</p><p>C基金资产的资金来源发生了重大变化</p><p>D基金市场竞争加剧，行业集中趋势突出</p>,4,B,目前，证券投资基金在全球发展的主要特征有： ①美国占据主导地位，其他国家和地区发展迅猛； ②开放式基金成为证券投资基的主流产品； ③基金市场竞争加剧，行业集中趋势突出； ④基金资产的资金来源发生了重大变化，机构投资者不断成为基金的重要资金来源。,0,0
1,(单选题)下列关于基金销售适用性管理制度的内容的说法中，不正确的是( ),<p>A对基金托管人进行全面调查的方式和方法</p><p>B对基金产品的风险等级进行设置、对基金产品进行风险评价的方式和方法</p><p>C对基金投资人风险承受能力进行调查和评价的方式和方法</p><p>D对基金产品和基金投资人进行匹配的方法</p>,4,A,基金销售机构应当建立基金销售适用性管理制度，至少包括以下内容： ①对基金管理人进行审慎调查的方式和方法； ②对基金产品的风险等级进行设置、对基金产品进行风险评价的方式和方法； ③对基金投资人风险承受能力进行调查和评价的方式和方法； ④对基金产品和基金投资人进行匹配的方法。 A项说法错误。,0,0
1,(单选题)同时投资于价值型股票与成长型股票的股票基金被称为( ),<p>A混合型基金</p><p>B平衡型股票基金</p><p>C保本型基金</p><p>D收入型基金</p>,4,B,专注于价值型股票投资的股票基金称为价值型股票基金，专注于成长型股票投资的股票基金称为成长 型股票基金，同时投资于价值型股票与成长型股票的基金则称为平衡型基金。 ,0,0
1,(单选题)专业审慎对于基金从业人员的基本要求不包括( ),<p>A持证上岗</p><p>B持续学习</p><p>C协调内部关系</p><p>D审慎开展执业活动</p>,4,C,专业审慎对于基金从业人员的基本要求体现在三个方面：持证上岗、持续学习、审慎开展执业活动。,0,0
1,(单选题)职业道德的特征不包括( ),<p>A特殊性</p><p>B继承性</p><p>C差异性</p><p>D具体性</p>,4,C,职业道德具有特殊性、继承性、规范性、具体性。,0,0
1,(单选题)证券投资基金依据法律形式进行的分类中，我国的证券投资基金主要是( ),<p>A公司型基金</p><p>B契约型基金</p><p>C开放式基金</p><p>D对冲基金</p>,4,B,证券投资基金依据法律形式的不同，基金可分为契约型基金与公司型基金。目前，我国的证券投资基 金均为契约型基金，公司型基金则以美国的投资公司为代表。 ,0,0
1,(单选题)下列关于证券投资基金特点的说法，不正确的是( ),<p>A集中托管、保障安全</p><p>B组合投资、分散风险</p><p>C严格监管、信息透明</p><p>D利益共享、风险共担</p>,4,A,证券投资基金的特点有： ①集合理财、专业管理； ②组合投资、分散风险； ③利益共享、风险共担； ④严格监管、信息透明； ⑤独立托管、保障安全。,0,0
1,(单选题)对基金管理人职责终止的监管措施的说法，不正确的是( ),<p>A基金管理人职责终止后，如果基金合同不终止，则应当选任新的基金管理人，以使基金运作得以继续 正常进行</p><p>B新基金管理人产生前，由中国证监会指定临时基金管理人</p><p>C在指定临时管理人或者选任新的基金管理人之前，中国证监会应当担负妥善保管基金管理业务资料的责任</p><p>D基金管理人职责终止的，应当按照规定聘请会计师事务所对基金财产进行审计，并将审计结果予以公 告，同时报中国证监会备案</p>,4,C,在指定临时管理人或者选任新的基金管理人之前，原基金管理人应当担负妥善保管基金管理业务资料 的责任。故C项错误。 ,0,0
1,(单选题)在我国香港特别行政区和英国，证券投资基金一般被称为( ),<p>A在我国香港特别行政区和英国，证券投资基金一般被称为单位信托基金。 </p><p>B单位信托基金</p><p>C证券投资信托基金</p><p>D私募基金</p>,4,B,在我国香港特别行政区和英国，证券投资基金一般被称为单位信托基金。 ,0,0
