1,(单选题)跟踪偏离度=（）。 ,<p>A证券组合的真实收益率+基准组合的收益率 </p><p>B证券组合的真实收益率基准组合的收益率 </p><p>C证券组合的真实收益率基准组合的收益率 </p><p>D证券组合的真实收益率-基准组合的收益率</p>,4,D,跟踪偏离度＝证券组合的真实收益率－基准组合的收益率。,0,0
1,"(单选题)关于QDII基金的投资范围,表述不准确的是（）。 ",<p>A住房按揭支持证券 </p><p>B经中国证监会认可的国际金融组织发行的证券 </p><p>C所有的公募基金 </p><p>D银行存款</p>,4,C,QDII基金可以投资在已与中国证监会签署双边监管合作谅解备忘录的国家或地区证券监管机构登记注 册的公募基金，而不是所有的公募基金。,0,0
1,(单选题)（）影响投资者的风险态度以及对流动性的要求。 ,<p>A收益要求的高低 </p><p>B投资期限的长短 </p><p>C风险容忍度的大小 </p><p>D监管制度的强弱</p>,4,B,投资期限的长短影响投资者的风险态度以及对流动性的要求。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)已知某基金近两年来累计收益率为20%，那么应用几何平均收益率计算的该基金的年 平均收益率应为 （）%。 ,<p>A7.5</p><p>B9.5</p><p>C8.5</p><p>D10.5</p>,4,B,（1＋20%）P1/2P－1＝9.5%。,0,0
1,(单选题)某基金的份额净值在第一年年初时为1元，到了年底基金份额净值达到2元，但时隔一年，在第二年年末 它又跌回到了1元。假定这期间基金没有分红，则该基金的几何平均收益率为（）。 ,<p>A10</p><p>B5</p><p>C0</p><p>D15</p>,4,C,（21）（11）－1＝0。,0,0
1,(单选题)以下不属于风险调整后收益指标的是（）。 ,<p>A夏普比率 </p><p>B信息比率 </p><p>C特雷诺比率 </p><p>D速动比率</p>,4,D,风险调整后收益指标有夏普比率、信息比率、特雷诺比率。,0,0
1,"(单选题)期末可供分配利润为期末资产负债表中未分配利润与未分配利润中已实现部分的孰低数，如果期末未分 配利润的未实现部分为（），则期末可供分配利润的金额为期末未分配利润的已实现部分。
","<p>A零 </p><p>B负数 </p><p>C正数 </p><p>D以上选项都不对
</p>",4,C,本题考查未分配利润的计算。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)下列关于封闭式基金的利润分配的说法错误的是（）。 ,<p>A封闭式基金的收益分配，每年不得少于一次 </p><p>B封闭式基金只能采用现金分红 </p><p>C基金收益分配后基金份额净值不得低于面值 </p><p>D封闭式基金年度收益分配比例不得高于基金年度可供分配利润的90%</p>,4,D,封闭式基金年度收益分配比例不得低于基金年度可供分配利润的90％，而不是高于。,0,0
1,"(单选题)（）是指在保证投资者的投资总额不发生改变的前提下，将一份基金按照一定的比例分拆成若干份，每 一基金份额的单位净值也按相同比例降低,是对基金的资产进行重新计算的一种方式。 ",<p>A份额投资 </p><p>B现金分红 </p><p>C基金份额分拆 </p><p>D分红再投资</p>,4,C,题干所述为基金份额分拆的概念。,0,0
1,(单选题)关于货币市场基金的利润分配的说法，错误的选项是（）。 ,<p>A每周一至周四进行分配时，则仅对当日利润进行分配 </p><p>B节假曰的利润计算基本与在周五申购或赎回的情况相同 </p><p>C当日申购的基金份额自当日起享有基金的分配权益 </p><p>D货币市场基金每周五进行分配时，将同时分配周六和周日的利润</p>,4,C,当日申购的基金份额自下一日起享有基金的分配权益。,0,0
1,(单选题)按债券利率是否固定分类，可分为（）和浮动利率债券。 ,<p>A贴现债券 </p><p>B累进利率债券 </p><p>C固定利率债券 </p><p>D复利债券</p>,4,C,按债券利率是否固定分类，可分为固定利率债券和浮动利率债券。,0,0
1,(单选题)关于QFII投资范围的说法，下列说法错误的是（）。 ,<p>A在银行间债券市场交易的固定收益产品 </p><p>B证券投资基金 </p><p>CB股 </p><p>D在证券交易所交易或转让的股票、债券和权证</p>,4,C,合格境外机构投资者在经批准的投资额度内，可以投资于下列人民币金融工具： ①在证券交易所交易或转让的股票、债券和权证； ②在银行间债券市场交易的同定收益产品； ③证券投资基金； ④股指期货； ⑤中国证监会允许的其他金融工具。,0,0
1,(单选题)（）是反映远期利率的有效途径，它的水平和斜率反映了经济主体对未来通货膨胀的预期和对未来基本 经济形势的判断。 ,<p>A价格消费曲线 </p><p>B菲利普斯曲线 </p><p>C国债收益率曲线 </p><p>D洛伦兹曲线</p>,4,C,题干所述为国债收益率曲线的作用。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)（）是境内具有法人资格的非金融企业发行的，仅在银行间债券市场上流通的短期债务工具。 ,<p>A短期政府债券 </p><p>B短期融资券 </p><p>C回购协议 </p><p>D银行承兑汇票</p>,4,B,短期融资券是境内具有法人资格的非金融企业发行的，仅在银行间债券市场上流通的短期债务工具。,0,0
