1,(单选题)J曲线是以（）为横轴、（）为纵轴的曲线。,<p>A收益率；风险</p><p>B收益率；时间</p><p>C风险；收益率</p><p>D时间；收益率</p>,4,D,J曲线是以时间为横轴、收益率为纵轴的曲线。,0,0
1,(单选题)EVA.为（），则企业在经营过程中创造了财富。,<p>A0</p><p>B负</p><p>C＋∞</p><p>D正</p>,4,D,EVA为正，则企业在经营过程中创造了财富。本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。,0,0
1,(单选题)相关系数是（）表示两种资产的变化之间没有关系。,<p>A1</p><p>B-1</p><p>C0</p><p>D2</p>,4,C,相关系数是0表示两种资产的变化之间没有关系。,0,0
1,(单选题)下列选项属于紧缩性财政政策的是（）。①．政府提高税率以增加税收②．央行提高法定存款准备金率③．政府减少购买性支出④．在公开市场增发央票⑤．增加对农业的补贴,<p>A①、③、⑤</p><p>B①、③</p><p>C②、④、⑤</p><p>D②、④</p>,4,B,政府提高税率和减少购买性支出属于紧缩性财政政策，故①、③正确。央行提高法定存款准备金率和在公开市场增发央票属于紧缩性货币政策，故②、④错误。增加对农业的补贴属于扩张性财政政策，故⑤错误。,0,0
1,(单选题)对基金取得的股利收入、债券的利息收入、储蓄存款利息收入，由上市公司、发行债券的企业和银行在向基金支付上述收入时代扣代缴()的个人所得税。,<p>A0.1</p><p>B0.15</p><p>C0.2</p><p>D0.25</p>,4,C,对基金取得的股利收入、债券的利息收入、储蓄存款利息收入由上市公司、发行债券的企业和银行在向基金支付上述收入时代扣代缴20%的个人所得悦。,0,0
1,(单选题)AIFMD要求自我管理的基金，初始资本金不低于（）。,<p>A10万欧元</p><p>B20万欧元</p><p>C12.5万欧元</p><p>D30万欧元</p>,4,D,暂无，请查看考友笔记,0,0
1,(单选题)权益类证券大宗交易、债券大宗交易（除公司债券外），协议平台的成交确认时间为每个交易日（）。,<p>A15:00－15:30</p><p>B9:15－11:30、13:00－15:30</p><p>C13:00－14:00</p><p>D9:30－11:30、13:00－15:30</p>,4,A,权益类证券大宗交易、债券大宗交易（除公司债券外），协议平台的成交确认时间为每个交易日15:00－15:30。,0,0
1,(单选题)AIFMD规定，私募股权投资基金收购公司（）内不允许通过各种形式进行资产转让，进而阻止它们为短期持有资产而进行收购活动。,<p>A1年</p><p>B2年</p><p>C3年</p><p>D5年</p>,4,B,AIFMD规定，私募股权投资基金收购公司2年内不允许通过各种形式进行资产转让，进而阻止它们为短期持有资产而进行收购活动。,0,0
1,(单选题)若一年期国库券的收益率为3％，风险厌恶投资者要求的风险溢价为5％，则该投资者的期望收益率为（）。,<p>A0.02</p><p>B0.08</p><p>C0.05</p><p>D0.03</p>,4,B,期望收益率＝无风险资产收益率＋风险溢价＝3％＋5％＝8％。,0,0
1,(单选题)（），证监会正式批复上海证券交易所和香港联合交易所开展沪港股票互联互通机制试点，简称沪港通。,<p>A2014年4月10日</p><p>B2014年6月25日</p><p>C2014年10月10日</p><p>D2014年11月17日</p>,4,A,暂无，请查看考友笔记,0,0
1,(单选题)目前常用的等级评价设置为（）个等级。,<p>A3</p><p>B5</p><p>C10</p><p>D11</p>,4,B,目前常用的等级评价主要根据指标的排序范围设置为5个等级。,0,0
