1,(单选题)证券交易所设（），负责日常事务。 ,<p>A总经理 </p><p>B董事长 </p><p>C会长 </p><p>D理事长</p>,4,A,证券交易所设总经理，负责日常事务。,0,0
1,(单选题)( ) 是使用频率最高的债务比率。 ,<p>A资产收益率 </p><p>B权益乘数和负债权益比 </p><p>C总资产周转率 </p><p>D资产负债率</p>,4,D,资产负债率是使用频率最高的债务比率。,0,0
1,(单选题)（）报告了企业在某一时点的资产、负债和所有者权益的状况。 ,<p>A资产负债表 </p><p>B利润表 </p><p>C现金流量表 </p><p>D权益变动表</p>,4,A,资产负债表称为企业的"第一会计报表"。资产负债表报告了企业在某一时点的资产、负债和所有者权 益的状况，报告时点通常为会计季末、半年末或会计年末。,0,0
1,(单选题)下列关于资本结构的和债权资本的说法错误的是( )。 ,<p>A资本结构是指企业资本总额中各种资本的构成比例。最基本的资本结构是债权资本和权益资本的比 例，通常用债务股权比率或资产负债率表示</p><p>B个公司的总资本是1000万元，其中有300万元的债权资本和7 00万元的权益资本，那么该公司的资本 结构即包含30%的债务和7 0%的权益，该公司的资产负债率是30% </p><p>C有负债的公司被称为杠杆公司，一个拥有100%权益资本的公司被称为完全杠杆公司，因为它没有债 权资本 </p><p>D债权资本是通过借债方式筹集的资本，公司向债权人（如银行、债券持有人及供应商等）借入资金， 定期向他们支付利息，并在到期日偿还本金</p>,4,C,C项所述为无杠杆公司，因为它没有债权资本。,0,0
1,(单选题)以下公式正确的是（）。 ,<p>A转换价格=可转换债券面值/转换比例 </p><p>B转换价格=可转换债券市值转换比例 </p><p>C转换比例=可转换债券面值/转换市价 </p><p>D转换比例=可转换债券市值/转换价格</p>,4,A,转换比例=可转换债券面值/转换价格,0,0
1,(单选题)证券投资基金一股在月末结转当期损益，按固定价格报价的货币市场基金一股损益（）。 ,<p>A逐时结转 </p><p>B逐日结转 </p><p>C逐周结转 </p><p>D逐月结转</p>,4,B,货币市场基金一般每日结转损益。,0,0
1,(单选题)我国场内股票交易的买卖双方支付的过户费属于（ ）的收入。,"<p>A中国结算公司 </p><p>B证券经纪商 </p><p>C证券交易所 </p><p>D证券监督管理机构
</p>",4,A,过户费属于中国结算公司的收入。,0,0
1,(单选题)以下关于回购的说法正确的是（ ）。 ,<p>A质押式回购虽然历史很长，但买断式回购为主要交易品种 </p><p>B买断式回购是指出售的国债的所有权转移给国债的受让方（正回购方），受让方有权处置该国债，只 需在到期日按约定价格回售先前的国债 </p><p>C质押式回购是指质押的国债的所有权仍属于国债的出让方（正回购方），受让方（逆回购方）无权处 置， 国债被证券交易中心冻结 </p><p>D按逆回购方是否有权处置回购标的国债划分，国债回购可以分为质押式回购（开放式回购）和买断式 回购</p>,4,C,回购市场目前以质押式回购为主要交易品种，所以A项错误；国债的受让方为逆回购方，所以B项错 误；买断式回购又称为开放式回购，所以D项错误。,0,0
1,(单选题)关于被动投资指数复制和调整说法，错误的是（ ）。 ,<p>A指数复制可以采用完全复制、抽样复制和优化复制等方法 </p><p>B完全复制、抽样复制和优化复制指数方法所需要的样本股票数量依次递增，跟踪误差依次 </p><p>C根据抽样方法的不同，抽样复制可以分为市值优先、分层抽样等方法 </p><p>D被动投资复制指数会产生复制成本</p>,4,B,根据市场条件的不同，通常有三种指数复制方法，即完全复制、抽样复制和优化复制。三种复制方法 所使用的样本股票的数量依次递减，但是跟踪误差通常依次增加。,0,0
1,(单选题)A证券的预期报酬率为12%，标准差为15%；B证券的预期报酬率为18%，标准差为20%。投资于两种证券 组合的可行集是一条曲线，有效边界与可行集重合，以下结论中错误的是（）。 ,<p>A最小方差组合是全部投资于A证券 </p><p>B最高预期报酬率组合是全部投资于B证券 </p><p>C两种证券报酬率的相关性较高，风险分散化效应较弱 </p><p>D可以在有效集曲线上找到风险最小、期望报酬率最高的投资组合</p>,4,D,根据有效边界与可行集重合可知，可行集曲线上不存在无效投资组合，而A的标准差低于B，所以最小 方差组合是全部投资于A证券，即A的说法正确；投资组合的报酬率是组合中各种资产报酬率的加权平 均数，因为B的预期报酬率高于A所以最高预期报酬率组合是全部投资于证券，即B正确，由于曲线上下存在无效投资组合，因此两种证券报酬率的相关性较高险，风险分散化效应较弱，C的说法正确； 因为风险最小的投资组合为全部投资于A证券，期望报酬率最高的投资组合为全部投资于B证券，所以 D的说法错误。,0,0
1,(单选题)以下不属于目前最常用的风险价值估算方法的是（）。 ,<p>A最小二乘法 </p><p>B历史模拟法 </p><p>C蒙特卡洛摸拟法 </p><p>D参数法</p>,4,A,最常用的VaR估算方法有参数法、历史模拟法和蒙特卡罗模拟法。,0,0
