1,(单选题)目前我国银行间现券交易的结算日有（）。I.T+0 II.T+1 III.T+2 IV.T+3,<p>AI.II</p><p>BI.IV</p><p>CII.III</p><p>DIII.IV</p>,4,A,目前，银行间债券市场现券交易的结算日有 T+0 和 T+1 两种。,0,0
1,(单选题)以下不属于盈利能力指标的是（）,<p>A销售利润率(ROS)</p><p>B资产收益率(ROA)</p><p>C净资产收益率(ROE)</p><p>D应收账款周转率</p>,4,D,评价企业盈利能力的比率有很多，其中最重要的有三种：销售利润率(ROS)、资产收益率(ROA)、净资 产收益率(ROE)。,0,0
1,(单选题)下列选项中，不属于另类投资局限性的是（）,<p>A缺乏监管和信息透明度</p><p>B流动性较差，杠杆率偏高</p><p>C估值难度大，难以对资产价值进行准确评估</p><p>D另类投资产品能够通过多元化达到分散风险的作用。</p>,4,D,另类投资产品能够通过多元化达到分散风险的作用属于另类投资的优点。,0,0
1,(单选题)关于货银对付原则，以下表述错误的是（）,<p>A货银对付原则又称款券两清或钱货两清原则</p><p>B通俗地说，就是“一手交钱，一手交货” </p><p>C货银对付已经成为各国（地区）证券市场普遍遵循的原则。</p><p>D我国证券市场目前已经在权证、ETF 、基金等一些创新品种实行了货银对付制度。</p>,4,D,我国证券市场目前已经在权证、ETF 等一些创新品种实行了货银对付制度， 但对A 股、 基金等老品 种的货银对付制度还在推行当中。,0,0
1,(单选题)以下关于估值责任的表述，错误的是（）,<p>A我国基金资产估值的责任人是基金管理人</p><p>B基金托管人对基金管理人的估值结果负有复核责任。</p><p>C基金管理公司和托管人在进行基金估值、计算基金份额净值及相关复核工作时，可参考工作小组的意 见，能免除各自的估值责任。</p><p>D当对估值原则或程序有异议时，托管人有义务要求基金管理公司做出合理解释，通过积极商讨达成一 致意见。</p>,4,C,基金管理公司和托管人在进行基金估值、计算基金份额净值及相关复核工作时，可参考工作小组的意 见，但是并不能免除各自的估值责任。,0,0
1,(单选题)关于基金的下行风险，以下表述错误的是（）,<p>A下行风险是一个受到广泛关注的风险衡量指标。</p><p>B下行风险是指，由于市场环境变化，未来价格走势有可能低于基金经理或投资者所预期的目标价位。</p><p>C下行风险是投资可能出现的最坏的情况，也是投资者可能需要承担的损失。</p><p>D最大回撤是从资产最高价格到接下来最低价格的损失。投资的期限越长，这个指标就越有利</p>,4,D,最大回撤是从资产最高价格到接下来最低价格的损失。投资的期限越长，这个指标就越不利,0,0
1,(单选题)以下关于QDII基金说法错误的是（）,<p>A经中国证监会批准可以在境内募集资金进行境外证券投资的机构称为合格境内机构投资者(QDII)</p><p>BQDII 是在我国人民币没有实现可自由兑换、资本项目尚未开放的情况下，有限度地允许境内投资者 投资海外证券市场的一项过渡性的制度安排。</p><p>CQDII 基金可以进行国际市场投资。</p><p>DQDII基金可以从事证券承销业务</p>,4,D,QDII基金不可以从事证券承销业务,0,0
1,(单选题)公募基金的托管人以（）名义在中国登记结算公司开立结算备付金账户，用于基金场内证券交易的资金 交收。,<p>A商业银行</p><p>B证券公司</p><p>C自身</p><p>D份额持有人</p>,4,C,托管人以自身名义在中国登记结算公司上海分公司、深圳分公司分别开立结算备付金 账户，用于与中国结算公司之间完成最终不可撤销的证券与资金交收。,0,0
1,(单选题)以下不属于目前最常用的风险价值估算方法是（）,<p>A参数法</p><p>B历史模拟法</p><p>C蒙特卡罗模拟法</p><p>D市盈率法</p>,4,D,最常用的 VaR 估算方法有参数法、历史模拟法和蒙特卡罗模拟法。,0,0
1,(单选题)关于基金的分红方式，以下说法错误的是（）,<p>A开放式基金的分红方式有两种，现金分红方式、分红再投资转换为基金份额。</p><p>B现金分红方式是基金分红采用的最普遍的形式</p><p>C根据有关规定，基金收益分配默认为采用分红再投资转换为基金份额</p><p>D分红再投资转换为基金份额是指将应分配的净利润按除息后的份额净值折算为新的基金份额进行基金 收益分配</p>,4,C,根据有关规定，基金收益分配默认为采用现金方式。,0,0
1,(单选题)（）报告了企业在某一时点的资产、负债、所有者权益的状况。,<p>A资产负债表</p><p>B利润表</p><p>C现金流量表</p><p>D损益表</p>,4,A,资产负债表报告了企业在某一时点的资产、负债和所有者权益的状况,0,0
1,(单选题)债券投资面临的主要风险包括（）。Ⅰ.信用风险Ⅱ利率风险 Ⅲ通胀风险 Ⅳ再投资风险,<p>AⅠ.Ⅱ.Ⅲ</p><p>BⅠ.Ⅱ.Ⅲ.Ⅳ</p><p>CⅡ.Ⅲ.Ⅳ</p><p>DⅠ.Ⅱ.Ⅳ</p>,4,B,债券投资也面临一系列风险。这些风险可以划分为六大类：信用风险、利率风险、通胀风险、流动性 风险、再投资风险、提前赎回风险。,0,0
1,(单选题)目前我国货币基金管理费率通常不高于（）,<p>A0.01</p><p>B0.0033</p><p>C0.015</p><p>D0.005</p>,4,B,货币市场基金的管理费率不高于 0.33%。,0,0
1,(单选题)下列不属于权证基本要素的是（）,<p>A权证类别</p><p>B标的资产</p><p>C行权价格</p><p>D内在价值</p>,4,D,权证的基本要素包括权证类别、标的资产、存续时间、行权价格、行权结算方式、 行权比例等。,0,0
1,(单选题)用复利法计算第n期末终值的计算公式为( )。,<p>AFV=PVx(l+ixn)</p><p>BPV=FVx(l+ixn)</p><p>CPV=FVx(1+i)n</p><p>DFV=PVx(1+i)n </p>,4,D,本题考查复利的计算公式。D项正确。FV为终值，PV为现值，i是利率，n是期限。,0,0
1,(单选题)目前我国交易所上市交易的以下品种，通常不采用市价估值的是（ ）。,<p>A权证</p><p>B股票</p><p>C企业债</p><p>D可转债</p>,4,D,交易所上市的有价证券（包括股票、权证等）以其估值日在证券交易所挂牌的市价进行估值；对在交 易所上市交易的可转换债券按当日收盘价作为估值全价。,0,0
