1,(单选题)基金财务会计报表不包括( ),<p>A资产负债表</p><p>B利润表</p><p>C净值变动表</p><p>D股东权益变动表</p>,4,D,基金财务会计报表包括资产负债表、利润表及净值变动表等报表,0,0
1,(单选题)下列关于我国基金管理公司投资决策委员会的主要职责的说法中，不正确的是( ),<p>A制定投资管理相关制度</p><p>B制定投资组合具体方案</p><p>C确定基金投资的原则</p><p>D审定基金资产配置的比例或范围</p>,4,B,投资决策委员会是基金公司管理基金投资的最高决策机构，由各个基金公司自行设立，是非常设的议 事机构。投资决策委员会应在遵守国家有关法律法规、公司规章制度的前提下，对基金公司各项重大 投资活动进行管理，审定公司投资管理制度和业务流程，并确定不同管理级别的操作权限。投资决策 委员会一般由基金公司的总经理、分管投资的副总经理、投资总监、研究部经理、投资部经理等组 成。 ,0,0
1,(单选题)在（）市场上，指令是交易的核心，交易者向自己的经纪人下达不同的交易指令，经纪人将这些交易指令汇聚到交易系统，交易系统会根据已经设定好的交易规则撮合交易指令，直至完成交易。,<p>A指令驱动</p><p>B报价驱动</p><p>C市场驱动</p><p>D投资驱动</p>,4,A,指令驱动(orderdriven)的核心就是买方下达购买指令，包括购买数量和相应价格，卖方下达包含同样内 容的卖出指令，满足成交条件的即可成功交易。 ,0,0
1,(单选题)下列关于证券投资的预期收益率与风险之间的关系说法，不正确的是( ）,<p>A证券的风险与收益率会随着各种相关因素的变化而变化</p><p>B预期收益率越高，承担的风险越大</p><p>C反向联动关系</p><p>D正向联动关系</p>,4,C,证券投资的预期收益率与风险之间正相关，预期收益率越高，承担的风险就越大,0,0
1,(单选题)基金管理费率通常与基金规模成＿，与风险成＿。（ ),<p>A正比;正比</p><p>B正比;反比</p><p>C反比;正比</p><p>D反比;反比</p>,4,C,基金管理费率通常与基金规模成反比，与风险成正比。基金规模越大，基金管理费率越低;基金风险程 度越高，基金管理费率越高,0,0
1,(单选题)债券利率期限结构理论中的市场分割理论认为，市场被分割为( ）,<p>A长期债券市场和短期债券市场</p><p>B长期、中期和短期债券市场</p><p>C有形市场和无形市场</p><p>D流动性债券市场和固定性债券市场</p>,4,B,债券利率期限结构理论中的市场分割理论认为，市场被分割为长期、中期和短期债券市场,0,0
1,(单选题)基金利润中利息收入不包括（ ）,<p>A债券利息收入</p><p>B资产支持证券利息收入</p><p>C股利收益</p><p>D买入返售金融资产收入</p>,4,C,基金利润中的利息收入是指基金经营活动中因债券投资、资产支持证券投资、银行存款、结算备付 金、存出保证金、按买入返售协议融出资金等而实现的利息收入。具体包括债券利息收入、资产支持 证券利息收入、存款利息收入、买入返售金融资产收入等。C项股利收益属于投资收益。 ,0,0
1,(单选题)市场利率走低时，以下判断正确的是（ ),<p>A债券价格上升，再投资收益下降</p><p>B债券价格不变，因为利息收益相对增加，但再投资收益下降，两者互相抵消</p><p>C债券价格下降，再投资收益下降</p><p>D债券价格下降，再投资收益上升</p>,4,A,由于市场利率是用以计算债券现值折现率的一个组成部分，所有证券价格趋于与利率水平变化反向运 动。所以市场利率走低时，债券价格上升，再投资收益下降。,0,0
1,(单选题)就债券研究而言，它主要侧重于( ),<p>A债券的久期判断</p><p>B债券的走势形态判断</p><p>C债券的到期时间判断</p><p>D债券的到期收益率判断</p>,4,A,就债券研究而言，它主要侧重于债券的久期判断。,0,0
1,(单选题)复制的组合包含的股票数越少，跟踪误差＿，调整所花费的交易成本＿( ),<p>A越小;越低</p><p>B越大;越低</p><p>C越小;越高</p><p>D越大;越高</p>,4,D,复制的组合包含的股票数越少，跟踪误差越大，调整所花费的交易成本越高。 ,0,0
1,"(单选题)衍生工具的()是未来买卖合约标的资产的价格。 
",<p>A约定价格</p><p>B交割价格</p><p>C交易价格</p><p>D指数价格</p>,4,B,衍生工具的交割价格是未来买卖合约标的资产的价格，其通常取决于合约标的资产的价格和交易双方 的预期,0,0
