1,(单选题)交易所交易基金的英文简称为()。,<p>ALOF</p><p>BQDII</p><p>CETF</p><p>DQFII</p>,4,C,交易所交易基金的英文简称为ETF。,0,0
1,(单选题)我国《公司法》规定，公司分配当年税后利润时，应当提取利润的()列入公司法定公积金。,<p>A0.1</p><p>B0.15</p><p>C0.2</p><p>D0.5</p>,4,A,我国《公司法》规定，公司分配当年税后利润时，应当提取利润的10%列入公司法定公积金。,0,0
1,(单选题)外资持股或参股基金管理公司的权益比例，在我国加入WTO后3年内不超过()。,<p>A0.49</p><p>B0.35</p><p>C0.33</p><p>D0.5</p>,4,A,允许外国机构设立合营公司，从事我国证券投资基金管理业务，外资比例不超过33%；加入后3年内，外资比例不超过49%.,0,0
1,(单选题)中国证券业协会对投资主办人自执业注册完成之日起每()年检查一次。,<p>A1</p><p>B0.02</p><p>C3</p><p>D4</p>,4,B,按照《证券公司客户资产管理业务规范》的要求，中国证券业协会对投资主办人自执业注册完成之日起每两年检查一次。,0,0
1,(单选题)从事证券、期货投资咨询业务的人员，必须取得证券、期货投资咨询从业资格并加入()家有从业资格的证券、期货投资咨询机构后，方可从事证券、期货投资咨询业务。,<p>A1</p><p>B3</p><p>C5</p><p>D10</p>,4,A,从事证券、期货投资咨询业务的人员，必须取得证券、期货投资咨询从业资格并加入1家有从业资格的证券、期货投资咨询机构后，方可从事证券、期货投资咨询业务。,0,0
1,(单选题)证券公司应当自每月结束之日起()个工作日内，报送月度报告。,<p>A1</p><p>B3</p><p>C5</p><p>D7</p>,4,D,证券公司应当自每月结束之日起7个工作日内，报送月度报告。,0,0
1,(单选题)假设某基金持有的某三种股票的数量分别为10万股、50万股和100万股，每股的收盘价分别为30元、20元和10元，银行存款为1000万元，对托管人或管理人应付未付的报酬为500万元，应付税金为500万元，该基金总份额为2000万份，则基金份额净值为()。,<p>A1.1</p><p>B1.12</p><p>C1.15</p><p>D1.17</p>,4,C,10*30+50*20+100*l0=300+1000+1000=2300万（股票市值）；资产=2300+1000（银行存款）=3300万；负债=500+500=1000万；权益=3300万（资产）-1000万（负债）=2300万；单位净值=2300/2000（基金份额）=1.15。,0,0
1,(单选题)科技开发、咨询、服务性有限责任公司注册资本的最低限额为()万元。,<p>A10</p><p>B20</p><p>C30</p><p>D50</p>,4,A,有限责任公司注册资本最低限额的相关规定为：(1)以生产经营为主的公司，注册资本的最低限额为人民币50万元。(2)以商品批发为主的公司，注册资本的最低限额为人民币50万元。(3)以商业零售为主的公司，注册资本的最低限额为人民币30万元。(4)科技开发、咨询、服务性公司，注册资本的最低限额为人民币10万元。特定行业的有限责任公司注册资本最低限额需高于上述所定限额的，由法律、行政法规另行规定。,0,0
1,(单选题)中国证监会依法受理、审查申请文件。对保荐代表人资格的申请，自受理之日起()个工作日内做出核准或者不予核准的书面决定。,<p>A15</p><p>B20</p><p>C30</p><p>D45</p>,4,B,中国证监会依法受理、审查申请文件。对保荐代表人资格的申请，自受理之日起20个工作日内做出核准或者不予核准的书面决定。,0,0
1,(单选题)证券公司风险控制指标不符合有关规定，国务院证券监督管理机构责令其停业整顿的，停业整顿的期限不超过()。,<p>A1个月</p><p>B3个月</p><p>C6个月</p><p>D1年</p>,4,B,《证券公司风险处置条例》第七条规定，证券公司风险控制指标不符合有关规定，在规定期限内未能完成整改的，国务院证券监督管理机构可以责令证券公司停止部分或者全部业务进行整顿。停业整顿的期限不超过3个月。,0,0
1,(单选题)以协议方式收购上市公司时，达成协议后，收购人必须在()日内将该收购协议向国务院证券监督管理机构及证券交易所作出书面报告，并予以公告。,<p>A2</p><p>B3</p><p>C4</p><p>D5</p>,4,B,以协议方式收购上市公司时，达成协议后，收购人必须在3日内将该收购协议向国务院证券监督管理机构及证券交易所作出书面报告，并予以公告。,0,0
