1,(单选题)我国在国际市场上发行的金融债券的最长期限为( )。 ,<p>A12年</p><p>B8年</p><p>C10年</p><p>D20年</p>,4,A,最短的5年，最长的12年。,0,0
1,(单选题)股份有限公司的财务会计报告应当在召开股东大会年会的( )日前置备于本公司，供股东查阅。 ,<p>A10</p><p>B15</p><p>C20</p><p>D30</p>,4,C,股份有限公司的财务会计报告应当在召开股东大会年会的20日前置备于本公司，供股东查阅。,0,0
1,(单选题)证券公司应当自每月结束之日起( )个交易日内，向中国证券监督管理委员会、注册地证监会派出机构和证 券交易所书面报告当月的融资融券业务客户的开户数量。 ,<p>A1</p><p>B3</p><p>C5</p><p>D7</p>,4,D,证券公司应当自每月结束之日起7个交易日内，向中国证券监督管理委员会、注册地证监会派出机构和 证券交易所书面报告当月的融资融券业务客户的开户数量。,0,0
1,(单选题)外汇期货交易在20世纪70年代由( )率先推出。 ,<p>A芝加哥商业交易所所属的国际货币市场IMM</p><p>B芝加哥期货交易所</p><p>C纽约期货交易所</p><p>D伦敦期货交易所</p>,4,A,外汇期货交易在20世纪70年代由芝加哥商业交易所所属的国际货币市场IMM率先推出。,0,0
1,(单选题)证券交易所具有监督职能，它属于( )。 ,<p>A政府监管部门</p><p>B立法机构委派的监管部门</p><p>C地方所属的监管机构</p><p>D自律性组织</p>,4,D,常识题，证券交易所是自律性组织。,0,0
1,(单选题)证券投资者保护基金是指按照《证券投资者保护基金管理办法》筹集形成的、在防范和处置( )中用于保护 证券投资者利益的资金。 ,<p>A证券交易所风险</p><p>B证券交易风险</p><p>C证券公司风险</p><p>D证券投资风险</p>,4,C,证券投资者保护基金是指按照《证券投资者保护基金管理办法》筹集形成的、在防范和处置证券公司 风险中用于保护证券投资者利益的资金。,0,0
1,(单选题)在证券经纪业务中，其收入来源于( )。 ,<p>A证券差价</p><p>B证券分红</p><p>C佣金</p><p>D利息 </p>,4,C,在证券经纪业务中，证券公司不向客户垫付资金，不分享客户买卖证券的差价，不承担客户的价格风 险，只收取一定比例的佣金作为业务收入。,0,0
1,(单选题)债券代表债券投资者的权利，这种权利称为( )。 ,<p>A债权</p><p>B物权</p><p>C直接支配财产权</p><p>D资产所有权</p>,4,A,这种权利为债权。,0,0
1,(单选题)基金管理费费率的高低通常( )。 ,<p>A与基金规模成反比，与风险大小成正比</p><p>B与基金规模成正比，与风险大小成反比</p><p>C与基金规模成反比，与风险大小成反比</p><p>D与基金规模成正比，与风险大小成正比</p>,4,A,基金管理费费率的高低通常与基金规模成反比，与风险大小成正比。,0,0
1,(单选题)在债券招标发行中，以募满发行额为止的中标者所投标的各个价位上的中标收益率作为中标者各自的最 终中标收益率的方式是( )。 ,<p>A以收益率为标的的美式招标</p><p>B以收益率为标的的荷兰式招标</p><p>C以价格为标的的美式招标</p><p>D以价格为标的的荷兰式招标</p>,4,A,以收益率为标的的美式招标，是以募满发行额为止的中标者所投标的各个价位上的中标收益率作为中 标者各自的最终中标收益率的招标方式。,0,0
1,(单选题)我国《证券法》规定，操纵证券交易价格或者制造证券交易的虚假价格或者证券交易量，获取不正当利 益或者转嫁风险的没收违法所得，违法所得在30万元以上的，处违法所得( )以上( )以下的罚款。 ,<p>A一倍，五倍</p><p>B30万，300万</p><p>C10万，60万</p><p>D一倍，三倍</p>,4,A,操纵证券市场的，责令依法处理非法持有的证券，没收违法所得，并处以违法所得一倍以上五倍以下 罚款；没有违法所得或违法所得不足30万元的，处以30万元以上300万元以下的罚款。,0,0
1,(单选题)在融资融券业务的账户体系中，（）用于存放证券公司拟向客户融出的资金及客户归还的资金。 ,<p>A信用交易证券交收账户</p><p>B信用交易资金交收账户</p><p>C融资专用资金账户</p><p>D客户信用交易担保资金账户</p>,4,C,在融资融券业务的账户体系中，融资专用资金账户用于存放证券公司拟向客户融出的资金及客户归还 的资金。,0,0
1,(单选题)首次公开发行股票招股意向书刊登后，发行人和主承销商可以向( )投资者进行推介和询价，并通过互联网 等方式向公众投资者进行推介。 ,<p>A网上</p><p>B网下</p><p>C内部</p><p>D外部 </p>,4,B,首次公开发行股票招股意向书刊登后，发行人和主承销商可以向网下投资者进行推介和询价，并通过 互联网等方式向公众投资者进行推介。,0,0
1,(单选题)在我国申请设立期货公司，要求主要股东以及实际控制人具有持续盈利能力，信誉良好，最近( )年无重大 违法违规记录。 ,<p>A1</p><p>B2</p><p>C3</p><p>D5</p>,4,C,在我国申请设立期货公司，要求主要股东以及实际控制人具有持续盈利能力，信誉良好，最近3年无重 大违法违规记录。,0,0
1,(单选题)封闭式基金的封闭期通常( )。 ,<p>A通常在5年以上，一般为10年或15年</p><p>B通常在5年以上，一般为20年</p><p>C通常在l0年以上，一般为15年</p><p>D通常在10年以上，一般为20年</p>,4,A,封闭式基金有固定的存续期，通常在5年以上，一般为10年或15年。,0,0
1,(单选题)无面额股票是指在股票的票面上不记载股票面额，只注明它在公司总股本中所占( )的股票。 ,<p>A数量</p><p>B资金</p><p>C份数</p><p>D比例</p>,4,D,考察无面额股票的定义。,0,0
