1,(单选题)北平证券交易所作为中国人自己创办的第一家证券交易所，创办于( )年。,<p>A1918</p><p>B1920</p><p>C1914</p><p>D1872</p>,4,A,北平证券交易所作为中国人自己创办的第一家证券交易所，创办于1918年。,0,0
1,(单选题)根据《中华人民共和国证券法》的规定，向社会公开发行的证券票面总值超过人民币( )万元的，必须采取 承销团的形式来销售。,<p>A1000</p><p>B2000</p><p>C3000</p><p>D5000</p>,4,D,根据《中华人民共和国证券法》的规定，向社会公开发行的证券票面总值超过人民币5000万元的，必 须采取承销团的形式来销售。,0,0
1,(单选题)根据股票直接投资相关规则，投资决策委员会的成员中，直投子公司及其下属机构的人员数量不得低于 ( )。,<p>A1/3</p><p>B1/2</p><p>C2/3</p><p>D3/4</p>,4,B,根据股票直接投资相关规则，投资决策委员会的成员中，直投子公司及其下属机构的人员数量不得低 于1/2.证券公司的人员数量不得超过1/3。,0,0
1,(单选题)全国银行间同业拆借中心接受( )监管。,<p>A中国人民银行</p><p>B中央国债登记结算有限责任公司</p><p>C证监会</p><p>D银监会</p>,4,A,交易中心是中国人民银行直属事业单位。,0,0
1,(单选题)从事证券、期货投资咨询业务的人员，必须取得证券、期货投资咨询从业资格并加入( )家有从业资格的证 券、期货投资咨询机构后，方可从事证券、期货投资咨询业务。,<p>A1</p><p>B3</p><p>C5</p><p>D10</p>,4,A,从事证券、期货投资咨询业务的人员，必须取得证券、期货投资咨询从业资格并加入1家有从业资格的 证券、期货投资咨询机构后，方可从事证券、期货投资咨询业务。,0,0
1,(单选题)证券公司直接为投资者开立( )。,<p>A证券账户</p><p>B资金结算账户</p><p>C证券交收账户</p><p>D担保资金账户</p>,4,B,证券公司直接为投资者开立资金结算账户。,0,0
1,(单选题)对股票和公司债券的上市交易申请行使审核权的是( )。,<p>A证券交易所</p><p>B证券监管机构</p><p>C证券业协会</p><p>D证券公司</p>,4,A,我国《证券法》规定，申请证券上市交易，应当向证券交易所提出申请，有证交所依法审核同意。,0,0
1,(单选题)证券市场是指( )。,<p>A证券发行与交易的市场</p><p>B证券的交易市场</p><p>C证券投资者博弈的场所</p><p>D证券的发行市场</p>,4,A,证券市场是指证券发行与交易的市场。,0,0
1,(单选题)政府发行的证券品种一般为( )。,<p>A债券</p><p>B股票</p><p>C基金</p><p>D互换</p>,4,A,政府发行证券的品种仅限于债券。,0,0
1,(单选题)2007年以来，主要发源于美国的( )危机广泛影响了全球金融机构和市场。,<p>A优质按揭贷款和相关证券化产品</p><p>B次级按揭贷款和相关证券化产品</p><p>C银行信用危机</p><p>D实体企业信贷</p>,4,B,2007年以来，主要发源于美国的次级按揭贷款和相关证券化产品危机广泛影响了全球金融机构和市 场。,0,0
1,(单选题)客户信用资金账户是客户在存管银行开立的用于记载客户交存的担保资金的明细数据的账户，该账户是 证券公司客户信用交易担保资金账户的( )级账户。,<p>A一</p><p>B二</p><p>C三</p><p>D四 </p>,4,B,客户信用资金账户是客户在存管银行开立的用于记载客户交存的担保资金的明细数据的账户，该账户 是证券公司客户信用交易担保资金账户的二级账户。,0,0
1,(单选题)为保证资产证券化业务中资金和基础资产的安全，特定目的机构通常聘请信誉良好的( )进行资金和资产的 托管。,<p>A信用增级机构</p><p>B金融机构</p><p>C信用评级机构</p><p>D资金和资产存管机构</p>,4,B,为保证资产证券化业务中资金和基础资产的安全，特定目的机构通常聘请信誉良好的金融机构进行资 金和资产的托管。,0,0
1,(单选题)股票的内在价值就是股票未来收益的( )。,<p>A现值</p><p>B期值</p><p>C均值</p><p>D虚值</p>,4,A,股票的内在价值就是股票未来收益的现值。,0,0
1,(单选题)封闭式基金期满终止，清产核资后的基金净资产按照投资者的( )进行合理分配。,<p>A投资总额</p><p>B出资比例</p><p>C权益大小</p><p>D类型</p>,4,B,封闭式基金期满终止，清产核资后的基金净资产按投资者的出资比例进行合理分配。,0,0
1,(单选题)中国证券业协会对投资主办人自执业注册完成之日起每( )年检查一次。,<p>A1</p><p>B2</p><p>C3</p><p>D4</p>,4,B,按照《证券公司客户资产管理业务规范》的要求，中国证券业协会对投资主办人自执业注册完成之日 起每两年检查一次。,0,0
1,(单选题)当股指期货价格高于理论值时，做空股指期货，买入指数组合，这种行为被称作( )。,<p>A套利</p><p>B正套</p><p>C反套</p><p>D投机</p>,4,B,正套指当股指期货价格高于理论值时，做空股指期货，买入指数组合。,0,0
1,(单选题)证券投资基金( )。,<p>A收益有可能高于债券，投资风险又可能小于股票</p><p>B是直接投资工具</p><p>C所筹集资金主要投向实业</p><p>D不能满足那些不能或不宜直接参与股票、债券投资的个人或机构的需要</p>,4,A,基金是间接投资工具，所筹集资金主要投向有价证券，能满足那些不能或不宜直接参与股票、债券投 资的个人或机构的需要。,0,0
1,(单选题)( )是指有权代表国家投资的部门或机构以国有资产向公司投资形成的股份。,<p>A社会公众股</p><p>B法人股</p><p>C外资股</p><p>D国家股</p>,4,D,这是国家股的定义。,0,0
1,(单选题)人们普遍认为亚洲地区不健全的金融体系主要表现在( )，从而引发了1997年东南亚金融危机。,<p>A缺少发盘的货币市场</p><p>B企业过于依赖银行的间接融资</p><p>C企业过于依赖直接融资</p><p>D混业经营</p>,4,B,考核亚洲债券市场的内容。,0,0
1,(单选题)可转换债券通常是指证券持有者可以在一定时期内按一定比例或价格将它转换成一定数量的( )。,<p>A普通股票</p><p>B债券</p><p>C优先股</p><p>D另一种证券</p>,4,D,考察可转换债券的定义。可转换债券是指其持有者可以在一定时期内按一定比例或价格将之转换成一 定数量的另一种证券的证券。,0,0
1,(单选题)我国《证券法》规定，与他人串通，以事先约定的时间、价格和方式相互进行证券交易，影响证券交易 价格或者证券交易量属于( )。,<p>A内幕交易</p><p>B操纵市场</p><p>C泄露信息</p><p>D事后处理</p>,4,B,此题考查对操纵市场的理解。,0,0
1,(单选题)场外交易市场的价格决定主要方式为( )。,<p>A连续竞价方式</p><p>B集合竞价方式</p><p>C公开竞价方式</p><p>D议价方式</p>,4,D,常识题，场外交易市场是一个以议价方式进行证券交易的市场。,0,0
1,(单选题)持有人具有按约定条件将债券转换成发行公司普通股票的选择权的债券是( )。,<p>A可转换债券</p><p>B可转换优先股票</p><p>C一般债券</p><p>D信用债券</p>,4,A,考察可转换债券。,0,0
1,(单选题)公司债券的利率比相同期限政府债券的利率高，这是对( )的补偿。,<p>A经营风险</p><p>B通货膨胀风险</p><p>C利率风险</p><p>D信用风险</p>,4,D,考察证券投资风险。,0,0
1,(单选题)我国有关法规规定，封闭式基金年度收益分配比例不得低于基金年度已实现收益的( )。,<p>A0.8</p><p>B0.9</p><p>C0.7</p><p>D0.6</p>,4,B,我国有关法规规定，封闭式基金年度收益分配比例不得低于基金年度已实现收益的90%。,0,0
1,(单选题)通常，加权股价指数是以样本股票( )为权数加以计算。,<p>A价格</p><p>B发行量或成交量</p><p>C量比</p><p>D换手率</p>,4,B,加权股价指数是以样本股票发行量或成交量为权数加以计算，又有基期加权、计算期加权和几何加权 之分。,0,0
1,(单选题)( )按照基金合同的约定，根据基金管理人的投资指令及时办理清算、交割事宜。,<p>A基金份额持有人</p><p>B基金托管人</p><p>C基金发起人</p><p>D基金监管者</p>,4,B,这是基金托管人的职责之一。,0,0
1,(单选题)在附息债券中，可以根据合约条款推迟支付定期利率的债券称为( )。,<p>A缓息债券</p><p>B息票累计债券</p><p>C固定利率债券</p><p>D浮动利率债券</p>,4,A,在附息债券中，可以根据合约条款推迟支付定期利率的债券称为缓息债券。,0,0
1,(单选题)我国的银行间债券市场的现券交易品种目前有( )。,<p>A国债和以市场化形式发行的政策性金融债券</p><p>B企业债券</p><p>C公司债券</p><p>D企业中期票据</p>,4,A,我国的银行间债券市场的现券交易品种目前有国债和以市场化形式发行的政策性金融债券。,0,0
1,(单选题)优先股票作为一种股权证书，代表着对公司的( )。,<p>A管理权</p><p>B表决权</p><p>C所有权</p><p>D决策权</p>,4,C,优先股票作为一种股权证书，代表着对公司的所有权。,0,0
1,(单选题)一股而言，下列债券的信用风险依次从低到高排列的顺序为( )。,<p>A公司债券、金融债券、政府债券</p><p>B金融债券、政府债券、公司债券</p><p>C公司债券、政府债券、金融债券</p><p>D政府债券、金融债券、公司债券</p>,4,D,常识题，公司债券的风险性相对政府债券和金融债券要大，政府债券的信用风险最小。,0,0
1,(单选题)在票面上不规定利率，发行时按某一折扣率，以低于票面金额的价格发行，发行价与票面金额之差额相 当干预先支付的利息，到期按票面额偿还本金的债券是( )。,<p>A附息债券</p><p>B息票累积债券</p><p>C缓息债券</p><p>D贴现债券</p>,4,D,考察贴现债券的定义。,0,0
1,(单选题)下列选项中，不属于证券账户注册资料查询的是( )。,<p>A法人申请查询</p><p>B自然人申请查询</p><p>C经办人向中国结算公司实时办理查询，并将查询结果交客户经办人</p><p>D收市后经办人将客户留存资料归入客户资料档案留存</p>,4,D,证券账户注册资料的查询包括：(1)自然人申请查询。(2)法人申请查询。(3)经办人查验申请人所提供资 料的真实性、有效性、完整性及一致性，在申请表单上签章后，将所有资料交复核员实时复核。(4)复 核员实时复核并在申请表单上签章后，将资料交还经办人；经办人将有效身份证明原件交还客户，其 余资料留存。(5)经办人向中国结算公司实时办理查询，并将查询结果交客户经办人。,0,0
1,(单选题)证券自营业务决策机构原则上应当按照( )的三级体制设立。,<p>A董事会投资决策机构一自营业务部门</p><p>B董事会一自营业务部门一投资决策机构</p><p>C投资决策机构一董事会一自营业务部门</p><p>D自营业务部门一董事会一投资决策机构</p>,4,A,证券自营业务决策机构原则上应当按照“董事会一投资决策机构一自营业务部门”的三级体制设立。,0,0
1,(单选题)期货公司开立、变更或者撤销期货保证金账户的，应在( )向其住所地的中国证监会派出机构和期货保证金 安全存管监控机构备案。,<p>A当日</p><p>B第二日</p><p>C一周内</p><p>D一个月内</p>,4,A,期货公司开立、变更或者撤销期货保证金账户的，应在当日向其住所地的中国证监会派出机构和期货 保证金安全存管监控机构备案，并通过规定的方式向客户披露期货保证金账户开立、变更或者撤销情 况。,0,0
