1,(单选题)深证成份股指数由( )家有代表性的上市公司作为成分股。,<p>A15</p><p>B20</p><p>C35</p><p>D40</p>,4,D,深证成份股指数由40家有代表性的上市公司作为成分股。,0,0
1,(单选题)以商品批发为主的有限责任公司注册资本的最低限额为( )万元。,<p>A10</p><p>B20</p><p>C30</p><p>D50</p>,4,D,有限责任公司注册资本的最低限额为：(1)以生产经营为主的公司人民币50万元。(2)以商品批发为主的 公司人民币50万元。(3)以商业零售为主的公司人民币30万元。(4)科技开发、咨询、服务性公司人民币 10万元。特定行业的有限责任公司注册资本最低限额需高于上述所定限额的，由法律、行政法规另行 规定。,0,0
1,(单选题)财务顾问将申报文件报中国证券监督管理委员会审核期间，委托人和财务顾问终止委托协议的，财务顾 问和委托人应当自终止之日起( )个工作日内向中国证券监督管理委员会报告，申请撤回申报文件，并说明 原因。,<p>A1</p><p>B5</p><p>C10</p><p>D20</p>,4,B,财务顾问将申报文件报中国证券监督管理委员会审核期间，委托人和财务顾问终止委托协议的，财务 顾问和委托人应当自终止之日起5个工作日内向中国证券监督管理委员会报告，申请撤回申报文件，并 说明原因。,0,0
1,(单选题)股份有限公司因破产或解散进行清算时，公司剩余资产清偿的先后顺序是( )。,<p>A职工的工资、清算费用、社会保险费用和法定补偿金、缴纳所欠税款、优先股股东、普通股股东</p><p>B清算费用、职工的工资、社会保险费用和法定补偿金、缴纳所欠税款、优先股股东、普通股股东</p><p>C社会保险费用和法定补偿金、清算费用、职工的工资、缴纳所欠税款、优先股股东、普通股股东</p><p>D缴纳所欠税款、清算费用、职工的工资、社会保险费用和法定补偿金、优先股股东、普通股股东</p>,4,B,应为：清算费用、职工的工资、社会保险费用和法定补偿金、缴纳所欠税款、优先股股东、普通股股 东。,0,0
1,(单选题)诚信信息中，因证券期货违法行为被行政处罚、市场禁入的信息的效力期限为( )年。,<p>A1</p><p>B3</p><p>C5</p><p>D10</p>,4,C,奖励信息、处罚处分信息的效力期限为3年，但因证券期货违法行为被行政处罚、市场禁入的信息，效 力期限为5年。,0,0
1,(单选题)( )又称代理买卖证券业务，是证券公司最基本的一项业务。,<p>A证券自营业务</p><p>B证券发行业务</p><p>C证券经纪业务</p><p>D证券承销业务</p>,4,C,证券经纪业务简言之就是代理买卖有价证券的行为，又称代理买卖证券业务。它是证券公司最基本的 一项业务。,0,0
1,(单选题)客户要在证券公司开展融资融券业务，应由客户本人向( )提出申请。,<p>A证券公司营业部</p><p>B证券公司总部</p><p>C证券交易所营业部</p><p>D证券交易所总部 </p>,4,A,客户要在证券公司开展融资融券业务，应由客户本人向证券公司营业部提出申请。,0,0
1,(单选题)证券公司将发行人的证券按照协议全部购入或者在承销期结束时将售后剩余证券全部自行购入的承销方 式是( )方式。,<p>A证券包销</p><p>B证券统销</p><p>C证券自销</p><p>D证券代销</p>,4,A,证券包销是指证券公司将发行人的证券按照协议全部购入或者在承销期结束时将售后剩余证券全部自 行购入的承销方式。,0,0
1,(单选题)从产品属性看，权证是一种( )类金融衍生品。,<p>A远期</p><p>B期货</p><p>C期权</p><p>D互换</p>,4,C,权证和期权相似。,0,0
1,(单选题)证券公司经纪业务收入主要来自( )。,<p>A佣金</p><p>B手续费</p><p>C买卖价差</p><p>D利息收入</p>,4,A,在证券经纪业务中，证券公司只收取一定比例的佣金作为业务收入。,0,0
1,(单选题)ETF的申购和赎回在( )进行，市场交易在( )进行。,<p>A一级市场，二级市场</p><p>B二级市场，一级市场</p><p>C场内，场外</p><p>D场外，场内</p>,4,A,ETF的申购和赎回在一级市场进行，市场交易在二级市场进行。,0,0
1,(单选题)契约型基金是基于( )组织起来的代理投资方式。,<p>A信托原理</p><p>B公约原理</p><p>C代理原理</p><p>D委托原理</p>,4,A,契约型基金是基于信托原理组织起来的代理投资方式。,0,0
1,(单选题)当公司增资扩股后，在短期内增加了股票供给，若无相应需求增长，股价可能因此而( )。,<p>A下降</p><p>B增加</p><p>C不变</p><p>D无法判定</p>,4,A,当公司增资扩股后，在短期内增加了股票供给，若无相应需求增长，股价可能因此而下降。,0,0
1,(单选题)国际开发机构在我国发行的人民币债券称为( )。,<p>A外国债券</p><p>B欧洲债券</p><p>C亚洲债券</p><p>D熊猫债券</p>,4,A,外国债券指某一国家借款人在本国以外的某一国家发行以该货币为面值的债券。,0,0
1,(单选题)证券交易内幕信息的知情人员在涉及证券的发行、交易或者其他对证券的价格有重大影响的信息尚未公 开前，买人或者卖出该证券，或者泄露该信息，情节严重的，处( )年以下有期徒刑或者拘役。,<p>A1</p><p>B2</p><p>C3</p><p>D5</p>,4,D,证券交易内幕信息的知情人员或者非法获取证券交易内幕信息的人员，在涉及证券的发行、交易或者 其他对证券的价格有重大影响的信息尚未公开前，买入或者卖出该证券，或者泄露该信息，情节严重 的，处5年以下有期徒刑或者拘役。,0,0
1,(单选题)上市公司在财务报告中隐瞒一些重大经济事项，属于( )行为。,<p>A提供虚假财务会计报告罪</p><p>B欺诈发行股票、债券罪</p><p>C内幕交易</p><p>D操纵市场</p>,4,A,上市公司在财务报告中隐瞒一些重大经济事项，属于提供虚假财务会计报告罪行为。,0,0
1,(单选题)目前我国证券投资基金主要投资于( )。,<p>A实业</p><p>B未上市企业股权</p><p>C国内依法公开发行上市的证券</p><p>D商品期货</p>,4,C,目前我国的基金主要投资于国内依法公开发行的股票、非公开发行股票、国债、企业债券和金融债 券、公司债券、货币市场工具、资产支持证券、权证等。,0,0
1,(单选题)证券公司应当按( )编制客户资产管理业务的报告，报中国证监会及注册地中国证监会派出机构备案。,<p>A日</p><p>B月</p><p>C季</p><p>D年</p>,4,C,证券公司应当按季编制客户资产管理业务的报告，报中国证监会及注册地中国证监会派出机构备案。,0,0
1,(单选题)在中国，( )是依据国家有关法律，经国务院批准设立的，提供证券集中竞价交易场所的，不以营利为目的 的法人。,<p>A期货交易所</p><p>B证券交易所</p><p>C证券公司</p><p>D商业银行 </p>,4,B,在中国，证券交易所是依据国家有关法律，经国务院批准设立的，提供证券集中竞价交易场所的，不 以营利为目的的法人。,0,0
1,(单选题)我国《证券法》规定，通过不正当手段获得内幕信息，在该信息公开前买卖证券，属于( )行为。,<p>A内幕交易</p><p>B欺诈客户</p><p>C内幕信息</p><p>D操纵市场</p>,4,A,考察内幕交易。,0,0
1,(单选题)按( )分类，可以将结构化金融产品分为股权联结型产品、利率联结型产品、汇率联结型产品、商品联结型 产品等种类。,<p>A联结的基础产品</p><p>B联结的收益保障性</p><p>C联结的发行方式</p><p>D嵌入式衍生产品</p>,4,A,按联结的基础产品分类，可以将结构化金融衍生产品分为股权联结型产品、利率联结型产品、汇率联 结型产品、商品联结型产品等种类。,0,0
