1,(单选题)某股价指数，按基期加权法编制，并以样本股的流通股数为权数。选取A、B、C三种股票为样本股，样 本股的基期价格分别为5.00元，8.00元，4.00元，流通股数分别为7000万股，9000万股，8000万股。某交 易日，这三种股票的收盘价分别为9.50元，15.00元，8.5元，设基础指数为1000点，则该日的加权股价指 数是( )。 ,<p>A1938.85</p><p>B1939.84</p><p>C1938.86</p><p>D1938.84</p>,4,A,该日的加权股价指数是[（7000*9.5+9000*15+8000*8.5）/（7000*5+9000*8+8000*4)]*1000=1938.849。,0,0
1,(单选题)中国债券指数覆盖了交易所市场和银行间市场所有发行额在( )人民币以上，待偿期限在( )以上的债券，指 数样本债券每月月末调整一次。 ,<p>A100亿，1年</p><p>B50亿，2年</p><p>C50亿，1年</p><p>D100亿，2年</p>,4,C,中国债券指数覆盖了交易所市场和银行间市场所有发行额在50亿人民币以上，待偿期限在1年以上的债 券，指数样本债券每月月末调整一次。,0,0
1,(单选题)股东大会作出修改公司章程的决议，必须经出席会议的股东所持表决权( )以上通过。 ,<p>A三分之一</p><p>B三分之二</p><p>C半数</p><p>D四分之五</p>,4,B,股东大会作出修改公司章程的决议，必须经出席会议的股东所持表决权2／3以上通过。,0,0
1,(单选题)证券公司解聘合规负责人，应当有正当理由，并自解聘之日起( )个工作日内将解聘的事实和理由书面报告 国务院证券监督管理机构。 ,<p>A1</p><p>B3</p><p>C5</p><p>D7</p>,4,B,证券公司解聘合规负责人，应当有正当理由，并自解聘之’日起3个工作日内将解聘的事实和理由书面 报告国务院证券监督管理机构。,0,0
1,(单选题)证券公司及证券营业部应当建立客户投诉书面或者电子档案，档案保存时间不得少于( )年。 ,<p>A1</p><p>B3</p><p>C5</p><p>D10</p>,4,B,证券公司及证券营业部应当建立客户投诉书面或者电子档案，保存时间不少于3年。每年4月底前，证 券公司和证券营业部应当汇总上一年度证券经纪业务投诉及处理情况，分别报证券公司住所地及证券 营业部所在地证监局备案。,0,0
1,(单选题)为证券、期货投资人或者客户提供证券、期货投资分析和预测或者建议等直接或者间接有偿咨询服务的 活动是( )。 ,<p>A证券投资咨询</p><p>B证券投资顾问</p><p>C证券投资服务</p><p>D证券投资经纪</p>,4,A,证券投资咨询是指从事证券、期货投资咨询业务的机构及其投资咨询人员为证券、期货投资人或者客 户提供证券、期货投资分析和预测或者建议等直接或者间接有偿咨询服务的活动。,0,0
1,(单选题)《证券业从业人员执业行为准则》于2009年1月19日由( )正式颁布实施。 ,<p>A证券交易所</p><p>B证券业协会</p><p>C证券登记结算机构</p><p>D证监会</p>,4,B,证券业从业人员执业行为准则》于2009年1月19日由中国证券业协会正式颁布实施。,0,0
1,(单选题)( )是指依法设立的从事证券服务业务的法人机构。 ,<p>A证券服务机构</p><p>B证券中介机构</p><p>C证券自律性组织</p><p>D证券监管机构</p>,4,A,这是证券服务机构的定义。,0,0
1,(单选题)债券与股票的收益率相互影响，表现为( )。 ,<p>A债券的收益率上升，则股票的收益率也必然上升</p><p>B如果市场是有效的，债券的平均收益率和股票的收益率会大体保持相对的关系，其差异反映了二者风 险程度的差别</p><p>C单个股票和债券的收益率不会发生大的差异</p><p>D宏观政策的变化对债券和股票收益率的影响是绝对一致的</p>,4,B,单个股票和债券的收益率会发生差异，而且有时差距还很大。,0,0
1,(单选题)注册资本最低限额为人民币五千万元的证券公司可以从事( )业务。 ,<p>A与证券交易、证券投资活动有关的财务顾问</p><p>B证券资产管理</p><p>C证券自营</p><p>D证券承销与保荐</p>,4,A,证券公司经营证券经纪、证券投资咨询、与证券交易以及投资活动有关的财务顾问业务，注册资本最低限额为5000万元。,0,0
1,(单选题)公司债券利息支出属于公司的( )。 ,<p>A营销经费</p><p>B利润</p><p>C费用范围</p><p>D直接成本</p>,4,C,债券利息是公司的固定支出，属于费用范围。,0,0
1,(单选题)融资融券业务的决策与授权体系原则上按照( )的架构设立和运行。 ,<p>A业务执行部门一董事会一业务决策机构一分支机构</p><p>B董事会一业务执行部门一业务决策机构一分支机构</p><p>C董事会一业务决策机构一业务执行部门一分支机构</p><p>D业务决策机构一业务执行部门一分支机构一董事会</p>,4,C,融资融券业务的决策与授权体系原则上按照“董事会一业务决策机构一业务执行部门一分支机构”的 架构设立和运行。,0,0
1,(单选题)看跌期权的买方具有在约定期限内按( )卖出一定数量基础金融工具的权利。 ,<p>A协定价格</p><p>B未来价格</p><p>C市价</p><p>D公允价格</p>,4,A,此题考查对看跌期权的理解。,0,0
1,(单选题)中国证监会《上市公司并购重组财务顾问业务管理办法》对上市公司并购重组财务顾问业务作出规范， 投资顾问是向( )提供投资建设，辅助投资者做出投资决策。 ,<p>A投资者</p><p>B证券公司</p><p>C证券交易所</p><p>D中国证券业协会</p>,4,A,中国证监会《上市公司并购重组财务顾问业务管理办法》对上市公司并购重组财务顾问业务作出规 范，投资顾问是向投资者提供投资建议，辅助投资者做出投资决策。,0,0
1,(单选题)证券公司和个人应当保证申请文件真实、准确、完整。申请期间，申请文件内容发生重大变化的，应当 自变化之日起( )个工作日内向中国证监会提交更新资料。 ,<p>A1</p><p>B2</p><p>C3</p><p>D4</p>,4,B,证券公司和个人应当保证申请文件真实、准确、完整。申请期间，申请文件内容发生重大变化的，应 当自变化之日起2个工作日内向中国证监会提交更新资料。,0,0
1,(单选题)取得基金销售人员从业考试成绩合格证的人员不可以参加的培训是( )。 ,<p>A所在机构组织的培训</p><p>B协会远程系统的培训</p><p>C所在辖区地方证券业协会组织的培训</p><p>D所在辖区以外的地方证券业协会组织的培训</p>,4,D,取得基金销售人员从业考试成绩合格证的人员可以参加所在机构组织的培训，也可以参加协会远程系 统的培训或所在辖区地方证券业协会组织的培训。,0,0
1,(单选题)以下基金品种中适用我国《证券投资基金法》的是( )。 ,<p>A私募基金</p><p>B创业基金</p><p>C证券投资基金</p><p>D社保基金</p>,4,C,我国《证券投资基金法》的适用范围。,0,0
1,(单选题)中国证券监督管理委员会及其派出机构可以根据( )原则，要求财务顾问提供已按照规定履行尽职调查义务 的证明材料、工作档案和工作底稿。 ,<p>A审慎监管</p><p>B忠实勤勉</p><p>C诚实信用</p><p>D平等自愿</p>,4,A,中国证券监督管理委员会及其派出机构可以根据审慎监管原则，要求财务顾问提供已按照本办法的规 定履行尽职调查义务的证明材料、工作档案和工作底稿，并对财务顾问的公司治理、内部控制、经营 运作、风险状况、从业活动等方面进行非现场检查或者现场检查。,0,0
1,(单选题)以超过票面金额的价格发行股票所得的溢价款项列入发行公司的( )。 ,<p>A任意公积金</p><p>B法定公积金</p><p>C资本公积金</p><p>D盈余公积金</p>,4,C,以超过票面金额的价格发行股票所得的溢价款项列入发行公司的资本公积金。,0,0
1,(单选题)期权交易实际上是一种权利的单方面有偿让渡，期权的买方以支付一定数量的( )为代价而拥有了这种权 利。 ,<p>A期权费</p><p>B利率</p><p>C本金</p><p>D执行价格</p>,4,A,期权交易实际上是一种权利的单方面有偿让渡，期权的买方以支付一定数量的期权费为代价而拥有了 这种权利。,0,0
1,(单选题)看跌期权也称为( )，交易者之所以买入它，是因为预期该看跌期权的标的资产的市场价格将下跌。 ,<p>A欧式期权</p><p>B美式期权</p><p>C认沽权</p><p>D认购权</p>,4,C,常识题，看跌期权又称认沽权。,0,0
1,(单选题)我国《证券法》规定，因不可抗力的突发事件或者为维护证券交易的正常秩序，证券交易所可以决定( )。 ,<p>A临时停市</p><p>B技术性停牌</p><p>C市场禁入</p><p>D以上部可以</p>,4,A,考察证券交易所职能，同时也是法规问题,0,0
1,(单选题)中国证券登记结算公司仅为( )开立结算账户，专用于证券交易成交后的清算交收，具有结算履约担保作 用。 ,<p>A客户</p><p>B证券公司</p><p>C证券交易所</p><p>D证券业协会</p>,4,B,中国证券登记结算公司仅为证券公司开立结算账户，专用于证券交易成交后的清算交收，具有结算履 约担保作用。,0,0
1,(单选题)证券公司净资本的计算公式为( )。 ,<p>A净资本=净资产+金融资产的风险调整一其他资产的风险调整一或有负债的风险调整-／+中国证监会认定或核准的其他调整项目</p><p>B净资本=净资产一金融资产的风险调整一其他资产的风险调整+或有负债的风险调整-／+中国证监会认 定或核准的其他调整项目</p><p>C净资本=净资产一金融资产的风险调整一其他资产的风险调整一或有负债的风险调整-／+中国证监会 认定或核准的其他调整项目</p><p>D净资本=净资产+金融资产的风险调整一其他资产的风险调整+或有负债的风险调整-／+中国证监会认 定或核准的其他调整项目</p>,4,C,察证券公司净资本的计算公式。,0,0
1,(单选题)交易双方在集中的交易所内以公开竞价的形式达成的，在将来某一特定时间交收标准数量特定金融工具 的协议，我们称之为( )。 ,<p>A金融期货合约</p><p>B金融期权台约</p><p>C金融互换交易</p><p>D权证</p>,4,A,金融期货台约指交易双方在集中的交易所内以公开竞价的形式达成的，在将来某一特定时间交收标准 数量特定金融工具的协议。,0,0
1,(单选题)证券公司风险控制指标管理办法》规定，净资本与各项风险资本准备之和的比例不得低于( )。 ,<p>A0.5</p><p>B0.7</p><p>C0.8</p><p>D1</p>,4,D,《证券公司风险控制指标管理办法》规定，净资本与各项风险资本准备之和的比例不得低于100%。,0,0
1,(单选题)以样本股每日收盘价之和除以样本数得到的股价平均数是( )。 ,<p>A简单算术平均数</p><p>B几何算术平均数</p><p>C加权股价平均数</p><p>D修正股价平均数</p>,4,A,简单算术股价平均数是以样本股每日收盘价之和除以样本数。,0,0
