1,(单选题)()事项非经载明于章程，不生效力。,<p>A相对记载</p><p>B任意记载</p><p>C绝对记载</p><p>D协商记载</p>,4,A,相对记载事项非经载明于章程，不生效力。,0,0
1,(单选题)《并购重组共性问题审核意见关注要点》在盈利能力与预测方面规定，审计报告关注事项的内容不包括()。,<p>A标的资产是否提供最近2年经审计的标的资产财务报告</p><p>B审计机构是否具备证券期货从业资格</p><p>C非标准审计报告中，对于有保留意见的审计报告，关注保留事项所造成的影响是否已消除</p><p>D非标准审计报告中，对以带强调事项段的无保留意见的审计报告，关注强调事项可能给上市公司带来的影响</p>,4,A,审计报告关注事项的内容包括：①标的资产是否提供最近2年经审计的标的资产财务报告；②审计机构是否具备证券、期货从业资格；③非标准审计报告：对于有保留意．见的审计报告，关注保留事项所造成的影响是否已消除，对于以带强调事项段的无保留意见的审计报告，关注强调事项可能给上市公司带来的影响。,0,0
1,(单选题)按照《证券业从业人员执业行为准则》的规定，机构或者其管理人员对证券业从业人员发出指令涉嫌违法违规的行为，机构未妥善处理的，证券业从业人员应及时向()报告。,<p>A董事会</p><p>B司法机关</p><p>C所在机构的高级管理人员</p><p>D中国证监会或者中国证券业协会</p>,4,D,《证券业从业人员执业行为准则》规定，机构或者其管理人员对证券业从业人员发出指令涉嫌违法违规的行为，机构未妥善处理的，证券业从业人员应及时向中国证监会或者中国证券业协会报告。,0,0
1,(单选题)财务顾问主办人发生变化的，财务顾问应当在()个工作日内向中国证监会报告。,<p>A3</p><p>B5</p><p>C7</p><p>D10</p>,4,B,财务顾问主办人发生变化的财务顾问应当在5个工作日内向中国证监会报告。,0,0
1,(单选题)定向资产管理合同应当包括()制定的合同必备条款。,<p>A中国证监会</p><p>B中国证券业协会</p><p>C证券交易所</p><p>D中国人民银行</p>,4,B,定向资产管理合同应当包括中国证券业协会制定的合同必备条款。,0,0
1,(单选题)对于利用未公开信息交易的单位，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员处()年以下有期徒刑或者拘役。,<p>A3</p><p>B5</p><p>C7</p><p>D10</p>,4,B,利用未公开信息交易，处5年以下有期徒刑或者拘役，并处或者单处违法所得1倍以上5倍以下罚金；情节特别严重的，处5年以上10年以下有期徒刑，并处违法所得1倍以上5倍以下罚金。单位犯本罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，处5年以下有期徒刑或者拘役。,0,0
1,(单选题)发布对具体股票作出明确估值和投资评级的证券研究报告时，公司持有该股票达到相关上市公司已发行股份()以上的，应当在证券研究报告中向客户披露本公司持有该股票的情况。,<p>A0.01</p><p>B0.03</p><p>C0.05</p><p>D0.1</p>,4,A,发布对具体股票作出明确估值和投资评级的证券研究报告时，公司持有该股票达到相关上市公司已发行股份1%以上的，应当在证券研究报告中向客户披露本公司持有该股票的情况，并且在证券研究报告发布日及第2个交易日，不得进行与证券研究报告观点相反的交易。,0,0
1,(单选题)个人申请保荐代表人资格，要求具备()年以上保荐相关业务经历。,<p>A1</p><p>B2</p><p>C3</p><p>D5</p>,4,C,个人申请保荐代表人资格，应当具备3年以上保荐相关业务经历。,0,0
1,(单选题)根据我国法律法规，募集设立的股份有限公司发起人认购的股份在股本总数中应占的比例是()。,<p>A0.35</p><p>B0.5</p><p>C0.25</p><p>D0.8</p>,4,A,对于募集设立的股份有限公司，为防止发起人完全凭借他人资本设立公司，损害一般投资者的利益，各国大都规定了发起人认购的股份在公司股本总数中应占的比例。我国的规定比例是35%。,0,0
1,(单选题)公司对公开发行股票所募集资金，必须按照()所列资金用途使用。,<p>A募股申请</p><p>B招股说明书</p><p>C发起人协议</p><p>D股东大会决议书</p>,4,B,公司对公开发行股票所募集资金，必须按照招股说明书所列资金用途使用。,0,0
1,(单选题)公司合并的方式一般采取吸收合并和()两种方式。,<p>A反向合并</p><p>B新设合并</p><p>C兼并合并</p><p>D控股合并</p>,4,B,公司的合并，一般采取两种方式。根据《公司法》第184条第1款规定，公司合并可以采取吸收合并和新设合并两种方式。,0,0
1,(单选题)公司在进行清算时，隐匿财产，对资产负债表或者财产清单作虚假记载或者在未清偿债务前分配公司财产的，对直接负责的主管人员和其他直接责任人员处以()万元以上()万元以下的罚款。,<p>A1；10</p><p>B3；10</p><p>C3；20</p><p>D5；20</p>,4,A,公司在进行清算时，隐匿财产，对资产负债表或者财产清单作虚假记载或者在未清偿债务前分配公司财产的，由公司登记机关责令改正，对直接负责的主管人员和其他直接责任人员处以1万元以上10万元以下的罚款。,0,0
