1,(单选题)()是基金一切活动的中心。,<p>A基金经理</p><p>B基金管理人</p><p>C基金托管人</p><p>D基金份额持有人</p>,4,D,基金份额持有人是基金一切活动的中心。,0,0
1,(单选题)《证券公司信息隔离墙制度指引》中规定，证券公司应当对证券自营、证券资产管理、融资融券等业务所涉资金、证券及账户实施()。,<p>A分开管理</p><p>B集中管理</p><p>C资产管理</p><p>D有效管理</p>,4,A,证券公司应当对证券自营、证券资产管理、融资融券等业务所涉资金、证券及账户实施分开管理，不应混合操作。,0,0
1,(单选题)按照《证券业从业人员执业行为准则》的规定，证券投资咨询机构、财务顾问机构、证券资信评级机构的从业人员()。,<p>A禁止与委托人约定分享证券投资收益，分担证券投资损失</p><p>B可以接受他人委托从事证券投资</p><p>C可以向委托人承诺证券投资收益</p><p>D可以依据虚假信息、内幕信息或者市场传言撰写和发布分析报告或评级报告</p>,4,A,证券投资咨询机构、财务顾问机构、证券资信评级机构的从业人员的禁止性行为包括：不可以接受他人委托从事证券投资；不可以向委托人承诺证券投资收益，更不可以依据虚假信息、内幕信息或者市场传言撰写和发布分析报告或评级报告。,0,0
1,(单选题)财务顾问主办人应当具备的条件不包括()。,<p>A所任职机构同意推荐其担任本机构的财务顾问主办人</p><p>B未负有数额较大到期未清偿的债务</p><p>C最近24个月未因执业行为违反行业规范而受到行业自律组织的纪律处分</p><p>D最近24个月未因执业行为违法违规受到处罚</p>,4,D,财务顾问主办人应当具备下列条件：①具有证券从业资格；②具备中国证监会规定的投资银行业务经历；③参加中国证监会认可的财务顾问主办人胜任能力考试且成绩合格；④所任职机构同意推荐其担任本机构的财务顾问主办人；⑤未负有数额较大到期未清偿的债务；⑥最近24个月无违反诚信的不良记录；⑦最近24个月未因执业行为违反行业规范而受到行业自律组织的纪律处分；⑧最近36个月未因执业行为违法违规受到处罚；⑨中国证监会规定的其他条件。,0,0
1,(单选题)董事、监事、高级管理人员负有保证信息披露真实、准确、完整、及时和()的义务。,<p>A公平</p><p>B公正</p><p>C公开</p><p>D诚信</p>,4,A,董事、监事、高级管理人员负有保证信息披露真实、准确、完整、及时和公平义务。,0,0
1,(单选题)对于上市公司的收购及相关股份权益变动活动中的信息披露义务人，未依法履行报告、公告以及其他相关义务的，中国证监会可以依法采取的监管措施不包括()。,<p>A监管谈话</p><p>B出具警示函</p><p>C责令暂停收购</p><p>D行政处罚</p>,4,D,上市公司的收购及相关股份权益变动活动中的信息披露义务人，未按照本办法的规定履行报告、公告以及其他相关义务的，中国证监会责令改正，采取监管谈话、出具警示函、责令暂停或者停止收购等监管措施。,0,0
1,(单选题)发出收购要约的收购人在收购要约期限届满，不按照约定支付收购价款或者购买预收股份的，自该事实发生之日起()年内不得收购上市公司，中国证监会不受理收购人及其关联方提交的申报文件。,<p>A1</p><p>B2</p><p>C3</p><p>D5</p>,4,C,发出收购要约的收购人在收购要约期限届满，不按照约定支付收购价款或者购买预收股份的，自该事实发生之日起3年内不得收购上市公司，中国证监会不受理收购人及其关联方提交的申报文件。,0,0
1,(单选题)个人申请保荐代表人资格，要求最近()年未受到中国证监会的行政处罚。,<p>A1</p><p>B2</p><p>C3</p><p>D5</p>,4,C,个人申请保荐代表人资格，应当诚实守信，品行良好，无不良诚信记录，最近3年未受到中国证监会的行政处罚。,0,0
1,(单选题)根据我国公司法的规定，公司类型可分为有限责任公司和()。,<p>A责任有限公司</p><p>B合伙制公司</p><p>C独资制公司</p><p>D股份有限公司</p>,4,D,根据我国公司法的规定，公司包括有限责任公司和股份有限公司两种类型。,0,0
1,(单选题)公司对公开发行股票所募集资金，必须按照招股说明书所列资金用途使用。改变招股说明书所列资金用途，必须经()作出决议。,<p>A股东大会</p><p>B董事会</p><p>C监事会</p><p>D证监会</p>,4,A,公司对公开发行股票所募集资金，必须按照招股说明书所列资金用途使用。改变招股说明书所列资金用途，必须经股东大会作出决议。,0,0
1,(单选题)公司合并时，原先公司同时归于消灭，共同联合创立一个新公司，这种合并方式是()。,<p>A吸收合并</p><p>B新设合并</p><p>C兼并合并</p><p>D控股合并</p>,4,B,新设合并是指在公司合并时，原先公司同时归于消灭，共同联合创立一个新公司。,0,0
1,(单选题)公司在依法向有关主管部门提供的财务会计报告等材料上作虚假记载或者隐瞒重要事实的，由有关主管部门对直接负责的主管人员和其他直接责任人员处以()万元以上()万元以下的罚款。,<p>A3；30</p><p>B3；50</p><p>C5；30</p><p>D5；50</p>,4,A,公司在依法向有关主管部门提供的财务会计报告等材料上作虚假记载或者隐瞒重要事实的，由有关主管部门对直接负责的主管人员和其他直接责任人员处以3万元以上30万元以下的罚款。,0,0
1,(单选题)股份有限公司的股东以其()为限对公司承担责任。,<p>A所持股份</p><p>B出资额</p><p>C净资产</p><p>D所有者权益</p>,4,A,股份有限公司是指其全部资产分为等额股份，股东以其所持股份为限对公司承担责任，公司以其全部资产对公司的债务承担责任的企业法人。,0,0
1,(单选题)股份有限公司申请股票上市，其公开发行的股份一般应当达到公司股份总数的()以上。,<p>A0.1</p><p>B0.15</p><p>C0.2</p><p>D0.25</p>,4,D,股份有限公司申请股票上市，其公开发行的股份一般应达到公司股份总数的25%以上。,0,0
1,(单选题)国务院证券监督管理机构对证券公司增加注册资本且股权结构发生重大调整，减少注册资本，合并、分立或者要求审查股东、实际控制人资格的申请，自受理之日起()个月内作出批准或者不予批准的书面决定。,<p>A1</p><p>B3</p><p>C6</p><p>D12</p>,4,B,国务院证券监督管理机构对证券公司增加注册资本且股权结构发生重大调整，减少注册资本，合并、分立或者要求审查股东、实际控制人资格的申请，自受理之日起3个月内作出批准或者不予批准的书面决定。,0,0
1,(单选题)基金管理公司违反规定，擅自变更持有5%以上股权的股东、实际控制人或者其他重大事项的，对直接负责的主管人员给予警告，并处()万元以上()万元以下罚款。,<p>A1；10</p><p>B3；10</p><p>C1；30</p><p>D3；30</p>,4,B,基金管理公司违反本法规定，擅自变更持有5%以上股权的股东、实际控制人或者其他重大事项的，对直接负责的主管人员给予警告，并处3万元以上10万元以下罚款。,0,0
1,(单选题)经政府或国有资产管理部门批准进行国有资产无偿划拨，导致投资者在一个上市公司中拥有权益的股份占该公司已发行股份的比例超过()，可以申请以简易程序免于以要约方式增持股份。,<p>A0.2</p><p>B0.3</p><p>C0.4</p><p>D0.5</p>,4,B,经政府或者国有资产管理部门批准进行国有资产无偿划转、变更、合并，导致投资者在一个上市公司中拥有权益的股份占该公司已发行股份的比例超过30%，当事人可以向中国证监会申请以简易程序免于以要约方式增持股份。,0,0
1,(单选题)能确保自营业务与经纪、资产管理、投资银行等业务在人员、信息、账户、资金、会计核算上严格分离的制度是()。,<p>A逐日盯市制度</p><p>B风险预警制度</p><p>C防火墙制度</p><p>D保证金制度</p>,4,C,建立防火墙制度，确保自营业务与经纪、资产管理、投资银行等业务在人员、信息、账户、资金、会计核算上严格分离。,0,0
1,(单选题)企业依法解散的，清算人应当自清算结束之日起()日内申请注销。,<p>A5</p><p>B10</p><p>C15</p><p>D20</p>,4,C,企业依法解散的，清算人应当自清算结束之日起15日内申请注销。,0,0
