7,(单选题)（ ）反映在总资产中借债来筹资的比率以及公司在清算时保护债权人利益.,<p>A资产负债率</p><p>B资产负债比率</p><p>C长期负债率</p><p>D股东权益比率</p>,4,A,资产负债率反映在总资产中借债来筹资的比率以及公司在清算时保护债权人利益。,0,0
7,(单选题)（ ）是基于经济学、金融学、财务管理学及投资学等基本原理对决定证券价值及价格要素进行分析的一种方 法。,<p>A市场分析法</p><p>B学术分析法</p><p>C基本分析法</p><p>D技术分析法</p>,4,C,基本分析法又称基本面分析法，是指证券分析师根据经济学、金融学、财务管理学及投资学等基本原理， 对决定证券价值及价格的基本要素，如宏观经济指标、经济政策走势、行业发展状况、产品市场状况、公 司销售和财务状况等进行分析，评估证券的投资价值，判断证券的合理价位，提出相应的投资建议的一种 分析方法。,0,0
7,(单选题)（ ）是指暴露在外未加保护的，会对企业经营产生消极影响的风险。,<p>A风险敞口</p><p>B下行风险</p><p>C单向敞口</p><p>D双向敞口</p>,4,A,风险敞口是指暴露在外未加保护的。会对企业经营产生消极影响的风险.,0,0
7,(单选题)（ ）是指投资者在信息环境不确定的情况下，行为受到其他投资者的影响，模仿他人决策，或者过度依赖于 舆论，而不考虑信息的行为。,<p>A处置效应</p><p>B羊群效应</p><p>C孤立效应</p><p>D狂顶效应</p>,4,B,金融市场中的“羊群行为”是指投资者在信息环境不确定的情况下.行为受到其他投资者的影响，模仿他 人决策，或者过度依赖于舆论.而不考虑信息的行为。,0,0
7,(单选题)（ ）通过代理变量的预示作用选择未来表现强势的行业进行投资。,<p>A主动轮动</p><p>B强势轮动</p><p>C被动轮动</p><p>D弱势轮动</p>,4,A,轮动投资策略是通过对特定代理变量的观测适时投资强势投资品种，从而获取超额收益。动轮动投资策略 有主轮动和被动轮动之分。主动轮动通过代理变量的预示作用选择未来表现强势的行业进行投资；被动轮 动则在轮动趋势确立后进行相关行业的投资，代理变量主要用来刻画轮动趋势。,0,0
7,(单选题)（ ）指人们面临损失时，所表现出的对不确定性损失的偏好。,<p>A确定性效应</p><p>B反射效应</p><p>C孤立效应</p><p>D框定效应</p>,4,B,反射效应指人们面临损失时，所表现出的对不确定性损失的偏好。,0,0
7,(单选题)（ ）是把价格的上下变动和不同时期的持续上涨、下跌看成是波浪的上下起伏，认为价格运动遵循波浪起伏 的规律。,<p>A切线类</p><p>B形态类</p><p>CK线类</p><p>D波浪类</p>,4,D,技术分析方法的分类及其特点。,0,0
7,(单选题)6月份，大豆现货价格为700美分/蒲式耳，某榨油厂有一批大豆库存。该厂预计大豆价格在第三季度可能会小 幅下跌，故卖出10月份大豆美式看涨期权，执行价格为740美分/蒲式耳，权利金为7美分/蒲式耳。则该榨油厂 持蒙受损失的情况有（ ）。,"<p>A9月份大豆现货价格下跌至690美分/蒲式耳,且看涨期权价格跌至4美分/蒲式耳</p><p>B9月份大豆现货价格下跌至620美分/蒲式耳,,且看涨期权价格跌至1美分/蒲式耳</p><p>C9月份大豆现货价格上涨至710美分/蒲式耳,,且看涨期权价格上涨至9美分/蒲式耳</p><p>D9月份大豆现货价格上涨至780美分/蒲式耳,,且看涨期权价格上涨至42美分/蒲式耳</p>",4,A,"选项A:大豆现货亏10美分/蒲式耳，买进看涨期权对冲，盈利3美分/蒲式耳，合计亏7美分/蒲式耳。选项B: 大豆现货亏80美分/蒲式耳，买进看涨期权对冲，盈利6美分/蒲式耳,共亏74美分/蒲式耳。选项C:现货赚 10美分/蒲式耳，买进看涨期权对冲，亏损2美分/蒲式耳，一共盈利8美分/蒲式耳.选项D:现货80美分/蒲 式耳，买进看涨期权对冲，亏损35美分/蒲式耳,一共盈利45美分/蒲式耳.",0,0
7,(单选题)从事证券服务业务的人员由于禁止性行为给投资者造成损失的，应当依法（ ）。,<p>A责令改正</p><p>B监管谈话</p><p>C承担赔偿责任</p><p>D出具警示函</p>,4,C,从事证券服务业务的禁止性行为（1)代理委托人从事证券投资;(2)与委托人约定分享证券投资收益或者分 担证券投资损失；(3)买卖本咨询机构提供服务的上市公司股票；(4)利用传播媒介或者通过其他方式提 供、传传播虚假或者误导投资者的信息；(5)法律、行政法规禁止的其他行为。有以上所列行为之一，给 投资者造成损失的，依法承担赔偿责任。,0,0
7,(单选题)当实际价格低于均衡价格时（ ）,<p>A将资金转向购买其他廉价证券。</p><p>B此时应购买该证券</p><p>C此时应卖出该证券</p><p>D说明该证券不是廉价证券</p>,4,B,当实际价格均衡价格时，说明该证券是廉价证券，相反，则应卖出该证券;相反，则应卖出该证券，而将 资金转向购买其他廉价证券。,0,0
7,(单选题)对于生产型企业，所属的风险敞口类型为（ ）。,<p>A上游闭口、下游敞口型</p><p>B上游敞口、下游闭口型</p><p>C双向敞口类型</p><p>D上游闭口、下游闭口型</p>,4,A,对于生产型企业，所属的风险敞口类型为上游闭口、下游敞口型。,0,0
